    r      L_U-Cl   L_Cl-Cl
  2.000    -0.050     0.000
  2.020    -0.050     0.000
  2.040    -0.050     0.000
  2.060    -0.049     0.000
  2.080    -0.049     0.000
  2.100    -0.049     0.000
  2.120    -0.048     0.000
  2.140    -0.047     0.000
  2.160    -0.046     0.000
  2.180    -0.045     0.000
  2.200    -0.043    -0.071
  2.220    -0.040    -0.065
  2.240    -0.036    -0.058
  2.260    -0.031    -0.051
  2.280    -0.023    -0.043
  2.300    -0.012    -0.035
  2.320     0.002    -0.026
  2.340     0.023    -0.016
  2.360     0.051    -0.006
  2.380     0.090     0.005
  2.400     0.142     0.017
  2.420     0.213     0.029
  2.440     0.308     0.043
  2.460     0.433     0.057
  2.480     0.593     0.073
  2.500     0.795     0.089
  2.520     1.039     0.107
  2.540     1.324     0.126
  2.560     1.641     0.146
  2.580     1.975     0.167
  2.600     2.309     0.189
  2.620     2.626     0.213
  2.640     2.911     0.238
  2.660     3.155     0.265
  2.680     0.000     0.293
  2.700     0.000     0.322
  2.720     0.000     0.353
  2.740     0.000     0.385
  2.760     0.000     0.419
  2.780     0.000     0.455
  2.800     0.000     0.492
  2.820     0.000     0.531
  2.840     0.000     0.570
  2.860     0.000     0.612
  2.880     0.000     0.654
  2.900     0.000     0.698
  2.920     0.000     0.744
  2.940     0.000     0.790
  2.960     0.000     0.837
  2.980     0.000     0.885
  3.000     0.000     0.934
  3.020     0.000     0.983
  3.040     0.000     1.033
  3.060     0.000     1.083
  3.080     0.000     1.133
  3.100     0.000     1.184
  3.120     0.000     1.234
  3.140     0.000     1.284
  3.160     0.000     1.333
  3.180     0.000     1.382
  3.200     0.000     1.430
  3.220     0.000     1.477
  3.240     0.000     1.523
  3.260     0.000     1.569
  3.280     0.000     1.613
  3.300     0.000     1.655
  3.320     0.000     1.697
  3.340     0.000     1.736
