 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   0.60000 ,    -0.336840632915877E+01 ,     0.245285038546699E+00 ,    -0.120696981538494E+01 , 
   0.62000 ,    -0.331128633357403E+01 ,     0.185680995177349E+00 ,    -0.124719635855846E+01 , 
   0.64000 ,    -0.329195516241343E+01 ,     0.853864419285236E-01 ,    -0.129513769363118E+01 , 
   0.66000 ,    -0.333651429138547E+01 ,     0.112499572082038E-01 ,    -0.131877144076004E+01 , 
   0.68000 ,    -0.347214439133401E+01 ,     0.365888907353087E-02 ,    -0.130638123933468E+01 , 
   0.70000 ,    -0.368112486115204E+01 ,     0.541514220357667E-01 ,    -0.127148934037818E+01 , 
   0.72000 ,    -0.387793761429397E+01 ,     0.118297102800216E+00 ,    -0.124001412811735E+01 , 
   0.74000 ,    -0.394014870206902E+01 ,     0.151180910517398E+00 ,    -0.123026375329867E+01 , 
   0.76000 ,    -0.378292942647038E+01 ,     0.138491515421107E+00 ,    -0.124047760083940E+01 , 
   0.78000 ,    -0.342791389297347E+01 ,     0.102047993213251E+00 ,    -0.125212713172918E+01 , 
   0.80000 ,    -0.301152006511832E+01 ,     0.787880302900010E-01 ,    -0.124540081010733E+01 , 
   0.82000 ,    -0.271457717439084E+01 ,     0.912442155647381E-01 ,    -0.121487223961115E+01 , 
   0.84000 ,    -0.265094455778322E+01 ,     0.131878112101827E+00 ,    -0.117397497087243E+01 , 
   0.86000 ,    -0.278784043592135E+01 ,     0.171427570774777E+00 ,    -0.114552708945202E+01 , 
   0.88000 ,    -0.295678094795332E+01 ,     0.182865757294074E+00 ,    -0.114557822638480E+01 , 
   0.90000 ,    -0.295680020131778E+01 ,     0.161728473218628E+00 ,    -0.117217917719275E+01 , 
   0.92000 ,    -0.268815379171529E+01 ,     0.127820277930137E+00 ,    -0.120666904484684E+01 , 
   0.94000 ,    -0.222906508385919E+01 ,     0.108401057274429E+00 ,    -0.122608543052561E+01 , 
   0.96000 ,    -0.180031510526525E+01 ,     0.116886622110980E+00 ,    -0.121786915810240E+01 , 
   0.98000 ,    -0.163358172479864E+01 ,     0.143516546405071E+00 ,    -0.118710438635254E+01 , 
   1.00000 ,    -0.182312620634713E+01 ,     0.164257803330382E+00 ,    -0.115219223026755E+01 , 
   1.02000 ,    -0.225415284369209E+01 ,     0.159883700556750E+00 ,    -0.113270577259650E+01 , 
   1.04000 ,    -0.265497011204938E+01 ,     0.129826984360090E+00 ,    -0.113777678615588E+01 , 
   1.06000 ,    -0.274348391821739E+01 ,     0.903107347834382E-01 ,    -0.116204311136023E+01 , 
   1.08000 ,    -0.238084178645764E+01 ,     0.590763717496155E-01 ,    -0.119053229032863E+01 , 
   1.10000 ,    -0.164257253584249E+01 ,     0.395415376124868E-01 ,    -0.120814348037752E+01 , 
   1.12000 ,    -0.770286457685164E+00 ,     0.173712717961996E-01 ,    -0.120733895002681E+01 , 
   1.14000 ,    -0.396643309527419E-01 ,    -0.275823913799794E-01 ,    -0.119000579987817E+01 , 
   1.16000 ,     0.373210184467727E+00 ,    -0.103210755448819E+00 ,    -0.116388942632303E+01 , 
   1.18000 ,     0.452185843324991E+00 ,    -0.195090941971076E+00 ,    -0.113721892853178E+01 , 
   1.20000 ,     0.305155485337667E+00 ,    -0.272593695586459E+00 ,    -0.111524933247487E+01 , 
   1.22000 ,     0.700265760808012E-01 ,    -0.307259303223452E+00 ,    -0.110002870238796E+01 , 
   1.24000 ,    -0.168520526713608E+00 ,    -0.290725244839896E+00 ,    -0.109199465442456E+01 , 
   1.26000 ,    -0.398728540302515E+00 ,    -0.240369020130406E+00 ,    -0.109103234190242E+01 , 
   1.28000 ,    -0.634134066271470E+00 ,    -0.190180483130101E+00 ,    -0.109578513727047E+01 , 
   1.30000 ,    -0.842690180629966E+00 ,    -0.174548883459313E+00 ,    -0.110206014739420E+01 , 
   1.32000 ,    -0.912578416324574E+00 ,    -0.215842550062560E+00 ,    -0.110237848766851E+01 , 
   1.34000 ,    -0.689632374054728E+00 ,    -0.321145559396494E+00 ,    -0.108816583263183E+01 , 
   1.36000 ,    -0.723847257503202E-01 ,    -0.484819432494871E+00 ,    -0.105419414857274E+01 , 
   1.38000 ,     0.891166212739295E+00 ,    -0.689658605689109E+00 ,    -0.100299246863469E+01 , 
   1.40000 ,     0.197011270718774E+01 ,    -0.903850379789023E+00 ,    -0.946303574669937E+00 , 
   1.42000 ,     0.281567744813859E+01 ,    -0.107953540008574E+01 ,    -0.901742899800439E+00 , 
   1.44000 ,     0.310676376009475E+01 ,    -0.116277720196382E+01 ,    -0.885148042873293E+00 , 
   1.46000 ,     0.271011893329032E+01 ,    -0.111841721021077E+01 ,    -0.901613486324578E+00 , 
   1.48000 ,     0.177263446547690E+01 ,    -0.959538319410841E+00 ,    -0.939667752828558E+00 , 
   1.50000 ,     0.688863076932281E+00 ,    -0.760714226475374E+00 ,    -0.972541065636250E+00 , 
   1.52000 ,    -0.554546471098398E-01 ,    -0.637501740715145E+00 ,    -0.967745952235941E+00 , 
   1.54000 ,    -0.999002733328522E-01 ,    -0.693377873937896E+00 ,    -0.902030535814677E+00 , 
   1.56000 ,     0.614993665102484E+00 ,    -0.959034111379398E+00 ,    -0.775007580597181E+00 , 
   1.58000 ,     0.180313958824593E+01 ,    -0.136091807209211E+01 ,    -0.613713862533512E+00 , 
   1.60000 ,     0.295146176494615E+01 ,    -0.174489000614969E+01 ,    -0.463506448190488E+00 , 
   1.62000 ,     0.355372661293143E+01 ,    -0.195022714711496E+01 ,    -0.367414179127187E+00 , 
   1.64000 ,     0.334947958960698E+01 ,    -0.189669659306208E+01 ,    -0.343202919196961E+00 , 
   1.66000 ,     0.244839459017080E+01 ,    -0.163445790774444E+01 ,    -0.370658894334680E+00 , 
   1.68000 ,     0.127340420429231E+01 ,    -0.132390726027580E+01 ,    -0.398004899110204E+00 , 
   1.70000 ,     0.347784679457147E+00 ,    -0.115201369705804E+01 ,    -0.366720744743835E+00 , 
   1.72000 ,     0.341653744109003E-01 ,    -0.122998442937885E+01 ,    -0.243183203921034E+00 , 
   1.74000 ,     0.360858698060259E+00 ,    -0.153025630030459E+01 ,    -0.399886435884573E-01 , 
   1.76000 ,     0.102521960770038E+01 ,    -0.189963674966091E+01 ,     0.186221854328642E+00 , 
   1.78000 ,     0.156829362752920E+01 ,    -0.214189143444954E+01 ,     0.361361299215660E+00 , 
   1.80000 ,     0.162273195479232E+01 ,    -0.212323379671166E+01 ,     0.431865914518742E+00 , 
   1.82000 ,     0.109911981695854E+01 ,    -0.184186559648234E+01 ,     0.393595038932153E+00 , 
   1.84000 ,     0.214903081921305E+00 ,    -0.142476406141608E+01 ,     0.295357159731728E+00 , 
   1.86000 ,    -0.639025552753686E+00 ,    -0.105719094181509E+01 ,     0.214558860074429E+00 , 
   1.88000 ,    -0.111025605363031E+01 ,    -0.887194827913898E+00 ,     0.218065490054964E+00 , 
   1.90000 ,    -0.105569519957849E+01 ,    -0.957623201634515E+00 ,     0.329523534374447E+00 , 
   1.92000 ,    -0.585991509437745E+00 ,    -0.119800335336360E+01 ,     0.520281107151116E+00 , 
   1.94000 ,     0.229386495248320E-01 ,    -0.147258286576088E+01 ,     0.727260952859782E+00 , 
   1.96000 ,     0.484578995761540E+00 ,    -0.165135666259354E+01 ,     0.886111454214901E+00 , 
   1.98000 ,     0.630594631333446E+00 ,    -0.166416002910596E+01 ,     0.960599037894463E+00 , 
   2.00000 ,     0.452836713441588E+00 ,    -0.151448947223407E+01 ,     0.953363230160949E+00 , 
   2.02000 ,     0.584796163656648E-01 ,    -0.125624516915581E+01 ,     0.895443630004422E+00 , 
   2.04000 ,    -0.413144742539543E+00 ,    -0.955766116270632E+00 ,     0.824288078690918E+00 , 
   2.06000 ,    -0.854896786379372E+00 ,    -0.663398964994546E+00 ,     0.764828223436910E+00 , 
   2.08000 ,    -0.120939856545503E+01 ,    -0.405901367330267E+00 ,     0.723564515645687E+00 , 
   2.10000 ,    -0.145161175482440E+01 ,    -0.194575872598717E+00 ,     0.695569934928451E+00 , 
   2.12000 ,    -0.156871439094642E+01 ,    -0.355410535067857E-01 ,     0.676034783610667E+00 , 
   2.14000 ,    -0.155967920208322E+01 ,     0.681148068442181E-01 ,     0.666626120314851E+00 , 
   2.16000 ,    -0.145001242496005E+01 ,     0.122302875035851E+00 ,     0.672526691515146E+00 , 
   2.18000 ,    -0.129811487808018E+01 ,     0.147777631746154E+00 ,     0.693857730467785E+00 , 
   2.20000 ,    -0.117489312914566E+01 ,     0.177374835622306E+00 ,     0.719511397269278E+00 , 
   2.22000 ,    -0.112272242199645E+01 ,     0.243226737593091E+00 ,     0.729423757462749E+00 , 
   2.24000 ,    -0.112246655951879E+01 ,     0.360847375093411E+00 ,     0.704855567715987E+00 , 
   2.26000 ,    -0.109788525069804E+01 ,     0.520174033444594E+00 ,     0.640163650216990E+00 , 
   2.28000 ,    -0.962603321858180E+00 ,     0.689646072891829E+00 ,     0.548116664581313E+00 , 
   2.30000 ,    -0.682966491162735E+00 ,     0.831379708774900E+00 ,     0.454848479851261E+00 , 
   2.32000 ,    -0.314685672760564E+00 ,     0.919059887178191E+00 ,     0.387108008823079E+00 , 
   2.34000 ,     0.150078033397460E-01 ,     0.949213436930671E+00 ,     0.359135999167097E+00 , 
   2.36000 ,     0.173283414186904E+00 ,     0.940906090959566E+00 ,     0.366435825965116E+00 , 
   2.38000 ,     0.973994472822658E-01 ,     0.925238496469087E+00 ,     0.389341141839767E+00 , 
   2.40000 ,    -0.165390145924232E+00 ,     0.930504083388259E+00 ,     0.403678935137457E+00 , 
   2.42000 ,    -0.477259619992670E+00 ,     0.969752456642785E+00 ,     0.392397711807627E+00 , 
   2.44000 ,    -0.676253397618191E+00 ,     0.103548480385312E+01 ,     0.352380764274393E+00 , 
   2.46000 ,    -0.651451099289441E+00 ,     0.110309176469782E+01 ,     0.293930746030071E+00 , 
   2.48000 ,    -0.387796355443190E+00 ,     0.114169944182648E+01 ,     0.234283257348181E+00 , 
   2.50000 ,     0.367115850533531E-01 ,     0.112862038147243E+01 ,     0.188916751365618E+00 , 
   2.52000 ,     0.491342525789275E+00 ,     0.106175754299304E+01 ,     0.164652813011600E+00 , 
   2.54000 ,     0.844907948458708E+00 ,     0.963918877078227E+00 ,     0.157149959218160E+00 , 
   2.56000 ,     0.100713266147626E+01 ,     0.875306564971833E+00 ,     0.153408035905995E+00 , 
   2.58000 ,     0.949714726540858E+00 ,     0.835666661688795E+00 ,     0.138056279260474E+00 , 
   2.60000 ,     0.709028696521944E+00 ,     0.863713729654037E+00 ,     0.100828977404596E+00 , 
   2.62000 ,     0.374690096616234E+00 ,     0.944739091469873E+00 ,     0.420029734298028E-01 , 
   2.64000 ,     0.647753570780424E-01 ,     0.103466818658526E+01 ,    -0.269201180268356E-01 , 
   2.66000 ,    -0.111773269129939E+00 ,     0.108047875920815E+01 ,    -0.881234564070527E-01 , 
   2.68000 ,    -0.975463861435558E-01 ,     0.104714717885793E+01 ,    -0.126045120997979E+00 , 
   2.70000 ,     0.842142868377731E-01 ,     0.936316459089896E+00 ,    -0.135383203299016E+00 , 
   2.72000 ,     0.333492658744855E+00 ,     0.785584065649218E+00 ,    -0.124067105197048E+00 , 
   2.74000 ,     0.516578179559300E+00 ,     0.648237668850309E+00 ,    -0.109166945256044E+00 , 
   2.76000 ,     0.531323172068799E+00 ,     0.564963604464608E+00 ,    -0.107747766398242E+00 , 
   2.78000 ,     0.360124947418113E+00 ,     0.544017596125924E+00 ,    -0.127885375344309E+00 , 
