Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
164009.260       57418      217376  0.451E-02  0.108E+00  0.930E+06  0.305E+01  0.119E+02
164509.261       96400      457289  0.183E-02  0.718E-01  0.119E+07  0.317E+01  0.140E+02
165009.277      131531      698010  0.105E-02  0.468E-01  0.126E+07  0.301E+01  0.694E+01
165509.261      164125      931410  0.693E-03  0.294E-01  0.883E+05  0.292E+01  0.382E+01
170009.261      193017     1155052  0.497E-03  0.187E-01  0.112E+06  0.263E+01  0.218E+01
170509.261      218523     1376300  0.371E-03  0.124E-01  0.116E+06  0.260E+01  0.152E+01
171009.275      242877     1585269  0.296E-03  0.835E-02  0.533E+05  0.258E+01  0.943E+00
171509.260      266264     1796696  0.262E-03  0.582E-02  0.629E+05  0.273E+01  0.605E+00
172009.260      287853     2001978  0.232E-03  0.424E-02  0.363E+05  0.242E+01  0.691E+00
172509.259      309110     2209930  0.223E-03  0.313E-02  0.282E+05  0.245E+01  0.635E+00
173009.260      329657     2413191  0.205E-03  0.231E-02  0.338E+05  0.232E+01  0.763E+00
173509.258      350972     2628307  0.215E-03  0.171E-02  0.242E+05  0.221E+01  0.706E+00
