Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
005336.437       68870      344198  0.359E-02  0.938E-01  0.138E+07  0.325E+01  0.735E+00  0.745E+01
005836.613      117656      703011  0.208E-02  0.748E-01  0.391E+06  0.294E+01  0.700E+00  0.680E+01
010336.450      159223     1051837  0.803E-03  0.291E-01  0.603E+05  0.283E+01  0.615E+00  0.351E+01
010836.431      198015     1391693  0.485E-03  0.160E-01  0.588E+05  0.273E+01  0.570E+00  0.133E+01
011336.435      234178     1725174  0.353E-03  0.903E-02  0.489E+05  0.273E+01  0.517E+00  0.105E+01
011836.435      267747     2048719  0.266E-03  0.557E-02  0.280E+05  0.255E+01  0.302E+00  0.713E+00
012336.676      300747     2367805  0.260E-03  0.370E-02  0.229E+05  0.220E+01  0.378E+00  0.856E+00
012836.454      332413     2690501  0.224E-03  0.233E-02  0.234E+05  0.218E+01  0.452E+00  0.680E+00
013336.436      362443     3021904  0.227E-03  0.157E-02  0.192E+05  0.225E+01  0.175E+00  0.819E+00
013836.452      391742     3364014  0.236E-03  0.111E-02  0.196E+05  0.231E+01  0.480E+00  0.439E+00
014336.434      418361     3712823  0.237E-03  0.876E-03  0.203E+05  0.268E+01  0.344E+00  0.348E+00
014836.455      439654     4123122  0.263E-03  0.783E-03  0.217E+05  0.253E+01  0.359E+00  0.516E+00
