    r     L_Yb-Yb   L_Yb-Ti    L_Yb-O    L_Ti-O     L_O-O
  1.600     0.000     0.000    -0.009    -0.127     0.000
  1.610     0.000     0.000    -0.005    -0.118     0.000
  1.620     0.000     0.000    -0.000    -0.107     0.000
  1.630     0.000     0.000     0.005    -0.091     0.000
  1.640     0.000     0.000     0.010    -0.070     0.000
  1.650     0.000     0.000     0.016    -0.041     0.000
  1.660     0.000     0.000     0.023    -0.001     0.000
  1.670     0.000     0.000     0.030     0.051     0.000
  1.680     0.000     0.000     0.037     0.121     0.000
  1.690     0.000     0.000     0.046     0.214     0.000
  1.700     0.000     0.000     0.055     0.336     0.000
  1.710     0.000     0.000     0.065     0.494     0.000
  1.720     0.000     0.000     0.075     0.694     0.000
  1.730     0.000     0.000     0.087     0.942     0.000
  1.740     0.000     0.000     0.099     1.243     0.000
  1.750     0.000     0.000     0.112     1.593     0.000
  1.760     0.000     0.000     0.126     1.986     0.000
  1.770     0.000     0.000     0.142     2.409     0.000
  1.780     0.000     0.000     0.158     2.841     0.000
  1.790     0.000     0.000     0.175     3.264     0.000
  1.800     0.000     0.000     0.193     3.657     0.000
  1.810     0.000     0.000     0.212     4.007     0.000
  1.820     0.000     0.000     0.232     4.308     0.000
  1.830     0.000     0.000     0.254     4.556     0.000
  1.840     0.000     0.000     0.276     0.000     0.000
  1.850     0.000     0.000     0.298     0.000     0.000
  1.860     0.000     0.000     0.322     0.000     0.000
  1.870    -0.045     0.000     0.346     0.000    -0.005
  1.880    -0.043     0.000     0.371     0.000     0.001
  1.890    -0.040     0.000     0.397     0.000     0.008
  1.900    -0.038     0.000     0.423     0.000     0.014
  1.910    -0.035     0.000     0.449     0.000     0.021
  1.920    -0.033     0.000     0.475     0.000     0.028
  1.930    -0.030     0.000     0.501     0.000     0.035
  1.940    -0.028     0.000     0.527     0.000     0.043
  1.950    -0.025     0.000     0.553     0.000     0.050
  1.960    -0.023     0.000     0.579     0.000     0.058
  1.970    -0.020     0.000     0.604     0.000     0.066
  1.980    -0.017     0.000     0.628     0.000     0.075
  1.990    -0.014     0.000     0.652     0.000     0.083
  2.000    -0.012    -0.043     0.674     0.000     0.092
  2.010    -0.009    -0.040     0.696     0.000     0.101
  2.020    -0.006    -0.037     0.718     0.000     0.110
  2.030    -0.003    -0.034     0.738     0.000     0.119
  2.040    -0.001    -0.031     0.757     0.000     0.129
  2.050     0.002    -0.028     0.775     0.000     0.139
  2.060     0.005    -0.025     0.792     0.000     0.149
  2.070     0.008    -0.022     0.000     0.000     0.159
  2.080     0.011    -0.019     0.000     0.000     0.169
  2.090     0.014    -0.016     0.000     0.000     0.179
  2.100     0.017    -0.013     0.000     0.000     0.190
  2.110     0.020    -0.010     0.000     0.000     0.200
  2.120     0.023    -0.007     0.000     0.000     0.211
  2.130     0.026    -0.003     0.000     0.000     0.222
  2.140     0.029    -0.000     0.000     0.000     0.233
  2.150     0.032     0.003     0.000     0.000     0.244
  2.160     0.035     0.006     0.000     0.000     0.255
  2.170     0.039     0.009     0.000     0.000     0.266
  2.180     0.042     0.012     0.000     0.000     0.278
  2.190     0.045     0.015     0.000     0.000     0.289
  2.200     0.048     0.018     0.000     0.000     0.300
  2.210     0.051     0.022     0.000     0.000     0.311
  2.220     0.054     0.025     0.000     0.000     0.322
  2.230     0.058     0.028     0.000     0.000     0.334
  2.240     0.061     0.031     0.000     0.000     0.345
  2.250     0.064     0.034     0.000     0.000     0.356
  2.260     0.068     0.037     0.000     0.000     0.367
  2.270     0.071     0.041     0.000     0.000     0.378
  2.280     0.074     0.044     0.000     0.000     0.389
  2.290     0.078     0.047     0.000     0.000     0.400
  2.300     0.081     0.050     0.000     0.000     0.410
  2.310     0.084     0.053     0.000     0.000     0.421
  2.320     0.088     0.056     0.000     0.000     0.431
  2.330     0.091     0.059     0.000     0.000     0.441
  2.340     0.094     0.063     0.000     0.000     0.451
  2.350     0.098     0.066     0.000     0.000     0.461
  2.360     0.101     0.069     0.000     0.000     0.471
  2.370     0.105     0.072     0.000     0.000     0.000
  2.380     0.108     0.075     0.000     0.000     0.000
  2.390     0.112     0.078     0.000     0.000     0.000
  2.400     0.115     0.082     0.000     0.000     0.000
  2.410     0.119     0.085     0.000     0.000     0.000
  2.420     0.122     0.088     0.000     0.000     0.000
  2.430     0.126     0.091     0.000     0.000     0.000
