 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   0.85000 ,    -0.993944704762171E+01 ,     0.668156152820863E+01 ,     0.984132564133961E+00 ,    -0.100430894668903E+02 ,    -0.228719585848161E+01 ,    -0.913443452501695E+00 , 
   0.86000 ,    -0.105275509506893E+02 ,     0.773557971550702E+01 ,     0.109442395440598E+01 ,    -0.107383774334667E+02 ,    -0.188857623009972E+01 ,    -0.116322870169804E+01 , 
   0.87000 ,    -0.986786987223065E+01 ,     0.695003345554891E+01 ,     0.960419211661924E+00 ,    -0.101345687038950E+02 ,    -0.105738021247868E+01 ,    -0.149026824076377E+01 , 
   0.88000 ,    -0.805460004150715E+01 ,     0.444880127751944E+01 ,     0.599419000869678E+00 ,    -0.830311077192978E+01 ,     0.126171539182434E-01 ,    -0.181276073870562E+01 , 
   0.89000 ,    -0.545232187263268E+01 ,     0.759129698157468E+00 ,     0.813391656539047E-01 ,    -0.560291442726340E+01 ,     0.107445637565567E+01 ,    -0.205128758255691E+01 , 
   0.90000 ,    -0.262679448674710E+01 ,    -0.329579118422462E+01 ,    -0.484710538641404E+00 ,    -0.261448694750944E+01 ,     0.188502190002704E+01 ,    -0.214859562348471E+01 , 
   0.91000 ,    -0.228976628815898E+00 ,    -0.677332031723984E+01 ,    -0.972989693396268E+00 ,    -0.223767872911700E-01 ,     0.226002305820849E+01 ,    -0.208369752999092E+01 , 
   0.92000 ,     0.114452931875865E+01 ,    -0.881953296215467E+01 ,    -0.126821138717210E+01 ,     0.153091271289977E+01 ,     0.211451992630238E+01 ,    -0.187681428320482E+01 , 
   0.93000 ,     0.108601430343365E+01 ,    -0.886439118227449E+01 ,    -0.129147251606892E+01 ,     0.158977369688925E+01 ,     0.148029212431524E+01 ,    -0.158396618573676E+01 , 
   0.94000 ,    -0.521955088390986E+00 ,    -0.676159115812322E+01 ,    -0.101949557983102E+01 ,    -0.120437934656759E-02 ,     0.496920248319278E+00 ,    -0.128258426597498E+01 , 
   0.95000 ,    -0.346021117039902E+01 ,    -0.284219440665947E+01 ,    -0.492955729423518E+00 ,    -0.304011127129531E+01 ,    -0.620475212753045E+00 ,    -0.105173253630341E+01 , 
   0.96000 ,    -0.719288187717738E+01 ,     0.213082014951361E+01 ,     0.188129327384148E+00 ,    -0.698060394807102E+01 ,    -0.162874271618044E+01 ,    -0.951860856852748E+00 , 
