Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg   Tail_fine
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
230121.635       85015       92647  0.546E+00  0.972E-01  0.362E-01  0.321E-16
231121.614      158501      192192  0.241E+00  0.567E-01  0.331E-01  0.970E-16
232121.618      225963      291660  0.126E+00  0.324E-01  0.310E-01  0.101E+08
233121.610      288059      392152  0.652E-01  0.191E-01  0.297E-01  0.862E+08
234121.615      344505      492780  0.327E-01  0.127E-01  0.292E-01  0.206E+08
235121.619      395327      593557  0.206E-01  0.104E-01  0.291E-01  0.766E-14
000121.615      442858      694789  0.151E-01  0.964E-02  0.291E-01  0.200E-13
001121.617      487331      803040  0.119E-01  0.929E-02  0.291E-01  0.430E-13
002121.607      530291      917547  0.101E-01  0.901E-02  0.290E-01  0.143E+12
003121.608      568498     1031288  0.883E-02  0.883E-02  0.290E-01  0.791E+11
004121.613      601928     1145901  0.802E-02  0.870E-02  0.290E-01  0.412E+08
005121.618      631439     1260499  0.742E-02  0.861E-02  0.290E-01  0.668E+11
010121.657      658251     1375466  0.698E-02  0.852E-02  0.290E-01  0.290E-12
011121.612      683552     1490312  0.663E-02  0.844E-02  0.290E-01  0.696E+06
012121.641      707254     1606025  0.633E-02  0.836E-02  0.290E-01  0.139E+08
013121.611      729669     1721712  0.608E-02  0.829E-02  0.290E-01  0.358E+05
014121.617      751497     1838073  0.586E-02  0.823E-02  0.290E-01  0.782E+05
015121.613      772067     1954332  0.566E-02  0.815E-02  0.290E-01  0.699E+05
020121.602      791926     2070166  0.547E-02  0.808E-02  0.290E-01  0.859E+05
021121.610      810997     2185598  0.531E-02  0.798E-02  0.290E-01  0.285E+05
022121.605      829398     2302028  0.515E-02  0.791E-02  0.290E-01  0.149E+05
023121.621      847154     2418205  0.498E-02  0.784E-02  0.290E-01  0.912E+04
024121.608      864279     2534978  0.484E-02  0.776E-02  0.290E-01  0.117E+05
