 RN - reference number (a column in rmc6f file indicating an atom type
 in the unit cell)
 XYZ - fractional coordinates of the atom reduced to unit cell
 Nx,Ny,Nz - unit cell indices in the box
 RN    X    Y     Z    Nx    Ny    Nz
  4    0.04442    0.05646    0.04988  0  0  0
 10    0.02673    0.07622    0.00038  0  0  0
 14    0.07584    0.02670    0.00150  0  0  0
 18    0.07246    0.00367    0.02894  0  0  0
 22    0.02159    0.00613    0.08095  0  0  0
 26    0.00063    0.02493    0.07623  0  0  0
 30    0.00011    0.07607    0.02535  0  0  0
 61    0.04990    0.99693    0.00172  0  0  0
 64    0.02308    0.02773    0.05021  0  0  0
 66    0.07399    0.07637    0.04975  0  0  0
 69    0.07464    0.05147    0.07552  0  0  0
 72    0.01952    0.05576    0.02898  0  0  0
 82    0.00051    0.04961    0.99850  0  0  0
 84    0.05266    0.01885    0.02964  0  0  0
 86    0.04823    0.07576    0.07453  0  0  0
 88    0.99796    0.00226    0.05428  0  0  0
  4    0.04931    0.05053    0.04941  0  0  1
 10    0.02158    0.08052    0.00393  0  0  1
 14    0.07360    0.02491    0.00003  0  0  1
 18    0.07555    0.00152    0.02403  0  0  1
 22    0.02442    0.99721    0.07244  0  0  1
 26    0.99958    0.02658    0.07379  0  0  1
 30    0.99978    0.07655    0.02325  0  0  1
 61    0.04856    0.00079    0.00214  0  0  1
 64    0.02527    0.02565    0.05069  0  0  1
 66    0.07461    0.07712    0.04914  0  0  1
 69    0.07444    0.04930    0.07355  0  0  1
 72    0.03346    0.04502    0.02122  0  0  1
 82    0.00020    0.04909    0.00039  0  0  1
 84    0.05154    0.01438    0.02853  0  0  1
 86    0.05073    0.07409    0.07580  0  0  1
 88    0.00085    0.99990    0.04906  0  0  1
  4    0.05003    0.05104    0.04895  0  0  2
 10    0.02455    0.07635    0.99930  0  0  2
 14    0.07441    0.02451    0.99873  0  0  2
 18    0.07477    0.00088    0.02548  0  0  2
 22    0.02514    0.00016    0.07472  0  0  2
 26    0.99887    0.02681    0.07235  0  0  2
 30    0.00071    0.07625    0.02388  0  0  2
 61    0.04969    0.00002    0.00016  0  0  2
 64    0.02450    0.02506    0.04880  0  0  2
 66    0.07453    0.07646    0.04965  0  0  2
 69    0.07498    0.05154    0.07491  0  0  2
 72    0.02519    0.05060    0.02365  0  0  2
 82    0.99996    0.05013    0.00080  0  0  2
 84    0.05013    0.02558    0.02478  0  0  2
 86    0.04925    0.07629    0.07434  0  0  2
 88    0.99900    0.00152    0.04853  0  0  2
  4    0.05009    0.05085    0.04860  0  0  3
 10    0.02417    0.07543    0.99920  0  0  3
 14    0.07444    0.02634    0.99945  0  0  3
 18    0.07451    0.00073    0.02622  0  0  3
 22    0.02409    0.00107    0.07462  0  0  3
 26    0.99983    0.02730    0.07437  0  0  3
 30    0.99972    0.07533    0.02614  0  0  3
 61    0.05063    0.99932    0.99977  0  0  3
 64    0.02328    0.02704    0.05175  0  0  3
 66    0.07509    0.07635    0.04854  0  0  3
 69    0.07561    0.05306    0.07462  0  0  3
 72    0.02628    0.05054    0.02309  0  0  3
 82    0.99958    0.05186    0.99842  0  0  3
 84    0.04884    0.02462    0.02488  0  0  3
 86    0.04979    0.07536    0.07563  0  0  3
 88    0.00077    0.99968    0.04794  0  0  3
  4    0.04870    0.05139    0.04844  0  0  4
 10    0.02421    0.07670    0.99964  0  0  4
 14    0.07308    0.02535    0.99916  0  0  4
 18    0.07551    0.00067    0.02492  0  0  4
 22    0.02906    0.99485    0.06761  0  0  4
 26    0.99919    0.02590    0.07375  0  0  4
 30    0.99928    0.07472    0.02451  0  0  4
