Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
095104.891       76586      102732  0.533E+00  0.971E-01  0.357E-01  0.416E-16  0.173E+02
100104.864      142255      212967  0.239E+00  0.561E-01  0.328E-01  0.716E-16  0.158E+02
101104.864      200040      322644  0.129E+00  0.327E-01  0.308E-01  0.373E+08  0.648E+01
102104.866      252000      431786  0.703E-01  0.202E-01  0.296E-01  0.151E+08  0.142E+01
103104.873      301046      538684  0.371E-01  0.135E-01  0.292E-01  0.792E+07  0.201E+00
104104.903      351879      644729  0.236E-01  0.106E-01  0.291E-01  0.944E+07  0.388E+01
105104.863      397538      752751  0.166E-01  0.968E-02  0.291E-01  0.259E+11  0.376E+00
110104.877      435897      859964  0.130E-01  0.929E-02  0.291E-01  0.720E+06  0.363E+00
111104.877      469197      966435  0.109E-01  0.904E-02  0.290E-01  0.709E+06  0.443E+00
112104.869      498851     1072645  0.954E-02  0.887E-02  0.290E-01  0.116E+07  0.531E+00
113104.861      525452     1178356  0.858E-02  0.876E-02  0.290E-01  0.151E+06  0.923E+00
114104.860      549688     1285457  0.788E-02  0.869E-02  0.290E-01  0.244E+08  0.123E+01
115104.863      571789     1392902  0.737E-02  0.863E-02  0.290E-01  0.179E+08  0.118E+01
120104.862      591605     1499936  0.697E-02  0.859E-02  0.290E-01  0.815E+07  0.125E+01
121104.898      610526     1607409  0.663E-02  0.855E-02  0.290E-01  0.411E+06  0.112E+01
122104.890      628587     1715148  0.636E-02  0.850E-02  0.290E-01  0.335E+07  0.104E+01
123104.861      645909     1824358  0.611E-02  0.847E-02  0.290E-01  0.201E+06  0.930E+00
124104.879      662425     1931517  0.589E-02  0.843E-02  0.290E-01  0.187E+06  0.582E+00
125104.857      678347     2039282  0.569E-02  0.839E-02  0.290E-01  0.102E+06  0.600E+00
130104.871      693810     2148156  0.552E-02  0.833E-02  0.290E-01  0.113E+06  0.409E+00
131104.857      708598     2256682  0.536E-02  0.829E-02  0.290E-01  0.971E+05  0.458E+00
132104.863      723091     2366152  0.520E-02  0.824E-02  0.290E-01  0.492E+05  0.503E+00
133104.859      737371     2475042  0.505E-02  0.819E-02  0.290E-01  0.590E+05  0.746E+00
134104.857      751279     2584275  0.491E-02  0.813E-02  0.290E-01  0.641E+05  0.117E+01
135104.873      765005     2694017  0.478E-02  0.808E-02  0.290E-01  0.389E+05  0.164E+01
140104.869      778201     2802385  0.466E-02  0.802E-02  0.290E-01  0.530E+05  0.199E+01
141104.862      791270     2911192  0.454E-02  0.795E-02  0.290E-01  0.489E+05  0.210E+01
142104.878      804124     3019301  0.444E-02  0.790E-02  0.290E-01  0.382E+05  0.257E+01
143104.862      816656     3128173  0.434E-02  0.785E-02  0.290E-01  0.553E+05  0.287E+01
144104.878      828944     3236874  0.425E-02  0.778E-02  0.290E-01  0.405E+05  0.302E+01
145104.880      840834     3343972  0.418E-02  0.771E-02  0.290E-01  0.373E+05  0.290E+01
150104.857      852813     3453273  0.410E-02  0.765E-02  0.290E-01  0.356E+05  0.319E+01
151104.870      864867     3561897  0.403E-02  0.757E-02  0.290E-01  0.489E+05  0.330E+01
152104.853      876773     3671170  0.396E-02  0.751E-02  0.290E-01  0.389E+05  0.299E+01
153104.887      888446     3779851  0.389E-02  0.745E-02  0.290E-01  0.362E+05  0.308E+01
154104.884      900199     3888333  0.384E-02  0.738E-02  0.290E-01  0.390E+05  0.310E+01
155104.877      911871     3997500  0.377E-02  0.732E-02  0.290E-01  0.401E+05  0.319E+01
160104.880      923451     4107384  0.372E-02  0.724E-02  0.290E-01  0.516E+05  0.322E+01
161104.859      935151     4217449  0.365E-02  0.718E-02  0.290E-01  0.518E+05  0.318E+01
162104.879      946563     4327468  0.360E-02  0.712E-02  0.290E-01  0.584E+05  0.327E+01
163104.863      957884     4435544  0.354E-02  0.705E-02  0.290E-01  0.327E+05  0.307E+01
164104.860      969103     4543632  0.350E-02  0.699E-02  0.290E-01  0.448E+05  0.316E+01
165104.863      980335     4651837  0.345E-02  0.691E-02  0.290E-01  0.408E+05  0.322E+01
170104.864      991699     4761857  0.339E-02  0.685E-02  0.290E-01  0.357E+05  0.331E+01
171104.862     1002940     4870725  0.335E-02  0.678E-02  0.290E-01  0.355E+05  0.314E+01
172104.862     1014155     4979361  0.330E-02  0.672E-02  0.290E-01  0.492E+05  0.334E+01
173104.867     1025389     5088087  0.326E-02  0.665E-02  0.290E-01  0.376E+05  0.354E+01
174104.871     1036588     5196659  0.321E-02  0.659E-02  0.290E-01  0.517E+05  0.321E+01
175104.859     1047810     5305466  0.317E-02  0.652E-02  0.290E-01  0.429E+05  0.266E+01
180104.854     1059080     5414926  0.312E-02  0.645E-02  0.290E-01  0.514E+05  0.284E+01
181104.896     1070260     5524560  0.308E-02  0.639E-02  0.290E-01  0.320E+05  0.292E+01
182104.877     1081381     5632044  0.303E-02  0.633E-02  0.290E-01  0.411E+05  0.302E+01
183104.868     1092423     5741143  0.298E-02  0.628E-02  0.290E-01  0.355E+05  0.305E+01
184104.863     1103554     5849876  0.295E-02  0.621E-02  0.290E-01  0.454E+05  0.305E+01
185104.867     1114636     5958892  0.290E-02  0.615E-02  0.290E-01  0.407E+05  0.247E+01
190104.878     1125908     6069555  0.287E-02  0.609E-02  0.290E-01  0.303E+05  0.260E+01
191104.909     1137276     6179805  0.282E-02  0.603E-02  0.290E-01  0.410E+05  0.273E+01
192105.062     1148379     6288024  0.292E-02  0.603E-02  0.290E-01  0.442E+05  0.291E+01
193104.883     1159411     6397742  0.274E-02  0.591E-02  0.290E-01  0.402E+05  0.244E+01
194104.861     1170454     6507064  0.270E-02  0.585E-02  0.290E-01  0.368E+05  0.284E+01
195104.856     1181408     6616008  0.267E-02  0.579E-02  0.290E-01  0.537E+05  0.260E+01
200104.870     1192214     6724993  0.348E-02  0.773E-02  0.290E-01  0.516E+05  0.263E+01
201104.861     1203026     6832930  0.260E-02  0.567E-02  0.290E-01  0.317E+05  0.228E+01
202104.851     1214043     6941179  0.256E-02  0.561E-02  0.290E-01  0.545E+05  0.243E+01
203104.881     1224852     7049137  0.253E-02  0.555E-02  0.290E-01  0.388E+05  0.219E+01
204104.860     1235893     7158957  0.250E-02  0.549E-02  0.290E-01  0.436E+05  0.207E+01
205104.894     1246876     7267288  0.247E-02  0.542E-02  0.290E-01  0.494E+05  0.225E+01
210104.874     1257991     7378005  0.243E-02  0.537E-02  0.290E-01  0.482E+05  0.263E+01
211104.856     1268943     7487339  0.240E-02  0.530E-02  0.290E-01  0.466E+05  0.264E+01
212104.861     1279884     7596967  0.237E-02  0.525E-02  0.290E-01  0.523E+06  0.243E+01
213104.887     1290712     7705202  0.233E-02  0.520E-02  0.290E-01  0.415E+05  0.275E+01
214104.875     1301720     7814925  0.230E-02  0.514E-02  0.290E-01  0.144E+08  0.256E+01
215104.853     1312351     7922331  0.227E-02  0.509E-02  0.290E-01  0.380E+05  0.227E+01
220104.879     1323188     8031270  0.224E-02  0.503E-02  0.290E-01  0.348E+05  0.238E+01
221104.864     1334142     8141424  0.221E-02  0.498E-02  0.290E-01  0.498E+05  0.208E+01
222104.876     1345061     8251303  0.218E-02  0.492E-02  0.290E-01  0.596E+06  0.253E+01
223104.860     1355752     8359486  0.216E-02  0.487E-02  0.290E-01  0.859E+06  0.246E+01
224104.860     1366495     8468691  0.213E-02  0.482E-02  0.290E-01  0.462E+05  0.253E+01
225104.881     1377291     8577132  0.210E-02  0.477E-02  0.290E-01  0.292E+05  0.256E+01
230104.880     1388220     8686784  0.207E-02  0.471E-02  0.290E-01  0.151E+07  0.251E+01
231104.879     1398852     8794673  0.205E-02  0.466E-02  0.290E-01  0.388E+05  0.218E+01
232104.854     1409376     8903213  0.203E-02  0.461E-02  0.290E-01  0.385E+05  0.222E+01
233104.891     1419938     9010928  0.200E-02  0.456E-02  0.290E-01  0.451E+05  0.210E+01
234104.877     1430511     9119713  0.197E-02  0.451E-02  0.290E-01  0.356E+05  0.233E+01
235104.883     1441274     9228194  0.195E-02  0.445E-02  0.290E-01  0.806E+06  0.224E+01
000104.860     1451781     9335754  0.192E-02  0.441E-02  0.290E-01  0.513E+05  0.239E+01
001104.873     1462181     9443767  0.190E-02  0.436E-02  0.290E-01  0.285E+07  0.201E+01
002105.048     1472410     9549611  0.178E-02  0.425E-02  0.290E-01  0.385E+07  0.216E+01
003104.876     1482527     9656309  0.185E-02  0.427E-02  0.290E-01  0.295E+07  0.221E+01
004104.887     1493209     9765860  0.183E-02  0.422E-02  0.290E-01  0.497E+05  0.198E+01
005104.885     1503850     9875312  0.181E-02  0.417E-02  0.290E-01  0.332E+06  0.193E+01
010104.869     1514379     9984981  0.179E-02  0.412E-02  0.290E-01  0.318E+05  0.187E+01
011104.897     1524985    10094098  0.177E-02  0.407E-02  0.290E-01  0.369E+06  0.204E+01
012104.892     1535537    10204209  0.175E-02  0.403E-02  0.290E-01  0.477E+06  0.197E+01
013104.886     1545812    10311442  0.172E-02  0.399E-02  0.290E-01  0.674E+06  0.166E+01
014104.861     1556188    10421525  0.169E-02  0.395E-02  0.290E-01  0.516E+05  0.227E+01
015104.881     1566716    10530455  0.166E-02  0.391E-02  0.290E-01  0.412E+06  0.193E+01
020104.884     1577238    10639533  0.164E-02  0.386E-02  0.290E-01  0.159E+06  0.192E+01
021104.872     1587697    10749355  0.162E-02  0.381E-02  0.290E-01  0.446E+07  0.147E+01
022104.865     1598193    10859417  0.160E-02  0.377E-02  0.290E-01  0.362E+06  0.168E+01
023104.911     1608621    10968754  0.159E-02  0.372E-02  0.290E-01  0.175E+06  0.161E+01
024104.864     1619151    11078060  0.157E-02  0.367E-02  0.290E-01  0.446E+06  0.169E+01
025104.884     1629542    11186825  0.155E-02  0.363E-02  0.290E-01  0.298E+06  0.184E+01
030104.856     1639951    11295228  0.154E-02  0.358E-02  0.290E-01  0.608E+06  0.169E+01
031104.861     1650224    11404909  0.152E-02  0.354E-02  0.290E-01  0.824E+06  0.194E+01
