 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   0.85000 ,    -0.105380797051876E+02 ,     0.770059896906153E+01 ,     0.782430920364027E+00 ,    -0.108521820585435E+02 ,    -0.231999600443173E+01 ,    -0.949429618535228E+00 , 
   0.86000 ,    -0.110994274104652E+02 ,     0.875807604859464E+01 ,     0.903508293512696E+00 ,    -0.114504912267187E+02 ,    -0.184232096115813E+01 ,    -0.119498745254169E+01 , 
   0.87000 ,    -0.103143394669564E+02 ,     0.775135653361346E+01 ,     0.810299138082890E+00 ,    -0.106433494890951E+02 ,    -0.929750279390196E+00 ,    -0.152418586120900E+01 , 
   0.88000 ,    -0.829921982856233E+01 ,     0.485243772463908E+01 ,     0.515216640639054E+00 ,    -0.854817155021046E+01 ,     0.199668141612195E+00 ,    -0.185314820622406E+01 , 
   0.89000 ,    -0.545793604883910E+01 ,     0.677818425923182E+00 ,     0.779553917941545E-01 ,    -0.558366106681934E+01 ,     0.127993783854166E+01 ,    -0.209912645322028E+01 , 
   0.90000 ,    -0.240473608152864E+01 ,    -0.383934532404898E+01 ,    -0.406177995685548E+00 ,    -0.239028418048164E+01 ,     0.205947583213439E+01 ,    -0.220121609068948E+01 , 
   0.91000 ,     0.161701128546821E+00 ,    -0.765089008169258E+01 ,    -0.826232621538756E+00 ,     0.300835887100137E+00 ,     0.235876106640844E+01 ,    -0.213543784669345E+01 , 
   0.92000 ,     0.160781592708714E+01 ,    -0.982592529431253E+01 ,    -0.107975940451228E+01 ,     0.182435951040782E+01 ,     0.211010509661641E+01 ,    -0.192047291592607E+01 , 
   0.93000 ,     0.150765437207254E+01 ,    -0.976357814398718E+01 ,    -0.109605187574261E+01 ,     0.173044826533661E+01 ,     0.137094615856077E+01 ,    -0.161267599141923E+01 , 
   0.94000 ,    -0.251482616701775E+00 ,    -0.733992440937147E+01 ,    -0.853507170690349E+00 ,    -0.103541173938441E+00 ,     0.308487174591721E+00 ,    -0.129165223161550E+01 , 
