 RN - reference number (a column in rmc6f file indicating an atom type
 in the unit cell)
 XYZ - fractional coordinates of the atom reduced to unit cell
 Nx,Ny,Nz - unit cell indices in the box
 RN    X    Y     Z    Nx    Ny    Nz
  4    0.04914    0.04829    0.04894  0  0  0
 10    0.02507    0.07269    0.99940  0  0  0
 14    0.07161    0.02106    0.99869  0  0  0
 18    0.07245    0.99512    0.02404  0  0  0
 22    0.02456    0.99756    0.07423  0  0  0
 26    0.99847    0.02331    0.07447  0  0  0
 30    0.99950    0.07341    0.02473  0  0  0
 61    0.04914    0.99904    0.99896  0  0  0
 64    0.02522    0.02497    0.04956  0  0  0
 66    0.07439    0.07278    0.04841  0  0  0
 69    0.07538    0.04172    0.07484  0  0  0
 72    0.02479    0.04926    0.02363  0  0  0
 82    0.99749    0.04551    0.00038  0  0  0
 84    0.04780    0.01993    0.02381  0  0  0
 86    0.04844    0.07363    0.07311  0  0  0
 88    0.99970    0.99761    0.04963  0  0  0
  4    0.05175    0.06308    0.05504  0  0  1
 10    0.03101    0.07999    0.99273  0  0  1
 14    0.06837    0.02154    0.99895  0  0  1
 18    0.07376    0.99841    0.02288  0  0  1
 22    0.02512    0.99848    0.07381  0  0  1
 26    0.99949    0.02371    0.07485  0  0  1
 30    0.99963    0.07483    0.02404  0  0  1
 61    0.05237    0.00146    0.00014  0  0  1
 64    0.02404    0.02262    0.04893  0  0  1
 66    0.07321    0.07245    0.04683  0  0  1
 69    0.07369    0.04917    0.07452  0  0  1
 72    0.02340    0.04879    0.02393  0  0  1
 82    0.99829    0.04891    0.00058  0  0  1
 84    0.04985    0.02324    0.02462  0  0  1
 86    0.04140    0.07253    0.07630  0  0  1
 88    0.00098    0.00045    0.04863  0  0  1
  4    0.05033    0.04884    0.05109  0  0  2
 10    0.02623    0.07484    0.99994  0  0  2
 14    0.07537    0.02274    0.99927  0  0  2
 18    0.07446    0.99821    0.02409  0  0  2
 22    0.02540    0.00002    0.07605  0  0  2
 26    0.99907    0.02548    0.07501  0  0  2
 30    0.99902    0.07338    0.02601  0  0  2
 61    0.05049    0.99884    0.99897  0  0  2
 64    0.02547    0.02338    0.04992  0  0  2
 66    0.07516    0.07158    0.05648  0  0  2
 69    0.07466    0.05017    0.07501  0  0  2
 72    0.02498    0.04959    0.02605  0  0  2
 82    0.00037    0.04919    0.99953  0  0  2
 84    0.04884    0.02366    0.02536  0  0  2
 86    0.05019    0.07351    0.07582  0  0  2
 88    0.00056    0.99941    0.04953  0  0  2
  4    0.04916    0.04899    0.05071  0  0  3
 10    0.02407    0.07459    0.99984  0  0  3
 14    0.07498    0.02427    0.00127  0  0  3
 18    0.07394    0.00005    0.02536  0  0  3
 22    0.02526    0.00044    0.07589  0  0  3
 26    0.99941    0.02480    0.07452  0  0  3
 30    0.00094    0.07554    0.02602  0  0  3
 61    0.05072    0.99887    0.00088  0  0  3
 64    0.02563    0.02414    0.05037  0  0  3
 66    0.07497    0.07524    0.05108  0  0  3
 69    0.07472    0.04872    0.07430  0  0  3
 72    0.02404    0.04994    0.02566  0  0  3
 82    0.00093    0.04916    0.00083  0  0  3
 84    0.04948    0.02379    0.02532  0  0  3
 86    0.04988    0.07331    0.07517  0  0  3
 88    0.99435    0.99698    0.04749  0  0  3
  4    0.05122    0.04894    0.04980  0  0  4
 10    0.02436    0.07358    0.99903  0  0  4
 14    0.07498    0.02416    0.00043  0  0  4
 18    0.07588    0.99986    0.02618  0  0  4
 22    0.02437    0.99981    0.07454  0  0  4
 26    0.00021    0.02495    0.07565  0  0  4
 30    0.00027    0.07390    0.02573  0  0  4
 61    0.04943    0.99911    0.00004  0  0  4
 64    0.02386    0.02540    0.04983  0  0  4
 66    0.07457    0.07380    0.04975  0  0  4
 69    0.07584    0.04908    0.07441  0  0  4
 72    0.02514    0.04945    0.02538  0  0  4
 82    0.00042    0.04920    0.99899  0  0  4
 84    0.04993    0.02464    0.02521  0  0  4
 86    0.04898    0.07377    0.07505  0  0  4
 88    0.99970    0.99989    0.04918  0  0  4
