Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
104156.546       49969       55147  0.790E+00  0.158E+00  0.784E+06  0.101E+08
105156.553       99225      118143  0.461E+00  0.116E+00  0.494E+07  0.324E+06
110156.545      142560      181485  0.280E+00  0.871E-01  0.161E+08  0.579E+04
111156.551      181963      244771  0.186E+00  0.663E-01  0.117E+08  0.214E+04
112156.543      218798      307760  0.124E+00  0.512E-01  0.407E+07  0.164E+04
113156.550      253854      370929  0.816E-01  0.400E-01  0.232E+07  0.122E+04
114156.521      286697      434113  0.517E-01  0.318E-01  0.212E+07  0.949E+03
115156.544      318781      497427  0.313E-01  0.259E-01  0.117E+07  0.808E+03
120156.542      349852      560798  0.190E-01  0.217E-01  0.443E+06  0.606E+03
121156.535      379794      624015  0.126E-01  0.188E-01  0.253E+06  0.550E+03
122156.545      407958      686844  0.995E-02  0.170E-01  0.818E+05  0.430E+03
123156.527      434537      750049  0.863E-02  0.159E-01  0.332E+05  0.333E+03
124156.554      459442      813307  0.766E-02  0.151E-01  0.312E+05  0.256E+03
125156.545      482497      876510  0.687E-02  0.146E-01  0.591E+05  0.213E+03
130156.550      504267      939972  0.618E-02  0.142E-01  0.805E+05  0.178E+03
131156.528      525037     1003616  0.557E-02  0.138E-01  0.837E+05  0.146E+03
132156.548      544563     1067193  0.509E-02  0.134E-01  0.565E+05  0.133E+03
133156.528      563910     1131092  0.466E-02  0.131E-01  0.438E+05  0.126E+03
134156.546      582217     1194449  0.431E-02  0.128E-01  0.777E+05  0.129E+03
135156.550      599983     1257778  0.401E-02  0.125E-01  0.509E+05  0.115E+03
140156.551      617182     1321066  0.377E-02  0.122E-01  0.595E+05  0.100E+03
141156.543      633935     1384473  0.356E-02  0.119E-01  0.597E+05  0.912E+02
142156.551      650183     1447973  0.337E-02  0.116E-01  0.405E+05  0.834E+02
143156.555      666035     1511210  0.319E-02  0.114E-01  0.569E+05  0.769E+02
144156.545      681427     1574416  0.303E-02  0.112E-01  0.560E+05  0.707E+02
145156.527      697001     1637969  0.290E-02  0.109E-01  0.727E+05  0.704E+02
150156.560      711953     1701386  0.276E-02  0.107E-01  0.698E+05  0.609E+02
151156.543      726555     1764872  0.265E-02  0.105E-01  0.397E+05  0.587E+02
152156.544      741015     1828362  0.253E-02  0.103E-01  0.286E+05  0.554E+02
153156.549      755200     1891731  0.243E-02  0.100E-01  0.442E+05  0.491E+02
154156.534      769276     1955533  0.232E-02  0.984E-02  0.667E+05  0.466E+02
155156.526      783379     2019109  0.223E-02  0.963E-02  0.662E+05  0.413E+02
160156.543      797103     2082942  0.215E-02  0.943E-02  0.283E+05  0.407E+02
161156.547      810700     2146123  0.207E-02  0.923E-02  0.566E+05  0.432E+02
162156.533      824068     2209613  0.199E-02  0.903E-02  0.392E+05  0.359E+02
163156.503      837517     2272911  0.192E-02  0.884E-02  0.572E+05  0.342E+02
164156.520      850889     2336272  0.186E-02  0.864E-02  0.815E+05  0.355E+02
165156.546      864187     2399762  0.179E-02  0.845E-02  0.288E+05  0.328E+02
170156.531      876843     2463324  0.172E-02  0.827E-02  0.303E+05  0.300E+02
171156.547      889668     2526768  0.166E-02  0.809E-02  0.497E+05  0.302E+02
172156.556      902425     2590503  0.161E-02  0.791E-02  0.320E+05  0.319E+02
173156.525      915186     2653983  0.156E-02  0.773E-02  0.248E+05  0.350E+02
174156.535      927768     2717638  0.151E-02  0.755E-02  0.277E+05  0.366E+02
175156.535      940141     2781474  0.146E-02  0.738E-02  0.313E+05  0.349E+02
180156.530      952224     2844989  0.140E-02  0.722E-02  0.285E+05  0.282E+02
181156.648      964358     2908022  0.124E-02  0.644E-02  0.304E+05  0.292E+02
182156.545      976174     2971572  0.131E-02  0.690E-02  0.166E+05  0.287E+02
183156.546      987950     3035127  0.127E-02  0.675E-02  0.745E+04  0.249E+02
184156.539      999873     3098575  0.124E-02  0.659E-02  0.196E+05  0.266E+02
185156.542     1011457     3162238  0.120E-02  0.644E-02  0.105E+05  0.273E+02
190156.532     1022896     3226027  0.117E-02  0.629E-02  0.256E+05  0.272E+02
191156.547     1034017     3289539  0.114E-02  0.615E-02  0.447E+04  0.278E+02
192156.545     1045316     3352981  0.111E-02  0.601E-02  0.180E+05  0.258E+02
193156.551     1056333     3416323  0.108E-02  0.588E-02  0.164E+05  0.226E+02
194156.558     1067337     3479866  0.105E-02  0.575E-02  0.472E+04  0.226E+02
195156.554     1078078     3543177  0.103E-02  0.562E-02  0.346E+04  0.197E+02
200156.537     1088935     3606587  0.100E-02  0.549E-02  0.247E+04  0.199E+02
201156.541     1099624     3670106  0.981E-03  0.537E-02  0.151E+04  0.206E+02
202156.554     1110020     3734033  0.956E-03  0.525E-02  0.418E+04  0.197E+02
203156.548     1120401     3797482  0.939E-03  0.513E-02  0.822E+04  0.239E+02
204156.537     1130869     3861546  0.922E-03  0.501E-02  0.206E+04  0.202E+02
205156.559     1141166     3924984  0.901E-03  0.490E-02  0.397E+04  0.186E+02
210156.553     1151210     3988545  0.883E-03  0.479E-02  0.422E+04  0.191E+02
211156.554     1160801     4052267  0.870E-03  0.469E-02  0.286E+04  0.166E+02
212156.492     1170516     4115890  0.855E-03  0.458E-02  0.131E+04  0.180E+02
213156.556     1180358     4179258  0.840E-03  0.448E-02  0.295E+04  0.205E+02
214156.542     1190281     4242936  0.828E-03  0.438E-02  0.143E+04  0.202E+02
215156.551     1199837     4306601  0.815E-03  0.428E-02  0.136E+04  0.203E+02
220156.546     1209533     4370804  0.807E-03  0.418E-02  0.131E+04  0.176E+02
221156.544     1219245     4434891  0.800E-03  0.408E-02  0.201E+04  0.179E+02
222156.521     1228815     4498748  0.789E-03  0.399E-02  0.275E+04  0.171E+02
223156.539     1238493     4562466  0.778E-03  0.390E-02  0.117E+04  0.186E+02
224156.524     1247941     4626131  0.774E-03  0.381E-02  0.159E+04  0.196E+02
225156.551     1257179     4689896  0.765E-03  0.372E-02  0.968E+03  0.189E+02
230156.544     1266581     4753673  0.758E-03  0.364E-02  0.584E+03  0.174E+02
231156.621     1275920     4816773  0.791E-03  0.444E-02  0.107E+04  0.187E+02
232156.543     1285111     4880471  0.750E-03  0.347E-02  0.748E+03  0.175E+02
233156.551     1294217     4943865  0.741E-03  0.339E-02  0.941E+03  0.167E+02
234156.543     1303222     5007642  0.735E-03  0.332E-02  0.576E+03  0.170E+02
235156.536     1312347     5071379  0.733E-03  0.324E-02  0.618E+03  0.164E+02
000156.543     1321369     5134992  0.729E-03  0.317E-02  0.165E+04  0.153E+02
001156.527     1330446     5198887  0.727E-03  0.310E-02  0.410E+03  0.169E+02
002156.552     1339213     5262201  0.719E-03  0.303E-02  0.777E+03  0.176E+02
003156.547     1347911     5326065  0.717E-03  0.296E-02  0.751E+03  0.185E+02
004156.549     1356771     5389907  0.720E-03  0.289E-02  0.602E+03  0.194E+02
005156.522     1365643     5453482  0.721E-03  0.283E-02  0.619E+03  0.177E+02
010156.554     1374471     5516916  0.722E-03  0.276E-02  0.833E+03  0.173E+02
011156.534     1383195     5580668  0.718E-03  0.270E-02  0.602E+03  0.178E+02
012156.540     1391987     5644451  0.718E-03  0.264E-02  0.879E+03  0.197E+02
013156.541     1400561     5708154  0.716E-03  0.258E-02  0.448E+03  0.193E+02
014156.697     1409033     5771690  0.120E-02  0.382E-02  0.677E+03  0.202E+02
015156.531     1417360     5835215  0.710E-03  0.247E-02  0.455E+03  0.183E+02
020156.544     1425635     5899031  0.709E-03  0.242E-02  0.432E+03  0.167E+02
021156.540     1433930     5962618  0.709E-03  0.237E-02  0.676E+03  0.168E+02
022156.566     1442315     6026348  0.705E-03  0.232E-02  0.100E+04  0.173E+02
023156.551     1450599     6089900  0.703E-03  0.227E-02  0.494E+03  0.180E+02
024156.549     1458704     6153291  0.706E-03  0.222E-02  0.530E+03  0.183E+02
