 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-Sn,Yb-O ,Ti-Ti,Ti-Sn,Ti-O ,Sn-Sn,Sn-O ,O-O  
   0.85000 ,    -0.108270615378482E+02 ,     0.821457776983740E+01 ,     0.876403346394194E+01 ,     0.796223606194039E+00 ,    -0.108468462643952E+02 ,    -0.119248697189290E+02 ,    -0.214836913903773E+01 ,    -0.114889005087610E+02 ,    -0.143729254279274E+01 ,    -0.937048878193433E+00 , 
   0.86000 ,    -0.108923267411337E+02 ,     0.846133695928207E+01 ,     0.902597304638705E+01 ,     0.813619476643394E+00 ,    -0.108617641607724E+02 ,    -0.119774602167558E+02 ,    -0.147018396977976E+01 ,    -0.113388031408458E+02 ,    -0.771086575374615E+00 ,    -0.122282445699045E+01 , 
   0.87000 ,    -0.962146102115878E+01 ,     0.665426749178939E+01 ,     0.713945410809148E+01 ,     0.644715886349963E+00 ,    -0.951369412584224E+01 ,    -0.105413675780841E+02 ,    -0.460278994929508E+00 ,    -0.980436779354922E+01 ,     0.120116338558943E+00 ,    -0.157461684094456E+01 , 
   0.88000 ,    -0.724071453958929E+01 ,     0.315437063299374E+01 ,     0.347569246731028E+01 ,     0.322552704598733E+00 ,    -0.704924378637313E+01 ,    -0.787725457298790E+01 ,     0.639262730230296E+00 ,    -0.715863020989844E+01 ,     0.101314290955725E+01 ,    -0.190324222128045E+01 , 
   0.89000 ,    -0.424677026273544E+01 ,    -0.126717732371230E+01 ,    -0.116796848755791E+01 ,    -0.831956601432040E-01 ,    -0.398863375438191E+01 ,    -0.453916830521075E+01 ,     0.156953552259895E+01 ,    -0.394956665355813E+01 ,     0.168355151999492E+01 ,    -0.212684785120295E+01 , 
   0.90000 ,    -0.130845139045840E+01 ,    -0.559384890434621E+01 ,    -0.573725258123071E+01 ,    -0.480787062265700E+00 ,    -0.102162428641528E+01 ,    -0.126430183203290E+01 ,     0.211564660093378E+01 ,    -0.891935957456497E+00 ,     0.196015570177229E+01 ,    -0.219122095389804E+01 , 
   0.91000 ,     0.874025013369252E+00 ,    -0.878823136361854E+01 ,    -0.915224516761598E+01 ,    -0.776280654468922E+00 ,     0.113839072722354E+01 ,     0.118169713075417E+01 ,     0.215576769335164E+01 ,     0.128300064907991E+01 ,     0.176595140628591E+01 ,    -0.208293058375135E+01 , 
   0.92000 ,     0.172360898950798E+01 ,    -0.100274286514076E+02 ,    -0.105507458673484E+02 ,    -0.894482526019106E+00 ,     0.191227145863964E+01 ,     0.217228802583318E+01 ,     0.168725872263030E+01 ,     0.198925499075676E+01 ,     0.113591143785482E+01 ,    -0.183211914940723E+01 , 
   0.93000 ,     0.922549886594960E+00 ,    -0.889786961267168E+01 ,    -0.949054495960968E+01 ,    -0.796471874240590E+00 ,     0.992009545300325E+00 ,     0.136558295215884E+01 ,     0.824475569586776E+00 ,     0.925519973770539E+00 ,     0.207910784327894E+00 ,    -0.150436520095336E+01 , 
   0.94000 ,    -0.149907450959599E+01 ,    -0.550643011895853E+01 ,    -0.606599600901289E+01 ,    -0.489903468006680E+00 ,    -0.157270075364348E+01 ,    -0.120309529660053E+01 ,    -0.230279228512236E+00 ,    -0.183784997461015E+01 ,    -0.810402508238824E+00 ,    -0.118375833604211E+01 , 
