 RN - reference number (a column in rmc6f file indicating an atom type
 in the unit cell)
 XYZ - fractional coordinates of the atom reduced to unit cell
 Nx,Ny,Nz - unit cell indices in the box
 RN    X    Y     Z    Nx    Ny    Nz
  4    0.04614    0.05083    0.04691  0  0  0
 10    0.02213    0.07450    0.99679  0  0  0
 14    0.07429    0.02512    0.00067  0  0  0
 18    0.07373    0.00107    0.02403  0  0  0
 22    0.02255    0.99933    0.07305  0  0  0
 26    0.99453    0.02403    0.07364  0  0  0
 30    0.99737    0.07476    0.02228  0  0  0
 61    0.04567    0.00170    0.99721  0  0  0
 64    0.02187    0.02485    0.04857  0  0  0
 66    0.07239    0.07557    0.04818  0  0  0
 69    0.07311    0.05013    0.07438  0  0  0
 72    0.02446    0.04961    0.02438  0  0  0
 82    0.00201    0.05103    0.99829  0  0  0
 84    0.04757    0.02600    0.02218  0  0  0
 86    0.04868    0.07617    0.07355  0  0  0
 88    0.99989    0.99935    0.05105  0  0  0
  4    0.04887    0.04938    0.04936  0  0  1
 10    0.02314    0.07452    0.99687  0  0  1
 14    0.07390    0.02479    0.99825  0  0  1
 18    0.07420    0.00003    0.02504  0  0  1
 22    0.02329    0.99921    0.07314  0  0  1
 26    0.99820    0.02519    0.07374  0  0  1
 30    0.99923    0.07424    0.02372  0  0  1
 61    0.04913    0.00121    0.99877  0  0  1
 64    0.02370    0.02371    0.04834  0  0  1
 66    0.07306    0.07508    0.04805  0  0  1
 69    0.07147    0.04936    0.07497  0  0  1
 72    0.02393    0.04980    0.02397  0  0  1
 82    0.00059    0.04971    0.99803  0  0  1
 84    0.04788    0.02476    0.02349  0  0  1
 86    0.04835    0.07556    0.07288  0  0  1
 88    0.99833    0.00100    0.04728  0  0  1
  4    0.04789    0.04918    0.05102  0  0  2
 10    0.02307    0.07529    0.99886  0  0  2
 14    0.07262    0.02471    0.99861  0  0  2
 18    0.07484    0.00030    0.02493  0  0  2
 22    0.02449    0.00012    0.07419  0  0  2
 26    0.00066    0.02633    0.07436  0  0  2
 30    0.99967    0.07481    0.02449  0  0  2
 61    0.04501    0.99913    0.99946  0  0  2
 64    0.02305    0.02530    0.04847  0  0  2
 66    0.07266    0.07527    0.04987  0  0  2
 69    0.07282    0.04977    0.07607  0  0  2
 72    0.02412    0.04942    0.02412  0  0  2
 82    0.99799    0.04999    0.99872  0  0  2
 84    0.04826    0.02462    0.02348  0  0  2
 86    0.04657    0.07432    0.07489  0  0  2
 88    0.99850    0.00019    0.04862  0  0  2
  4    0.04831    0.04928    0.04989  0  0  3
 10    0.02764    0.07357    0.99646  0  0  3
 14    0.07445    0.02381    0.99866  0  0  3
 18    0.07557    0.00044    0.02668  0  0  3
 22    0.02482    0.99956    0.07419  0  0  3
 26    0.00024    0.02551    0.07537  0  0  3
 30    0.99981    0.07600    0.02444  0  0  3
 61    0.04919    0.00052    0.99920  0  0  3
 64    0.02525    0.02482    0.05106  0  0  3
 66    0.07442    0.07486    0.04909  0  0  3
 69    0.07463    0.04914    0.07368  0  0  3
 72    0.02563    0.04979    0.02335  0  0  3
 82    0.99960    0.04961    0.00040  0  0  3
 84    0.04917    0.02470    0.02510  0  0  3
 86    0.04978    0.07480    0.07504  0  0  3
 88    0.00025    0.00024    0.04961  0  0  3
  4    0.04938    0.04982    0.05098  0  0  4
 10    0.02551    0.07434    0.00065  0  0  4
 14    0.07416    0.02564    0.00115  0  0  4
 18    0.07511    0.00036    0.02523  0  0  4
 22    0.02437    0.99786    0.07554  0  0  4
 26    0.00082    0.02446    0.07536  0  0  4
 30    0.99933    0.07475    0.02508  0  0  4
 61    0.05020    0.99982    0.00140  0  0  4
 64    0.02502    0.02489    0.05064  0  0  4
 66    0.07580    0.07448    0.04987  0  0  4
 69    0.07429    0.04978    0.07457  0  0  4
 72    0.02544    0.05077    0.02554  0  0  4
 82    0.99994    0.04900    0.99952  0  0  4
 84    0.05011    0.02509    0.02627  0  0  4
 86    0.04986    0.07561    0.07433  0  0  4
 88    0.99951    0.00062    0.05010  0  0  4
  4    0.05017    0.04822    0.05098  0  0  5
 10    0.02559    0.07409    0.99993  0  0  5
 14    0.07800    0.02834    0.00160  0  0  5
 18    0.07506    0.99912    0.02468  0  0  5
 22    0.02551    0.00009    0.07617  0  0  5
 26    0.00031    0.02486    0.07597  0  0  5
 30    0.00000    0.07523    0.02564  0  0  5
 61    0.05206    0.99849    0.99794  0  0  5
 64    0.02533    0.02250    0.05041  0  0  5
 66    0.07490    0.07423    0.04958  0  0  5
 69    0.07546    0.04999    0.07449  0  0  5
 72    0.02464    0.04777    0.02563  0  0  5
 82    0.00014    0.05003    0.00058  0  0  5
 84    0.05087    0.02422    0.02566  0  0  5
 86    0.05141    0.07415    0.07597  0  0  5
 88    0.00005    0.00029    0.05026  0  0  5
  4    0.05014    0.04906    0.05102  0  0  6
 10    0.02562    0.07486    0.99974  0  0  6
 14    0.07546    0.02533    0.99992  0  0  6
 18    0.07520    0.99850    0.02488  0  0  6
 22    0.02585    0.00038    0.07344  0  0  6
 26    0.99937    0.02436    0.07591  0  0  6
 30    0.00131    0.07569    0.02568  0  0  6
 61    0.05028    0.99951    0.00035  0  0  6
 64    0.02496    0.02433    0.05243  0  0  6
 66    0.07483    0.07521    0.05138  0  0  6
 69    0.07380    0.04841    0.07611  0  0  6
 72    0.02561    0.04966    0.02460  0  0  6
 82    0.00037    0.05019    0.00115  0  0  6
 84    0.04950    0.02429    0.02449  0  0  6
 86    0.05071    0.07385    0.07545  0  0  6
 88    0.99992    0.00052    0.05083  0  0  6
  4    0.04951    0.04943    0.05033  0  0  7
 10    0.02716    0.07450    0.00152  0  0  7
 14    0.07189    0.02761    0.99834  0  0  7
 18    0.07258    0.99878    0.02563  0  0  7
 22    0.02007    0.99790    0.06843  0  0  7
 26    0.99873    0.02530    0.07630  0  0  7
 30    0.00181    0.07533    0.02614  0  0  7
 61    0.04919    0.99965    0.00050  0  0  7
 64    0.02460    0.02516    0.04947  0  0  7
 66    0.07446    0.07494    0.05143  0  0  7
 69    0.07273    0.04916    0.07718  0  0  7
 72    0.02444    0.05024    0.02561  0  0  7
 82    0.00059    0.04989    0.00122  0  0  7
 84    0.05385    0.03076    0.02844  0  0  7
 86    0.04649    0.07742    0.07363  0  0  7
 88    0.99878    0.99959    0.05162  0  0  7
  4    0.04951    0.04955    0.04855  0  0  8
 10    0.02449    0.07712    0.99997  0  0  8
 14    0.07260    0.02574    0.00309  0  0  8
 18    0.07311    0.99958    0.02633  0  0  8
 22    0.02183    0.99235    0.07639  0  0  8
 26    0.99874    0.02156    0.08238  0  0  8
 30    0.99983    0.07458    0.02629  0  0  8
 61    0.05041    0.00006    0.99995  0  0  8
 64    0.02408    0.02602    0.05056  0  0  8
 66    0.07637    0.07036    0.05725  0  0  8
 69    0.07332    0.04975    0.07570  0  0  8
 72    0.02329    0.04681    0.02705  0  0  8
 82    0.99958    0.04960    0.00086  0  0  8
 84    0.05043    0.02542    0.02392  0  0  8
 86    0.04866    0.07281    0.07710  0  0  8
 88    0.99965    0.99987    0.04973  0  0  8
  4    0.04816    0.05126    0.04699  0  0  9
 10    0.02359    0.07589    0.00087  0  0  9
 14    0.07168    0.02978    0.99692  0  0  9
 18    0.07621    0.00460    0.02203  0  0  9
 22    0.02316    0.00010    0.07131  0  0  9
 26    0.00371    0.03096    0.08188  0  0  9
 30    0.99642    0.07372    0.02430  0  0  9
 61    0.05631    0.99808    0.99595  0  0  9
 64    0.02073    0.02371    0.04399  0  0  9
 66    0.07243    0.07653    0.04870  0  0  9
 69    0.07207    0.05003    0.07467  0  0  9
 72    0.02408    0.04901    0.02516  0  0  9
 82    0.99986    0.04903    0.99967  0  0  9
 84    0.04989    0.02522    0.02491  0  0  9
 86    0.04637    0.07544    0.07242  0  0  9
 88    0.99933    0.00096    0.04576  0  0  9
  4    0.04813    0.04936    0.04888  0  1  0
 10    0.02400    0.07323    0.99912  0  1  0
 14    0.07166    0.02661    0.99811  0  1  0
 18    0.07341    0.00056    0.02423  0  1  0
 22    0.02369    0.99913    0.07372  0  1  0
 26    0.99766    0.02434    0.07256  0  1  0
 30    0.99510    0.07341    0.02538  0  1  0
 61    0.04670    0.00172    0.99840  0  1  0
 64    0.02171    0.02355    0.04698  0  1  0
 66    0.07293    0.07497    0.04902  0  1  0
 69    0.07233    0.04974    0.07382  0  1  0
 72    0.02238    0.05031    0.02500  0  1  0
 82    0.99804    0.04874    0.00043  0  1  0
 84    0.04752    0.02565    0.02395  0  1  0
 86    0.04817    0.07491    0.07297  0  1  0
 88    0.99711    0.99942    0.04935  0  1  0
  4    0.04864    0.05020    0.04955  0  1  1
 10    0.02439    0.07494    0.99921  0  1  1
 14    0.07213    0.02452    0.99685  0  1  1
 18    0.07355    0.99941    0.02357  0  1  1
 22    0.02382    0.00010    0.07471  0  1  1
 26    0.99941    0.02517    0.07372  0  1  1
 30    0.99819    0.07508    0.02266  0  1  1
 61    0.04746    0.00115    0.99937  0  1  1
 64    0.02415    0.02422    0.04836  0  1  1
 66    0.07444    0.07603    0.05000  0  1  1
 69    0.07457    0.04948    0.07313  0  1  1
 72    0.02477    0.05039    0.02377  0  1  1
 82    0.99898    0.04995    0.99912  0  1  1
