    r      L_Sn-O
  1.640    -0.170
  1.650    -0.163
  1.660    -0.155
  1.670    -0.145
  1.680    -0.133
  1.690    -0.118
  1.700    -0.101
  1.710    -0.079
  1.720    -0.053
  1.730    -0.021
  1.740     0.018
  1.750     0.065
  1.760     0.121
  1.770     0.189
  1.780     0.270
  1.790     0.367
  1.800     0.482
  1.810     0.618
  1.820     0.777
  1.830     0.963
  1.840     1.177
  1.850     1.422
  1.860     1.698
  1.870     2.005
  1.880     2.342
  1.890     2.706
  1.900     3.091
  1.910     3.491
  1.920     3.900
  1.930     4.309
  1.940     4.709
  1.950     5.094
  1.960     5.458
  1.970     5.795
  1.980     6.102
  1.990     6.378
  2.000     6.623
