Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
094145.855       16358       18519  0.277E+02  0.218E+00  0.184E+06  0.114E-06  0.641E-01  0.527E+08
095145.876       35017       45296  0.111E+02  0.192E+00  0.716E+06  0.948E-02  0.787E-01  0.248E+08
100145.858       51666       72313  0.511E+01  0.170E+00  0.173E+07  0.543E-02  0.156E+00  0.114E+08
101145.844       67085       99242  0.276E+01  0.152E+00  0.258E+07  0.435E-02  0.176E+00  0.467E+07
102145.858       81824      125994  0.172E+01  0.136E+00  0.304E+07  0.173E-02  0.236E+00  0.150E+07
103145.858       96235      152871  0.120E+01  0.122E+00  0.221E+07  0.360E-02  0.234E+00  0.381E+06
104146.262      110595      180005  0.571E+00  0.193E+00  0.300E+07  0.212E-02  0.370E+00  0.860E+05
105145.835      124532      206881  0.697E+00  0.994E-01  0.332E+07  0.167E-02  0.594E+00  0.275E+05
110145.834      138290      233875  0.559E+00  0.902E-01  0.728E+07  0.183E-02  0.720E+00  0.109E+05
111145.859      151258      260796  0.458E+00  0.820E-01  0.355E+07  0.202E-02  0.101E+01  0.684E+04
112145.877      164186      287805  0.376E+00  0.747E-01  0.294E+07  0.238E-02  0.130E+01  0.329E+04
113145.848      176683      314953  0.311E+00  0.683E-01  0.409E+07  0.216E-02  0.195E+01  0.137E+04
114145.837      188834      342134  0.257E+00  0.626E-01  0.553E+06  0.209E-02  0.233E+01  0.419E+03
115145.830      200550      369418  0.213E+00  0.574E-01  0.918E+06  0.205E-02  0.294E+01  0.155E+03
120145.843      210964      396889  0.179E+00  0.531E-01  0.115E+07  0.287E-02  0.359E+01  0.114E+03
121145.836      222018      424577  0.149E+00  0.489E-01  0.211E+07  0.554E-02  0.505E+01  0.930E+02
122145.870      232946      451976  0.125E+00  0.453E-01  0.964E+06  0.660E-02  0.659E+01  0.804E+02
123145.852      243650      479243  0.105E+00  0.421E-01  0.102E+07  0.485E-02  0.904E+01  0.697E+02
124145.868      254250      506488  0.877E-01  0.393E-01  0.223E+07  0.624E-02  0.111E+02  0.691E+02
125145.867      265021      533851  0.730E-01  0.367E-01  0.802E+06  0.284E-02  0.138E+02  0.640E+02
