 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-Sn,Yb-O ,Ti-Ti,Ti-Sn,Ti-O ,Sn-Sn,Sn-O ,O-O  
   0.85000 ,    -0.112434768573337E+02 ,     0.930509224729904E+01 ,     0.900931159616816E+01 ,     0.829734797697323E+00 ,    -0.114129264514727E+02 ,    -0.117582597271219E+02 ,    -0.150454761314480E+01 ,    -0.115053502270545E+02 ,    -0.162060707538128E+01 ,    -0.110578097874932E+01 , 
   0.86000 ,    -0.103085095917890E+02 ,     0.793369486307448E+01 ,     0.769205022988454E+01 ,     0.690213380871227E+00 ,    -0.103290627992667E+02 ,    -0.107020197879215E+02 ,    -0.469129635736592E+00 ,    -0.104647271472219E+02 ,    -0.680682145876790E+00 ,    -0.150146207806158E+01 , 
   0.87000 ,    -0.812239461079784E+01 ,     0.458382133846256E+01 ,     0.441321690359168E+01 ,     0.377318146889227E+00 ,    -0.794956881106760E+01 ,    -0.833531047648503E+01 ,     0.703984783062057E+00 ,    -0.813327602525737E+01 ,     0.387934631932110E+00 ,    -0.190396458902737E+01 , 
   0.88000 ,    -0.513778636985255E+01 ,    -0.447406661257032E-02 ,    -0.104011892692805E+00 ,    -0.398042144702704E-01 ,    -0.477219632089626E+01 ,    -0.515439383985095E+01 ,     0.172963372196317E+01 ,    -0.499632537332284E+01 ,     0.132391473219832E+01 ,    -0.221054488696707E+01 , 
   0.89000 ,    -0.202154409653078E+01 ,    -0.477089442720297E+01 ,    -0.481666661848312E+01 ,    -0.465237698411390E+00 ,    -0.150940504852544E+01 ,    -0.187299103291825E+01 ,     0.236262971868841E+01 ,    -0.175536946527879E+01 ,     0.190116083672010E+01 ,    -0.234439629648034E+01 , 
   0.90000 ,     0.486089602303323E+00 ,    -0.857167374560785E+01 ,    -0.859457507184684E+01 ,    -0.797578313707023E+00 ,     0.106261662954986E+01 ,     0.729496814479172E+00 ,     0.245576260477684E+01 ,     0.820358870172932E+00 ,     0.198224608561850E+01 ,    -0.227382683012015E+01 , 
   0.91000 ,     0.173528707970482E+01 ,    -0.104413228182057E+02 ,    -0.104788312180152E+02 ,    -0.952913448696776E+00 ,     0.227553239972180E+01 ,     0.198077832463710E+01 ,     0.199290474056955E+01 ,     0.206389445401757E+01 ,     0.154943478529290E+01 ,    -0.201975573436295E+01 , 
   0.92000 ,     0.131887323701246E+01 ,    -0.982111833248961E+01 ,    -0.990868035713138E+01 ,    -0.884455519963582E+00 ,     0.172487650819910E+01 ,     0.147289961267503E+01 ,     0.108998458349835E+01 ,     0.156630147284565E+01 ,     0.706507528416819E+00 ,    -0.164976296916293E+01 , 
   0.93000 ,    -0.819864310233033E+00 ,    -0.670313861560886E+01 ,    -0.686597729158236E+01 ,    -0.594511367787475E+00 ,    -0.623017941508250E+00 ,    -0.829996734954872E+00 ,    -0.354099202483651E-01 ,    -0.715321617124946E+00 ,    -0.348137636751590E+00 ,    -0.126033583565611E+01 , 
   0.94000 ,    -0.434805106225283E+01 ,    -0.165701529452025E+01 ,    -0.190425180627029E+01 ,    -0.136128088076111E+00 ,    -0.439703569708152E+01 ,    -0.455747773843514E+01 ,    -0.111747831576149E+01 ,    -0.442174912454805E+01 ,    -0.136973620182189E+01 ,    -0.951917195971051E+00 , 
   0.95000 ,    -0.858328590231527E+01 ,     0.426789033402063E+01 ,     0.394548849996406E+01 ,     0.396025404391219E+00 ,    -0.886941976935710E+01 ,    -0.898140910246174E+01 ,    -0.190510177251699E+01 ,    -0.883715717047341E+01 ,    -0.212451205717762E+01 ,    -0.803132545114703E+00 , 
   0.96000 ,    -0.126073251684139E+02 ,     0.974516840450307E+01 ,     0.937337339483743E+01 ,     0.883692904567623E+00 ,    -0.130785898034155E+02 ,    -0.131397120458032E+02 ,    -0.221879572703217E+01 ,    -0.130094538313568E+02 ,    -0.244216142291179E+01 ,    -0.850726169893208E+00 , 
