 RN - reference number (a column in rmc6f file indicating an atom type
 in the unit cell)
 XYZ - fractional coordinates of the atom reduced to unit cell
 Nx,Ny,Nz - unit cell indices in the box
 RN    X    Y     Z    Nx    Ny    Nz
  4    0.04850    0.04872    0.05517  0  0  0
 10    0.03090    0.07130    0.99574  0  0  0
 14    0.08232    0.02595    0.00162  0  0  0
 18    0.07957    0.99703    0.01954  0  0  0
 22    0.02241    0.99982    0.08337  0  0  0
 26    0.99810    0.02533    0.08381  0  0  0
 30    0.99842    0.07360    0.03179  0  0  0
 61    0.04927    0.99945    0.99810  0  0  0
 64    0.02667    0.02447    0.05745  0  0  0
 66    0.07629    0.07561    0.05488  0  0  0
 69    0.07617    0.04572    0.07695  0  0  0
 72    0.03118    0.04720    0.02184  0  0  0
 82    0.99190    0.04980    0.00266  0  0  0
 84    0.04954    0.02422    0.01571  0  0  0
 86    0.05190    0.07266    0.07563  0  0  0
 88    0.99835    0.99741    0.05260  0  0  0
  4    0.04980    0.05002    0.05558  0  0  1
 10    0.02513    0.07400    0.00093  0  0  1
 14    0.07820    0.01863    0.99829  0  0  1
 18    0.07296    0.00056    0.02937  0  0  1
 22    0.02514    0.99954    0.07554  0  0  1
 26    0.00154    0.02544    0.07315  0  0  1
 30    0.00088    0.07200    0.02924  0  0  1
 61    0.05307    0.99363    0.00219  0  0  1
 64    0.01625    0.02405    0.05071  0  0  1
 66    0.07481    0.07337    0.05396  0  0  1
 69    0.07516    0.04424    0.07098  0  0  1
 72    0.03388    0.04817    0.02377  0  0  1
 82    0.00002    0.04824    0.00451  0  0  1
 84    0.05239    0.02366    0.02517  0  0  1
 86    0.05065    0.07737    0.06607  0  0  1
 88    0.99729    0.00010    0.05193  0  0  1
  4    0.04888    0.05034    0.05092  0  0  2
 10    0.02438    0.07549    0.00153  0  0  2
 14    0.07352    0.02528    0.00356  0  0  2
 18    0.07414    0.00035    0.02736  0  0  2
 22    0.02428    0.00019    0.07576  0  0  2
 26    0.00020    0.02436    0.07751  0  0  2
 30    0.99885    0.07468    0.03041  0  0  2
 61    0.05030    0.99851    0.00005  0  0  2
 64    0.02439    0.02563    0.05140  0  0  2
 66    0.07454    0.07660    0.05186  0  0  2
 69    0.07421    0.04909    0.07572  0  0  2
 72    0.02466    0.05060    0.02546  0  0  2
 82    0.99879    0.04944    0.00195  0  0  2
 84    0.04608    0.02523    0.03178  0  0  2
 86    0.04975    0.07478    0.07673  0  0  2
 88    0.99971    0.00007    0.05057  0  0  2
  4    0.04869    0.05029    0.05144  0  0  3
 10    0.02538    0.07509    0.00067  0  0  3
 14    0.07473    0.02520    0.00056  0  0  3
 18    0.07483    0.00062    0.02530  0  0  3
 22    0.02559    0.99965    0.07409  0  0  3
 26    0.99943    0.02371    0.07689  0  0  3
 30    0.99896    0.07401    0.02580  0  0  3
 61    0.04969    0.00066    0.00044  0  0  3
 64    0.02492    0.02568    0.05067  0  0  3
 66    0.07476    0.07569    0.05186  0  0  3
 69    0.07501    0.05060    0.07603  0  0  3
 72    0.02454    0.04866    0.02475  0  0  3
 82    0.00022    0.04897    0.00108  0  0  3
 84    0.04923    0.02400    0.02637  0  0  3
 86    0.04997    0.07513    0.07719  0  0  3
 88    0.99897    0.00017    0.05033  0  0  3
  4    0.04871    0.05067    0.04999  0  0  4
 10    0.02450    0.07545    0.00054  0  0  4
 14    0.07557    0.02518    0.00067  0  0  4
 18    0.07451    0.99988    0.02552  0  0  4
 22    0.02550    0.99941    0.07362  0  0  4
 26    0.99955    0.02427    0.07570  0  0  4
 30    0.99996    0.07514    0.02452  0  0  4
 61    0.04915    0.00019    0.00139  0  0  4
 64    0.02462    0.02487    0.04999  0  0  4
 66    0.07522    0.07381    0.04934  0  0  4
 69    0.07558    0.04902    0.07457  0  0  4
