    r     L_Yb-Yb   L_Sn-Sn     L_O-O
  1.000     0.000     0.000     0.000
  1.010     0.000     0.000     0.000
  1.020     0.000     0.000     0.000
  1.030     0.000     0.000     0.000
  1.040     0.000     0.000     0.000
  1.050     0.000     0.000     0.000
  1.060     0.000     0.000     0.000
  1.070     0.000     0.000     0.000
  1.080     0.000     0.000     0.000
  1.090     0.000     0.000     0.000
  1.100     0.000     0.000     0.001
  1.110     0.000     0.000     0.001
  1.120     0.000     0.000     0.001
  1.130     0.000     0.000     0.001
  1.140     0.000     0.000     0.001
  1.150     0.000     0.000     0.001
  1.160     0.000     0.000     0.001
  1.170     0.000     0.000     0.001
  1.180     0.000     0.000     0.001
  1.190     0.000     0.000     0.001
  1.200     0.000     0.000     0.001
  1.210     0.000     0.000     0.001
  1.220     0.000     0.000     0.001
  1.230     0.000     0.000     0.001
  1.240     0.000     0.000     0.001
  1.250     0.000     0.000     0.001
  1.260     0.000     0.000     0.002
  1.270     0.000     0.000     0.002
  1.280     0.000     0.000     0.002
  1.290     0.000     0.000     0.002
  1.300     0.000     0.000     0.002
  1.310     0.000     0.000     0.002
  1.320     0.000     0.000     0.002
  1.330     0.000     0.000     0.002
  1.340     0.000     0.000     0.003
  1.350     0.000     0.000     0.003
  1.360     0.000     0.000     0.003
  1.370     0.000     0.000     0.003
  1.380     0.000     0.000     0.003
  1.390     0.000     0.000     0.004
  1.400     0.000     0.000     0.004
  1.410     0.000     0.000     0.004
  1.420     0.000     0.000     0.004
  1.430     0.000     0.000     0.005
  1.440     0.000     0.000     0.005
  1.450     0.000     0.000     0.005
  1.460     0.000     0.000     0.006
  1.470     0.000     0.000     0.006
  1.480     0.000     0.000     0.007
  1.490     0.000     0.000     0.007
  1.500     0.000     0.000     0.008
  1.510     0.000     0.000     0.008
  1.520     0.000     0.000     0.009
  1.530     0.000     0.000     0.009
  1.540     0.000     0.000     0.010
  1.550     0.000     0.000     0.010
  1.560     0.000     0.000     0.011
  1.570     0.000     0.000     0.012
  1.580     0.000     0.000     0.013
  1.590     0.000     0.000     0.014
  1.600     0.000     0.000     0.014
  1.610     0.000     0.000     0.015
  1.620     0.000     0.000     0.016
  1.630     0.000     0.000     0.018
  1.640     0.000     0.000     0.019
  1.650     0.000     0.000     0.020
  1.660     0.000     0.000     0.021
  1.670     0.000     0.000     0.023
  1.680     0.000     0.000     0.024
  1.690     0.000     0.000     0.026
  1.700     0.000     0.000     0.027
  1.710     0.000     0.000     0.029
  1.720     0.000     0.000     0.031
  1.730     0.000     0.000     0.033
  1.740     0.000     0.000     0.035
  1.750     0.000     0.000     0.037
  1.760     0.000     0.000     0.039
  1.770     0.000     0.000     0.042
  1.780     0.000     0.000     0.044
  1.790     0.000     0.000     0.047
  1.800     0.000     0.000     0.050
  1.810     0.000     0.000     0.053
  1.820     0.000     0.000     0.056
  1.830     0.000     0.000     0.060
  1.840     0.000     0.000     0.063
  1.850     0.000     0.000     0.067
  1.860     0.000     0.000     0.071
  1.870     0.000     0.000     0.075
  1.880     0.000     0.000     0.079
  1.890     0.000     0.000     0.083
  1.900     0.000     0.000     0.088
  1.910     0.000     0.000     0.092
  1.920     0.000     0.000     0.097
  1.930     0.000     0.000     0.102
  1.940     0.000     0.000     0.108
  1.950     0.000     0.000     0.113
  1.960     0.000     0.000     0.119
  1.970     0.000     0.000     0.124
  1.980     0.000     0.000     0.130
  1.990     0.000     0.000     0.136
  2.000     0.000     0.000     0.142
  2.010     0.000     0.000     0.149
  2.020     0.000     0.000     0.155
  2.030     0.000     0.000     0.162
  2.040     0.000     0.000     0.169
  2.050     0.000     0.000     0.175
  2.060     0.000     0.000     0.182
  2.070     0.000     0.000     0.189
  2.080     0.000     0.000     0.196
  2.090     0.000     0.000     0.203
  2.100     0.000     0.000     0.210
  2.110     0.000     0.000     0.217
  2.120     0.000     0.000     0.224
  2.130     0.000     0.000     0.231
  2.140     0.000     0.000     0.238
  2.150     0.000     0.000     0.245
  2.160     0.000     0.000     0.251
  2.170     0.000     0.000     0.258
  2.180     0.000     0.000     0.265
  2.190     0.000     0.000     0.271
  2.200     0.000     0.000     0.278
  2.210     0.000     0.000     0.284
  2.220     0.000     0.000     0.290
  2.230     0.000     0.000     0.296
  2.240     0.000     0.000     0.301
  2.250     0.000     0.000     0.307
  2.260     0.000     0.000     0.312
  2.270     0.000     0.000     0.318
  2.280     0.000     0.000     0.323
  2.290     0.000     0.000     0.328
  2.300     0.000     0.000     0.332
  2.310     0.000     0.000     0.337
  2.320     0.000     0.000     0.341
  2.330     0.000     0.000     0.345
  2.340     0.000     0.000     0.349
  2.350     0.000     0.000     0.000
  2.360     0.000     0.000     0.000
  2.370     0.000     0.000     0.000
  2.380     0.000     0.000     0.000
  2.390     0.000     0.000     0.000
  2.400     0.000     0.000     0.000
  2.410     0.000     0.000     0.000
  2.420     0.000     0.000     0.000
  2.430     0.000     0.000     0.000
  2.440     0.000     0.000     0.000
  2.450     0.000     0.000     0.000
  2.460     0.000     0.000     0.000
  2.470     0.000     0.000     0.000
  2.480     0.000     0.000     0.000
  2.490     0.000     0.000     0.000
  2.500    -0.058     0.117     0.000
  2.510    -0.052     0.122     0.000
  2.520    -0.046     0.127     0.000
  2.530    -0.040     0.132     0.000
  2.540    -0.034     0.137     0.000
  2.550    -0.027     0.143     0.000
  2.560    -0.021     0.148     0.000
  2.570    -0.015     0.154     0.000
  2.580    -0.008     0.159     0.000
