Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
151021.849       43966       44334  0.840E+00  0.201E+00  0.641E-17
152021.423       89216       94795  0.557E+00  0.157E+00  0.600E-16
153021.419      128508      144105  0.347E+00  0.124E+00  0.240E-15
154021.422      164211      194356  0.236E+00  0.994E-01  0.572E-15
155021.430      197119      244089  0.168E+00  0.813E-01  0.851E-15
160021.451      228053      293498  0.123E+00  0.682E-01  0.158E-14
161021.882      258053      343684  0.889E-01  0.585E-01  0.201E-14
162021.412      286700      393946  0.642E-01  0.515E-01  0.361E-14
163021.413      314682      444905  0.462E-01  0.462E-01  0.266E+09
164021.417      341709      495781  0.339E-01  0.423E-01  0.275E+09
165021.454      367723      546784  0.257E-01  0.393E-01  0.528E+08
170021.441      392642      597723  0.201E-01  0.371E-01  0.328E+08
171021.411      417092      648791  0.166E-01  0.353E-01  0.461E+08
172021.550      440698      699464  0.146E-01  0.340E-01  0.427E+08
173021.428      463301      749731  0.134E-01  0.330E-01  0.457E+08
174021.421      484831      798906  0.125E-01  0.322E-01  0.769E+09
175021.419      506548      850123  0.117E-01  0.315E-01  0.555E+09
180021.422      526800      900221  0.109E-01  0.309E-01  0.144E+09
181021.416      547017      951335  0.102E-01  0.303E-01  0.171E+10
182021.425      566278     1002482  0.942E-02  0.297E-01  0.233E+10
183021.436      585088     1053227  0.870E-02  0.292E-01  0.221E+10
184021.423      603653     1104517  0.807E-02  0.287E-01  0.722E+09
185021.410      621441     1154769  0.745E-02  0.282E-01  0.257E+09
190021.412      639074     1206320  0.691E-02  0.277E-01  0.941E-13
191021.559      656911     1258896  0.642E-02  0.272E-01  0.261E+10
192021.419      674044     1309708  0.604E-02  0.267E-01  0.109E-12
193021.422      690646     1360068  0.566E-02  0.262E-01  0.146E-12
194021.413      707097     1411078  0.532E-02  0.258E-01  0.270E+10
195021.418      722837     1460974  0.504E-02  0.253E-01  0.148E-12
200021.424      738754     1511497  0.479E-02  0.249E-01  0.163E-12
201021.448      754052     1561562  0.455E-02  0.245E-01  0.154E-12
202021.432      769084     1611271  0.433E-02  0.241E-01  0.153E-12
203021.539      783550     1660666  0.414E-02  0.237E-01  0.186E-12
204021.421      798121     1711677  0.394E-02  0.233E-01  0.140E-12
205021.435      812717     1763609  0.376E-02  0.229E-01  0.205E+10
210021.421      826535     1813471  0.361E-02  0.226E-01  0.176E-12
211021.427      840754     1865182  0.347E-02  0.222E-01  0.218E-12
212021.412      853949     1914556  0.334E-02  0.218E-01  0.304E-12
213021.414      867514     1965182  0.322E-02  0.215E-01  0.318E-12
214021.430      880407     2014974  0.309E-02  0.211E-01  0.467E-12
215021.430      893044     2063854  0.298E-02  0.208E-01  0.258E+10
220021.416      905586     2112692  0.288E-02  0.205E-01  0.216E-12
221021.420      918339     2163067  0.279E-02  0.201E-01  0.396E-12
222021.541      930433     2211856  0.270E-02  0.198E-01  0.290E-12
223021.437      942765     2261901  0.260E-02  0.195E-01  0.323E-12
224021.425      955002     2312173  0.252E-02  0.192E-01  0.339E-12
225021.428      967129     2362690  0.243E-02  0.188E-01  0.684E-12
230021.413      978994     2412456  0.235E-02  0.185E-01  0.325E-12
231021.423      990791     2462834  0.227E-02  0.182E-01  0.284E-12
232021.561     1002911     2515093  0.220E-02  0.179E-01  0.438E-12
233021.411     1014639     2565726  0.212E-02  0.176E-01  0.256E+10
234021.454     1025876     2615465  0.206E-02  0.173E-01  0.290E-12
235021.418     1037186     2666258  0.200E-02  0.170E-01  0.326E-12
000021.433     1048847     2717281  0.193E-02  0.167E-01  0.447E-12
001021.412     1060123     2767377  0.188E-02  0.164E-01  0.390E-12
002021.881     1071646     2818759  0.182E-02  0.161E-01  0.465E-12
003021.542     1082499     2868834  0.176E-02  0.158E-01  0.356E-12
004021.428     1093710     2919993  0.170E-02  0.156E-01  0.348E-12
005021.481     1104651     2970602  0.165E-02  0.153E-01  0.557E-12
010021.422     1114934     3020752  0.159E-02  0.150E-01  0.405E-12
011021.435     1125453     3070970  0.155E-02  0.148E-01  0.392E-12
012021.410     1136135     3122122  0.150E-02  0.145E-01  0.355E-12
013021.412     1146620     3172218  0.146E-02  0.142E-01  0.440E-12
014021.424     1156907     3222945  0.142E-02  0.140E-01  0.492E-12
015021.412     1167148     3274190  0.138E-02  0.137E-01  0.465E-12
020021.683     1177579     3325136  0.134E-02  0.135E-01  0.526E-12
021021.428     1187784     3376877  0.131E-02  0.132E-01  0.278E+08
022021.411     1198213     3428555  0.127E-02  0.130E-01  0.374E-12
023021.411     1207886     3478906  0.123E-02  0.127E-01  0.104E-11
024021.493     1218056     3529796  0.120E-02  0.125E-01  0.589E-12
025021.419     1227854     3580216  0.117E-02  0.123E-01  0.483E-12
030021.416     1237388     3630316  0.114E-02  0.120E-01  0.853E-12
031021.414     1247031     3681468  0.111E-02  0.118E-01  0.231E-12
032021.439     1257040     3733262  0.108E-02  0.116E-01  0.897E+06
033021.430     1266458     3784199  0.105E-02  0.114E-01  0.670E-12
034021.437     1276123     3835351  0.103E-02  0.112E-01  0.861E-12
035021.428     1285933     3886396  0.100E-02  0.109E-01  0.698E-12
040021.452     1294831     3936634  0.973E-03  0.107E-01  0.274E-12
041021.428     1304253     3988334  0.949E-03  0.105E-01  0.337E-12
042021.427     1313762     4039685  0.927E-03  0.103E-01  0.800E-12
043021.415     1323053     4090963  0.905E-03  0.101E-01  0.280E+08
044021.420     1332304     4142165  0.883E-03  0.991E-02  0.866E-12
045021.426     1340931     4191449  0.861E-03  0.972E-02  0.309E+06
050021.440     1349636     4240701  0.841E-03  0.953E-02  0.167E+07
051021.539     1358403     4290914  0.822E-03  0.935E-02  0.235E-12
052021.427     1367208     4341066  0.803E-03  0.917E-02  0.586E+06
053021.411     1375700     4391298  0.786E-03  0.899E-02  0.412E+06
054021.421     1384407     4441302  0.769E-03  0.882E-02  0.317E-12
055021.430     1393120     4491869  0.752E-03  0.864E-02  0.104E-11
060021.425     1401792     4542794  0.736E-03  0.847E-02  0.259E+06
061021.417     1410165     4594352  0.722E-03  0.831E-02  0.187E-12
062021.442     1418838     4645602  0.709E-03  0.814E-02  0.313E+06
063021.438     1427479     4696403  0.692E-03  0.798E-02  0.826E-12
064021.427     1436876     4746248  0.687E-03  0.784E-02  0.817E-12
065021.430     1445447     4796769  0.668E-03  0.769E-02  0.315E+06
070021.428     1453807     4847458  0.655E-03  0.754E-02  0.238E+06
071021.417     1462009     4897021  0.644E-03  0.739E-02  0.184E+07
072021.438     1470339     4948076  0.632E-03  0.724E-02  0.143E+07
073021.410     1478260     4997761  0.617E-03  0.711E-02  0.576E+06
074021.415     1486464     5049123  0.605E-03  0.697E-02  0.168E-12
075021.420     1494681     5099634  0.596E-03  0.683E-02  0.151E+06
080021.419     1503113     5152189  0.586E-03  0.669E-02  0.461E+06
081021.423     1511637     5204472  0.573E-03  0.655E-02  0.251E+06
082021.421     1519967     5256159  0.563E-03  0.642E-02  0.256E+06
083021.412     1528135     5307714  0.554E-03  0.629E-02  0.106E+06
084021.422     1536036     5357506  0.545E-03  0.617E-02  0.176E+06
085021.418     1544160     5408087  0.538E-03  0.604E-02  0.279E+06
090021.837     1552259     5458906  0.527E-03  0.592E-02  0.254E+06
091021.691     1560248     5510166  0.518E-03  0.580E-02  0.157E+06
092021.417     1568183     5561906  0.511E-03  0.568E-02  0.130E+06
093021.416     1575949     5610920  0.504E-03  0.557E-02  0.178E+06
