 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-Sn,Yb-O ,Ti-Ti,Ti-Sn,Ti-O ,Sn-Sn,Sn-O ,O-O  
   0.85000 ,    -0.104590526038733E+02 ,     0.742209523560564E+01 ,     0.779766653659336E+01 ,     0.647960062021754E+00 ,    -0.936919707795957E+01 ,    -0.106695534999347E+02 ,    -0.506860369413275E+00 ,    -0.105661245865822E+02 ,    -0.846792770339227E+00 ,    -0.138777319167034E+01 , 
   0.86000 ,    -0.846385822693719E+01 ,     0.496359918274346E+01 ,     0.494532496443722E+01 ,     0.469641512897237E+00 ,    -0.754177607380120E+01 ,    -0.876824281970472E+01 ,     0.434161758116557E+00 ,    -0.850103649204474E+01 ,     0.230165274538730E+00 ,    -0.183593568985065E+01 , 
   0.87000 ,    -0.557413852908298E+01 ,     0.114469119401974E+01 ,     0.724786579707694E+00 ,     0.159622252347986E+00 ,    -0.492540055390110E+01 ,    -0.591162662711087E+01 ,     0.133219492278629E+01 ,    -0.552569402472928E+01 ,     0.122670223501212E+01 ,    -0.220060554633235E+01 , 
   0.88000 ,    -0.244137596487950E+01 ,    -0.314929694350993E+01 ,    -0.387912110861312E+01 ,    -0.211893122967001E+00 ,    -0.210643988842865E+01 ,    -0.274111439998722E+01 ,     0.197095220861043E+01 ,    -0.231153323124359E+01 ,     0.189767905579365E+01 ,    -0.238835633220005E+01 , 
   0.89000 ,     0.183049995258862E+00 ,    -0.687419186241519E+01 ,    -0.774750031444510E+01 ,    -0.555271138347884E+00 ,     0.227321251199994E+00 ,    -0.134145119065136E-01 ,     0.219915287018686E+01 ,     0.368382626633073E+00 ,     0.208051453241921E+01 ,    -0.235311146192948E+01 , 
   0.90000 ,     0.161624045512040E+01 ,    -0.906869571957057E+01 ,    -0.988685655757419E+01 ,    -0.781944615703608E+00 ,     0.144128107858672E+01 ,     0.156854386724309E+01 ,     0.196555149460072E+01 ,     0.181266789606219E+01 ,     0.173301165847875E+01 ,    -0.210739494781761E+01 , 
   0.91000 ,     0.140540409627484E+01 ,    -0.908599329770571E+01 ,    -0.966754131787747E+01 ,    -0.825734853004351E+00 ,     0.110677296101788E+01 ,     0.152156341260206E+01 ,     0.132916406079582E+01 ,     0.155785857071667E+01 ,     0.941153586029033E+00 ,    -0.171828288960698E+01 , 
   0.92000 ,    -0.552731971783347E+00 ,    -0.676224350981078E+01 ,    -0.698678159028222E+01 ,    -0.660146224593653E+00 ,    -0.881780433778345E+00 ,    -0.291429423544855E+00 ,     0.443046239068800E+00 ,    -0.498906527871508E+00 ,    -0.104089305947640E+00 ,    -0.128928148802819E+01 , 
   0.93000 ,    -0.396194395904561E+01 ,    -0.248235333411511E+01 ,    -0.231839665539268E+01 ,    -0.307541787397976E+00 ,    -0.425253011526170E+01 ,    -0.360342989096114E+01 ,    -0.483551737839506E+00 ,    -0.404877384011020E+01 ,    -0.115428551516086E+01 ,    -0.932958705432626E+00 , 
   0.94000 ,    -0.815903860972321E+01 ,     0.287414947722775E+01 ,     0.336371058184065E+01 ,     0.162189849234057E+00 ,    -0.837937344519557E+01 ,    -0.776886024196168E+01 ,    -0.123478135588056E+01 ,    -0.840507122608009E+01 ,    -0.196303571346771E+01 ,    -0.741480416885446E+00 , 
   0.95000 ,    -0.122249104090613E+02 ,     0.809793711935236E+01 ,     0.877337416459923E+01 ,     0.643594549999246E+00 ,    -0.123814071108763E+02 ,    -0.118703165335453E+02 ,    -0.163723837116705E+01 ,    -0.126180887441311E+02 ,    -0.234261626524174E+01 ,    -0.762669084903824E+00 , 
   0.96000 ,    -0.151537881105437E+02 ,     0.118917410388764E+02 ,     0.125719606896239E+02 ,     0.101601652705849E+01 ,    -0.152814469798554E+02 ,    -0.148873387126510E+02 ,    -0.159683098580077E+01 ,    -0.156497593323445E+02 ,    -0.220426055857402E+01 ,    -0.987714746699916E+00 , 
   0.97000 ,    -0.160480644259884E+02 ,     0.131385362813387E+02 ,     0.136451786036612E+02 ,     0.116825197252863E+01 ,    -0.161937126545593E+02 ,    -0.158947939488271E+02 ,    -0.111536049382822E+01 ,    -0.165746155876051E+02 ,    -0.157316474128511E+01 ,    -0.135362505433413E+01 , 
   0.98000 ,    -0.143004635652340E+02 ,     0.111394107199138E+02 ,     0.113384598057772E+02 ,     0.102236005355859E+01 ,    -0.145040510043474E+02 ,    -0.142518317082528E+02 ,    -0.284044046060720E+00 ,    -0.147675879072505E+02 ,    -0.575925146600226E+00 ,    -0.175969579549891E+01 , 
   0.99000 ,    -0.972740982638608E+01 ,     0.577090366335984E+01 ,     0.560171609578887E+01 ,     0.551583795561435E+00 ,    -0.100067389638501E+02 ,    -0.974366442438528E+01 ,     0.743022598307058E+00 ,    -0.100413851934269E+02 ,     0.594980674817243E+00 ,    -0.209369424389820E+01 , 
   1.00000 ,    -0.262682489660631E+01 ,    -0.247117014342335E+01 ,    -0.298601834206964E+01 ,    -0.211491480937932E+00 ,    -0.296985106755511E+01 ,    -0.264736193391635E+01 ,     0.178773245454570E+01 ,    -0.270585814987187E+01 ,     0.172961733529074E+01 ,    -0.226098841546105E+01 , 
   1.01000 ,     0.625176764416885E+01 ,    -0.125502736810045E+02 ,    -0.133158999902421E+02 ,    -0.117840229740785E+01 ,     0.588520661309143E+01 ,     0.629243692157255E+01 ,     0.268888108203447E+01 ,     0.646314158063112E+01 ,     0.264920738739199E+01 ,    -0.220914283241808E+01 , 
   1.02000 ,     0.158200227513991E+02 ,    -0.230732978604767E+02 ,    -0.239505229045761E+02 ,    -0.221934072594550E+01 ,     0.154878639269226E+02 ,     0.159745130538244E+02 ,     0.333501118378081E+01 ,     0.163404263713815E+02 ,     0.324290908911878E+01 ,    -0.194170227288345E+01 , 
   1.03000 ,     0.248258274345021E+02 ,    -0.325419551949267E+02 ,    -0.333846057704386E+02 ,    -0.318591209868897E+01 ,     0.245880015038704E+02 ,     0.251186635669126E+02 ,     0.368179149937884E+01 ,     0.256323725402962E+02 ,     0.348443740465388E+01 ,    -0.151767744351205E+01 , 
   1.04000 ,     0.320584330970380E+02 ,    -0.396201192442991E+02 ,    -0.403117891274650E+02 ,    -0.393759013803055E+01 ,     0.319602471546668E+02 ,     0.324771855265873E+02 ,     0.375098620933323E+01 ,     0.330888107214371E+02 ,     0.342587372258172E+01 ,    -0.103690696626605E+01 , 
