Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
152728.059       25561       25574  0.888E+00  0.131E+00
153728.062       54290       54510  0.740E+00  0.102E+00
154728.045       80796       83046  0.540E+00  0.798E-01
155728.453      105588      111693  0.357E+00  0.618E-01
160728.052      128938      140635  0.233E+00  0.482E-01
161728.079      151175      169562  0.153E+00  0.375E-01
162728.276      171860      197704  0.104E+00  0.296E-01
163728.054      190690      224279  0.727E-01  0.241E-01
164728.045      209767      252476  0.503E-01  0.198E-01
165728.055      228626      281931  0.349E-01  0.168E-01
170728.042      246036      311022  0.248E-01  0.149E-01
171728.057      262612      341023  0.183E-01  0.136E-01
172728.164      278444      370918  0.145E-01  0.127E-01
173728.040      292329      398201  0.124E-01  0.122E-01
174728.050      306052      427256  0.108E-01  0.119E-01
175728.033      318986      456148  0.964E-02  0.116E-01
180728.033      331155      485212  0.877E-02  0.114E-01
181728.317      342741      514344  0.812E-02  0.112E-01
182728.159      353920      543699  0.756E-02  0.110E-01
183728.397      364829      573262  0.712E-02  0.109E-01
184728.045      375246      602756  0.674E-02  0.107E-01
185728.040      385391      632023  0.644E-02  0.106E-01
190728.030      395173      661095  0.614E-02  0.104E-01
191728.051      404877      690220  0.588E-02  0.103E-01
192728.027      414336      719203  0.564E-02  0.102E-01
193728.040      424054      748889  0.542E-02  0.100E-01
194728.046      434001      778102  0.522E-02  0.992E-02
195728.048      443390      807607  0.500E-02  0.977E-02
200728.051      452644      837138  0.477E-02  0.963E-02
201728.344      462011      866888  0.456E-02  0.948E-02
202728.033      471246      896578  0.436E-02  0.935E-02
203728.044      480184      926177  0.418E-02  0.920E-02
204728.041      489406      956304  0.399E-02  0.906E-02
205728.040      499905      991505  0.378E-02  0.891E-02
210728.036      510059     1026283  0.360E-02  0.875E-02
211728.047      520166     1061362  0.341E-02  0.861E-02
212728.374      529913     1096367  0.325E-02  0.847E-02
213728.037      539601     1131439  0.309E-02  0.834E-02
214728.046      548973     1165691  0.294E-02  0.821E-02
215728.056      558122     1200201  0.281E-02  0.809E-02
220728.121      567343     1235214  0.267E-02  0.798E-02
221728.209      576198     1270128  0.256E-02  0.787E-02
222728.322      584795     1304737  0.245E-02  0.776E-02
223728.121      593428     1339804  0.234E-02  0.766E-02
224728.063      601989     1374945  0.225E-02  0.756E-02
225728.048      610388     1410076  0.216E-02  0.746E-02
230728.041      618415     1444730  0.208E-02  0.737E-02
231728.065      626290     1479946  0.201E-02  0.728E-02
232728.155      633946     1514780  0.194E-02  0.719E-02
233728.044      641480     1549959  0.188E-02  0.711E-02
234728.044      648836     1585016  0.182E-02  0.703E-02
235728.042      656040     1620128  0.177E-02  0.695E-02
000728.069      662973     1655140  0.172E-02  0.688E-02
001728.044      669893     1689993  0.168E-02  0.681E-02
002728.040      676706     1724660  0.164E-02  0.674E-02
003728.058      683388     1759657  0.160E-02  0.667E-02
004728.159      689803     1794919  0.156E-02  0.660E-02
005728.031      696118     1829926  0.153E-02  0.653E-02
010728.091      702365     1864834  0.149E-02  0.647E-02
011728.034      708525     1899855  0.146E-02  0.641E-02
012728.059      714357     1933780  0.144E-02  0.635E-02
013728.034      720188     1968736  0.141E-02  0.630E-02
014728.029      725966     2003735  0.138E-02  0.624E-02
015728.032      731653     2038428  0.136E-02  0.618E-02
020728.051      737201     2073504  0.134E-02  0.613E-02
021728.038      742769     2108098  0.132E-02  0.608E-02
022728.259      747997     2140998  0.130E-02  0.603E-02
023728.041      753341     2175644  0.128E-02  0.598E-02
024728.036      758732     2210601  0.126E-02  0.593E-02
025728.037      763912     2245472  0.124E-02  0.589E-02
030728.047      769034     2280071  0.123E-02  0.584E-02
031728.033      774107     2314305  0.121E-02  0.579E-02
032728.039      779052     2348127  0.119E-02  0.575E-02
033728.031      784006     2382035  0.118E-02  0.570E-02
034728.051      789006     2416758  0.117E-02  0.566E-02
035728.042      794020     2451823  0.115E-02  0.562E-02
040728.039      798837     2486470  0.114E-02  0.557E-02
041728.037      803716     2521491  0.113E-02  0.553E-02
042728.041      808628     2556138  0.112E-02  0.549E-02
043728.038      813454     2591264  0.111E-02  0.545E-02
044728.037      818193     2626280  0.109E-02  0.541E-02
045728.039      822877     2661445  0.108E-02  0.537E-02
050728.036      827565     2695953  0.107E-02  0.534E-02
051728.038      832079     2730676  0.106E-02  0.530E-02
052728.034      836623     2765644  0.105E-02  0.527E-02
053728.030      841199     2800465  0.104E-02  0.523E-02
054728.042      845706     2835366  0.103E-02  0.519E-02
