 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   0.85000 ,    -0.102771981944406E+02 ,     0.760276286328649E+01 ,     0.643821292794954E+00 ,    -0.103768022614913E+02 ,    -0.312627187882605E+00 ,    -0.149019633635775E+01 , 
   0.86000 ,    -0.776646286179006E+01 ,     0.398044000608194E+01 ,     0.218542425570912E+00 ,    -0.770422007212640E+01 ,     0.909007416207368E+00 ,    -0.205618282259047E+01 , 
   0.87000 ,    -0.452407183117522E+01 ,    -0.795873965521846E+00 ,    -0.268027270500331E+00 ,    -0.432041498307334E+01 ,     0.188805703297266E+01 ,    -0.248454492972713E+01 , 
   0.88000 ,    -0.130211491582043E+01 ,    -0.558752116298931E+01 ,    -0.698205328500526E+00 ,    -0.101264176780417E+01 ,     0.238213165237627E+01 ,    -0.266659331414550E+01 , 
   0.89000 ,     0.110510633745844E+01 ,    -0.920614649367706E+01 ,    -0.966411962861265E+00 ,     0.140427156463417E+01 ,     0.227381149052427E+01 ,    -0.255929573876827E+01 , 
   0.90000 ,     0.204286838823904E+01 ,    -0.106940667334926E+02 ,    -0.100400972907096E+01 ,     0.227447306326062E+01 ,     0.159724864915455E+01 ,    -0.219536348549278E+01 , 
   0.91000 ,     0.115528615575663E+01 ,    -0.955904153489061E+01 ,    -0.795546644019908E+00 ,     0.126014079903215E+01 ,     0.526432015633395E+00 ,    -0.167360631256383E+01 , 
   0.92000 ,    -0.151332286123949E+01 ,    -0.590930294867026E+01 ,    -0.382818936733596E+00 ,    -0.156213158300358E+01 ,    -0.670880949145969E+00 ,    -0.113233266964293E+01 , 
   0.93000 ,    -0.549855695201562E+01 ,    -0.456959451762534E+00 ,     0.143962931152096E+00 ,    -0.568981806386551E+01 ,    -0.170105175748717E+01 ,    -0.712896156929259E+00 , 
   0.94000 ,    -0.998423729263824E+01 ,     0.561270578202048E+01 ,     0.665675184543582E+00 ,    -0.102723241442383E+02 ,    -0.231664682246512E+01 ,    -0.522927735602196E+00 , 
   0.95000 ,    -0.139472345995554E+02 ,     0.108786985097490E+02 ,     0.105987761097365E+01 ,    -0.142641360035042E+02 ,    -0.237459884219351E+01 ,    -0.608747160348070E+00 , 
   0.96000 ,    -0.163511529508847E+02 ,     0.139776777774478E+02 ,     0.122671634015857E+01 ,    -0.166235529491648E+02 ,    -0.186642292089752E+01 ,    -0.943962404135410E+00 , 
   0.97000 ,    -0.163509188586997E+02 ,     0.138903412447636E+02 ,     0.110948135972439E+01 ,    -0.165179012542928E+02 ,    -0.913998673879597E+00 ,    -0.143701233989899E+01 , 
   0.98000 ,    -0.134678126432748E+02 ,     0.101599332906192E+02 ,     0.705575205091242E+00 ,    -0.134947690920585E+02 ,     0.266627611099098E+00 ,    -0.195549960986005E+01 , 
   0.99000 ,    -0.770016810238009E+01 ,     0.299725781523351E+01 ,     0.659461856949603E-01 ,    -0.758560696605637E+01 ,     0.142293913452426E+01 ,    -0.236086465988012E+01 , 
   1.00000 ,     0.452422087746376E+00 ,    -0.674851477758236E+01 ,    -0.716341815226763E+00 ,     0.678553854191636E+00 ,     0.232957892101167E+01 ,    -0.254436260182400E+01 , 
   1.01000 ,     0.100566878890398E+02 ,    -0.177451544387360E+02 ,    -0.152540433342763E+01 ,     0.103423580114255E+02 ,     0.284143216553754E+01 ,    -0.245506544853919E+01 , 
