Structure file path : glass.cif
List of environment information
Species : Ta
Envtype : both
Site index 0: {'frac_coords': array([0.0767, 0.0449, 0.1328]), 'type': 'tribip', 'csm': 18.59616763484854, 'volume': 6.137377396916474}
Site index 1: {'frac_coords': array([0.0473, 0.0557, 0.1473]), 'type': 'oct', 'csm': 10.288200429924405, 'volume': 17.549665229879373}
Site index 2: {'frac_coords': array([0.0234, 0.0453, 0.0936]), 'type': 'tribip', 'csm': 7.457620779575961, 'volume': 8.87836683284924}
Site index 3: {'frac_coords': array([0.1183, 0.052 , 0.1273]), 'type': 'tet', 'csm': 8.00081289699711, 'volume': 3.6065579587744043}
Site index 4: {'frac_coords': array([0.1913, 0.0535, 0.1286]), 'type': 'oct', 'csm': 6.73669943630925, 'volume': 13.31859893427449}
Site index 5: {'frac_coords': array([0.214 , 0.0313, 0.1139]), 'type': 'tet', 'csm': 8.425978305060825, 'volume': 5.553158470348111}
Site index 6: {'frac_coords': array([0.2275, 0.0639, 0.1498]), 'type': 'tet', 'csm': 16.323652465513472, 'volume': 3.1193484535880303}
Site index 7: {'frac_coords': array([0.0882, 0.0682, 0.1043]), 'type': 'tribip', 'csm': 3.470649457121063, 'volume': 9.372869587473382}
Site index 8: {'frac_coords': array([0.1006, 0.0427, 0.1562]), 'type': 'tet', 'csm': 7.277077735629494, 'volume': 3.3122132525954355}
Site index 9: {'frac_coords': array([0.9958, 0.0455, 0.1188]), 'type': 'tribip', 'csm': 6.070084585444021, 'volume': 10.334220412069383}
Site index 10: {'frac_coords': array([0.1521, 0.0334, 0.1372]), 'type': 'tribip', 'csm': 7.128928814388161, 'volume': 12.611086583010787}
Site index 11: {'frac_coords': array([0.1355, 0.0629, 0.0879]), 'type': 'tet', 'csm': 4.8170544470496965, 'volume': 5.72828710793506}
Site index 12: {'frac_coords': array([0.1811, 0.0995, 0.9855]), 'type': 'tet', 'csm': 7.19546575395705, 'volume': 4.4957808635835175}
Site index 13: {'frac_coords': array([0.1421, 0.0292, 0.0121]), 'type': 'tribip', 'csm': 11.416605643593659, 'volume': 8.922685221137993}
Site index 14: {'frac_coords': array([0.1407, 0.0988, 0.2182]), 'type': 'tet', 'csm': 9.594780390036107, 'volume': 5.597159672355901}
Site index 15: {'frac_coords': array([0.0077, 0.9948, 0.0186]), 'type': 'tet', 'csm': 9.557438682554292, 'volume': 6.260732149842902}
Site index 16: {'frac_coords': array([0.0703, 0.0011, 0.0044]), 'type': 'tet', 'csm': 11.67347369440767, 'volume': 3.3700268117507464}
Site index 17: {'frac_coords': array([0.0927, 0.0778, 0.2423]), 'type': 'tribip', 'csm': 8.054730920865063, 'volume': 10.525094957352346}
Site index 18: {'frac_coords': array([0.103 , 0.0084, 0.0299]), 'type': 'tribip', 'csm': 10.182967197698446, 'volume': 7.986296929103042}
Site index 19: {'frac_coords': array([0.2211, 0.0142, 0.2424]), 'type': 'tet', 'csm': 6.9356675467151145, 'volume': 5.760457418914998}
Site index 20: {'frac_coords': array([0.2251, 0.0937, 0.0265]), 'type': 'tet', 'csm': 8.47150977583338, 'volume': 4.406044526398902}
Site index 21: {'frac_coords': array([0.122 , 0.9978, 0.01  ]), 'type': 'tet', 'csm': 5.035301435865324, 'volume': 3.4077865018578475}
Site index 22: {'frac_coords': array([0.036 , 0.0845, 0.0179]), 'type': 'tribip', 'csm': 4.033241624349177, 'volume': 9.898045245227918}
Site index 23: {'frac_coords': array([0.0246, 0.0102, 0.2258]), 'type': 'tribip', 'csm': 13.467180227079217, 'volume': 11.664996775330792}
Site index 24: {'frac_coords': array([0.0618, 0.0416, 0.3727]), 'type': 'oct', 'csm': 5.673713105812132, 'volume': 13.511951306593941}
Site index 25: {'frac_coords': array([0.0324, 0.0691, 0.3905]), 'type': 'tribip', 'csm': 4.026996374591392, 'volume': 10.628162830952935}
Site index 26: {'frac_coords': array([0.0269, 0.0327, 0.3517]), 'type': 'tet', 'csm': 5.230707230035981, 'volume': 5.642513795490932}
Site index 27: {'frac_coords': array([0.1169, 0.0493, 0.3585]), 'type': 'oct', 'csm': 10.13769338396553, 'volume': 20.245082795081473}
Site index 28: {'frac_coords': array([0.1929, 0.0543, 0.3762]), 'type': 'tet', 'csm': 20.856791998746044, 'volume': 1.1575087553585341}
Site index 29: {'frac_coords': array([0.2079, 0.0352, 0.36  ]), 'type': 'tribip', 'csm': 9.093057424857594, 'volume': 8.219233205774724}
Site index 30: {'frac_coords': array([0.2328, 0.0621, 0.4039]), 'type': 'tribip', 'csm': 10.22019309890118, 'volume': 10.7981937327733}
Site index 31: {'frac_coords': array([0.0869, 0.0652, 0.3675]), 'type': 'oct', 'csm': 7.154044464074001, 'volume': 17.797064670623065}
Site index 32: {'frac_coords': array([0.1041, 0.0437, 0.402 ]), 'type': 'tribip', 'csm': 10.079682679599431, 'volume': 10.964930300324216}
Site index 33: {'frac_coords': array([0.9961, 0.0534, 0.3888]), 'type': 'tet', 'csm': 7.12881471331257, 'volume': 3.6101801169516556}
Site index 34: {'frac_coords': array([0.1411, 0.035 , 0.4165]), 'type': 'tribip', 'csm': 4.250679019958698, 'volume': 14.074197058735361}
Site index 35: {'frac_coords': array([0.1483, 0.0573, 0.3482]), 'type': 'oct', 'csm': 5.119909838671822, 'volume': 19.250991667711055}
Site index 36: {'frac_coords': array([0.1914, 0.0938, 0.2551]), 'type': 'tet', 'csm': 8.090158970735235, 'volume': 2.4687073527470194}
Site index 37: {'frac_coords': array([0.1454, 0.0146, 0.2825]), 'type': 'tet', 'csm': 8.024708928618546, 'volume': 6.168130406001755}
Site index 38: {'frac_coords': array([0.1507, 0.0879, 0.4673]), 'type': 'oct', 'csm': 6.398336437515067, 'volume': 18.728994255342194}
Site index 39: {'frac_coords': array([0.9988, 0.0039, 0.2481]), 'type': 'tribip', 'csm': 6.274533124742966, 'volume': 6.197950356464689}
Site index 40: {'frac_coords': array([0.0692, 0.9949, 0.2489]), 'type': 'tribip', 'csm': 11.58177612653828, 'volume': 8.661309110454791}
Site index 41: {'frac_coords': array([0.0924, 0.0878, 0.4846]), 'type': 'tribip', 'csm': 5.687349935716425, 'volume': 12.586716057506646}
Site index 42: {'frac_coords': array([0.119 , 0.0076, 0.2918]), 'type': 'tribip', 'csm': 10.662194425683982, 'volume': 13.618386497834006}
Site index 43: {'frac_coords': array([0.2207, 0.0198, 0.4842]), 'type': 'tet', 'csm': 3.419009583238127, 'volume': 6.0118205627405965}
Site index 44: {'frac_coords': array([0.2241, 0.0877, 0.2784]), 'type': 'tet', 'csm': 18.285647089558612, 'volume': 4.699666058957426}
Site index 45: {'frac_coords': array([0.1207, 0.9947, 0.2451]), 'type': 'tribip', 'csm': 7.466073489294048, 'volume': 10.08209885170314}
Site index 46: {'frac_coords': array([0.0366, 0.0968, 0.2681]), 'type': 'tet', 'csm': 7.119919409420211, 'volume': 6.506428768621749}
Site index 47: {'frac_coords': array([0.0196, 0.0013, 0.4678]), 'type': 'tet', 'csm': 3.432988644099973, 'volume': 4.698002981633035}
Site index 48: {'frac_coords': array([0.0592, 0.0469, 0.6151]), 'type': 'tribip', 'csm': 7.479930476622609, 'volume': 7.910548701160982}
Site index 49: {'frac_coords': array([0.0302, 0.0442, 0.6393]), 'type': 'oct', 'csm': 8.643218908483997, 'volume': 24.270510074406353}
Site index 50: {'frac_coords': array([0.0225, 0.0446, 0.5926]), 'type': 'oct', 'csm': 9.078402756874631, 'volume': 17.867045300646943}
Site index 51: {'frac_coords': array([0.1265, 0.0537, 0.6256]), 'type': 'tribip', 'csm': 12.033125187860227, 'volume': 6.73532330211464}
Site index 52: {'frac_coords': array([0.1883, 0.0561, 0.6326]), 'type': 'tet', 'csm': 7.321095651828127, 'volume': 2.8319800880691695}
Site index 53: {'frac_coords': array([0.2209, 0.0276, 0.6159]), 'type': 'tet', 'csm': 6.765094657103246, 'volume': 4.483273789495353}
Site index 54: {'frac_coords': array([0.2249, 0.0614, 0.6505]), 'type': 'tet', 'csm': 13.189730592040025, 'volume': 5.2264919363830895}
Site index 55: {'frac_coords': array([0.0954, 0.062 , 0.5961]), 'type': 'tribip', 'csm': 7.146098753797099, 'volume': 11.989887658129577}
Site index 56: {'frac_coords': array([0.1074, 0.048 , 0.6573]), 'type': 'tribip', 'csm': 11.968536377228547, 'volume': 8.834803993566853}
Site index 57: {'frac_coords': array([0.9974, 0.04  , 0.6217]), 'type': 'tet', 'csm': 4.387917542030868, 'volume': 3.4944406098012664}
Site index 58: {'frac_coords': array([0.1495, 0.0399, 0.655 ]), 'type': 'tribip', 'csm': 9.807755658375433, 'volume': 12.54283991698964}
Site index 59: {'frac_coords': array([0.1451, 0.0583, 0.5931]), 'type': 'tribip', 'csm': 9.263661032891548, 'volume': 11.266183913859448}
Site index 60: {'frac_coords': array([0.1782, 0.0974, 0.4926]), 'type': 'tet', 'csm': 14.137366980540369, 'volume': 3.1376115012891383}
Site index 61: {'frac_coords': array([0.1598, 0.0076, 0.5232]), 'type': 'tet', 'csm': 3.4600070511226524, 'volume': 5.251437171237899}
Site index 62: {'frac_coords': array([0.13  , 0.096 , 0.7144]), 'type': 'tribip', 'csm': 18.86798731216238, 'volume': 12.497834153007148}
Site index 63: {'frac_coords': array([5.000e-04, 3.000e-04, 5.019e-01]), 'type': 'tribip', 'csm': 7.953894345167924, 'volume': 7.239208073575272}
Site index 64: {'frac_coords': array([0.076 , 0.0043, 0.5045]), 'type': 'oct', 'csm': 18.41626271318638, 'volume': 13.01223324730176}
Site index 65: {'frac_coords': array([0.1063, 0.0721, 0.7318]), 'type': 'tet', 'csm': 10.060345932587357, 'volume': 4.861949715928265}
Site index 66: {'frac_coords': array([0.1172, 0.0058, 0.5334]), 'type': 'tet', 'csm': 4.374772862063695, 'volume': 5.989314674463527}
Site index 67: {'frac_coords': array([0.2175, 0.0225, 0.7361]), 'type': 'tet', 'csm': 2.807322064003651, 'volume': 5.0611341902681515}
Site index 68: {'frac_coords': array([0.224 , 0.0864, 0.5227]), 'type': 'tet', 'csm': 8.025430019699444, 'volume': 4.278624350011418}
Site index 69: {'frac_coords': array([0.1204, 0.9863, 0.4964]), 'type': 'tribip', 'csm': 11.802165635250741, 'volume': 7.656801156412628}
Site index 70: {'frac_coords': array([0.0246, 0.0806, 0.5022]), 'type': 'tribip', 'csm': 16.167243134439342, 'volume': 13.27458089706605}
Site index 71: {'frac_coords': array([0.0254, 0.0073, 0.7203]), 'type': 'tribip', 'csm': 9.75335391325917, 'volume': 7.584247361549157}
Site index 72: {'frac_coords': array([0.06  , 0.0443, 0.8787]), 'type': 'tet', 'csm': 1.9646180115451914, 'volume': 3.6128480337540028}
Site index 73: {'frac_coords': array([0.0322, 0.0697, 0.912 ]), 'type': 'tet', 'csm': 2.410030795670525, 'volume': 6.806012459750994}
Site index 74: {'frac_coords': array([0.0247, 0.0375, 0.8563]), 'type': 'oct', 'csm': 10.432398831260238, 'volume': 17.867568486883453}
Site index 75: {'frac_coords': array([0.1285, 0.0523, 0.8811]), 'type': 'tribip', 'csm': 3.7630486060540687, 'volume': 5.949528840204208}
Site index 76: {'frac_coords': array([0.1914, 0.0503, 0.8791]), 'type': 'oct', 'csm': 8.71604551072234, 'volume': 14.55413088969343}
Site index 77: {'frac_coords': array([0.2064, 0.0359, 0.8376]), 'type': 'tribip', 'csm': 5.109979319012483, 'volume': 11.698683919391858}
Site index 78: {'frac_coords': array([0.225 , 0.0658, 0.901 ]), 'type': 'tet', 'csm': 8.502244594266841, 'volume': 4.531905781703593}
Site index 79: {'frac_coords': array([0.0898, 0.065 , 0.8656]), 'type': 'tet', 'csm': 8.27455889966973, 'volume': 5.236411939632552}
Site index 80: {'frac_coords': array([0.0942, 0.0378, 0.8937]), 'type': 'tet', 'csm': 11.280322747593695, 'volume': 4.370755633244517}
Site index 81: {'frac_coords': array([0.0052, 0.0545, 0.8813]), 'type': 'oct', 'csm': 8.719947125820065, 'volume': 16.771883768486376}
Site index 82: {'frac_coords': array([0.1589, 0.0285, 0.878 ]), 'type': 'tribip', 'csm': 17.487928069144058, 'volume': 7.976573953202157}
Site index 83: {'frac_coords': array([0.1486, 0.0542, 0.8486]), 'type': 'tet', 'csm': 12.636964625585229, 'volume': 4.032587789680343}
Site index 84: {'frac_coords': array([0.1924, 0.1   , 0.7585]), 'type': 'tet', 'csm': 13.920493408644136, 'volume': 3.3840312011873594}
Site index 85: {'frac_coords': array([0.1579, 0.0126, 0.7541]), 'type': 'tribip', 'csm': 10.896869093578108, 'volume': 8.378874568748621}
Site index 86: {'frac_coords': array([0.1414, 0.0942, 0.9682]), 'type': 'tribip', 'csm': 7.062287087120681, 'volume': 7.481407965672103}
Site index 87: {'frac_coords': array([0.0008, 0.002 , 0.7495]), 'type': 'tribip', 'csm': 7.259743409221249, 'volume': 6.678426058882073}
Site index 88: {'frac_coords': array([0.0556, 0.0049, 0.7434]), 'type': 'oct', 'csm': 7.972951721647416, 'volume': 14.95498062544494}
Site index 89: {'frac_coords': array([0.1039, 0.082 , 0.98  ]), 'type': 'tribip', 'csm': 14.16847823537592, 'volume': 8.269919092466044}
Site index 90: {'frac_coords': array([0.1143, 0.0041, 0.7897]), 'type': 'tet', 'csm': 6.8013096492335094, 'volume': 4.910394948410264}
Site index 91: {'frac_coords': array([0.2069, 0.0087, 0.9751]), 'type': 'oct', 'csm': 14.576703284639555, 'volume': 16.704388118917567}
Site index 92: {'frac_coords': array([0.2287, 0.0984, 0.7805]), 'type': 'tet', 'csm': 6.4514034080722205, 'volume': 4.741474984832588}
Site index 93: {'frac_coords': array([0.1227, 0.9988, 0.7534]), 'type': 'tribip', 'csm': 4.575308550624077, 'volume': 8.29494054822939}
Site index 94: {'frac_coords': array([0.0344, 0.0807, 0.7619]), 'type': 'tribip', 'csm': 6.7585462728014525, 'volume': 8.666594438457512}
Site index 95: {'frac_coords': array([0.0224, 0.0078, 0.9723]), 'type': 'tribip', 'csm': 9.562135093166283, 'volume': 9.146040233598079}
Site index 96: {'frac_coords': array([0.0577, 0.1412, 0.1337]), 'type': 'tet', 'csm': 6.709830820786002, 'volume': 3.153922960726722}
Site index 97: {'frac_coords': array([0.0205, 0.167 , 0.1613]), 'type': 'tribip', 'csm': 7.882022906974679, 'volume': 14.310720620668567}
Site index 98: {'frac_coords': array([0.0256, 0.1381, 0.1058]), 'type': 'tribip', 'csm': 13.743752747512323, 'volume': 9.278535760485294}
Site index 99: {'frac_coords': array([0.1235, 0.1539, 0.135 ]), 'type': 'tribip', 'csm': 11.270899331986248, 'volume': 6.94331702646347}
Site index 100: {'frac_coords': array([0.1999, 0.1571, 0.1382]), 'type': 'tribip', 'csm': 10.415816381219347, 'volume': 10.986108982780596}
