 Q (1/Ang),Li-Li,Li-Ta,Li-O ,Li-Cl,Ta-Ta,Ta-O ,Ta-Cl,O-O  ,O-Cl ,Cl-Cl
   0.40000 ,    -0.196451839566154E+01 ,     0.226874526378143E+00 ,    -0.293812370082187E+00 ,    -0.613629155279563E+00 ,    -0.627506653755411E+01 ,     0.624091533966096E+00 ,    -0.166646064990917E+00 ,    -0.326672242661914E+01 ,     0.141376059831032E+00 ,    -0.137576651627878E+01 , 
   0.42000 ,    -0.265830772791025E+01 ,    -0.108258969948261E+01 ,    -0.152800956003581E+01 ,     0.250360673749459E+00 ,    -0.458694696937347E+01 ,     0.247915067480804E+01 ,    -0.440243890724890E+00 ,    -0.150658552953915E+01 ,    -0.762550556405260E+00 ,    -0.159795127021384E+01 , 
   0.44000 ,    -0.370375529429742E+01 ,    -0.200653190093193E+01 ,    -0.212192526920265E+01 ,     0.895423578634344E+00 ,    -0.377849986525667E+01 ,     0.315267715686378E+01 ,    -0.507259786208419E+00 ,    -0.135368828585747E+01 ,    -0.123828395158714E+01 ,    -0.196004199913937E+01 , 
   0.46000 ,    -0.480605953923366E+01 ,    -0.196683750438135E+01 ,    -0.163853300814022E+01 ,     0.102869249791480E+01 ,    -0.435845077743101E+01 ,     0.217953530609043E+01 ,    -0.323337134683655E+00 ,    -0.303331442842053E+01 ,    -0.103184018978830E+01 ,    -0.230092269601899E+01 , 
   0.48000 ,    -0.557513461326250E+01 ,    -0.859100270438918E+00 ,    -0.197724383638496E+00 ,     0.612842537148903E+00 ,    -0.612903025499807E+01 ,    -0.639143786459178E-01 ,     0.452623028570203E-01 ,    -0.583438013311117E+01 ,    -0.241168190339367E+00 ,    -0.248124533418758E+01 , 
   0.50000 ,    -0.567072327330485E+01 ,     0.882137614360830E+00 ,     0.156192204407862E+01 ,    -0.122520448185353E+00 ,    -0.825338938020986E+01 ,    -0.251335062057886E+01 ,     0.439439244793050E+00 ,    -0.841405425123496E+01 ,     0.728724408370712E+00 ,    -0.244030791239812E+01 , 
   0.52000 ,    -0.494498400111450E+01 ,     0.247686214863748E+01 ,     0.278130087157617E+01 ,    -0.797280324302308E+00 ,    -0.964083807895619E+01 ,    -0.391630659338437E+01 ,     0.667031330930276E+00 ,    -0.942918714735465E+01 ,     0.136439804113938E+01 ,    -0.221328075271520E+01 , 
   0.54000 ,    -0.351914000634762E+01 ,     0.315482676464330E+01 ,     0.279024096308284E+01 ,    -0.106454668808324E+01 ,    -0.946364151352825E+01 ,    -0.343426634236117E+01 ,     0.581367532906829E+00 ,    -0.818951994575745E+01 ,     0.129657344510464E+01 ,    -0.190506137906617E+01 , 
   0.56000 ,    -0.175419962786962E+01 ,     0.250177351862193E+01 ,     0.142575744919088E+01 ,    -0.771143327888197E+00 ,    -0.755374829915437E+01 ,    -0.105034579455517E+01 ,     0.144980302937938E+00 ,    -0.500800878584148E+01 ,     0.480644989734948E+00 ,    -0.163634454563042E+01 , 
   0.58000 ,    -0.119453761726718E+00 ,     0.635145380621950E+00 ,    -0.897102985281821E+00 ,    -0.189031455606361E-01 ,    -0.448489058701810E+01 ,     0.242117439749940E+01 ,    -0.551066044686260E+00 ,    -0.106397300621461E+01 ,    -0.784694104445427E+00 ,    -0.148817442922529E+01 , 
   0.60000 ,     0.991914158183028E+00 ,    -0.186698405985294E+01 ,    -0.339529497927308E+01 ,     0.898491454754969E+00 ,    -0.129736099237835E+01 ,     0.573350401055685E+01 ,    -0.132377219213368E+01 ,     0.217013369123336E+01 ,    -0.201007168901823E+01 ,    -0.146940107823647E+01 , 
   0.62000 ,     0.142377462252580E+01 ,    -0.424168630034098E+01 ,    -0.530375721145057E+01 ,     0.164732332320308E+01 ,     0.100381429428537E+01 ,     0.782373511668635E+01 ,    -0.197746519501121E+01 ,     0.367042516431003E+01 ,    -0.276372882139510E+01 ,    -0.151910260675501E+01 , 
   0.64000 ,     0.132333359088237E+01 ,    -0.588507149742128E+01 ,    -0.624608221975789E+01 ,     0.201690499179896E+01 ,     0.193516963787980E+01 ,     0.834663545653742E+01 ,    -0.239179504075374E+01 ,     0.341086504379066E+01 ,    -0.289213802982538E+01 ,    -0.153964474016416E+01 , 
   0.66000 ,     0.107852187179839E+01 ,    -0.660082528750613E+01 ,    -0.640615838078645E+01 ,     0.201379288820854E+01 ,     0.176784027418792E+01 ,     0.786014185259880E+01 ,    -0.257796577842119E+01 ,     0.243857187197949E+01 ,    -0.260226310308320E+01 ,    -0.144326464769506E+01 , 
   0.68000 ,     0.114656293915456E+01 ,    -0.664104108548509E+01 ,    -0.641443471330354E+01 ,     0.184330788270658E+01 ,     0.138840280402475E+01 ,     0.756056615467468E+01 ,    -0.267445374997542E+01 ,     0.241153412926500E+01 ,    -0.236166630295565E+01 ,    -0.119112139908694E+01 , 
   0.70000 ,     0.184229751115750E+01 ,    -0.652938942584743E+01 ,    -0.700212471021037E+01 ,     0.179095042343571E+01 ,     0.184577359553553E+01 ,     0.868100860497713E+01 ,    -0.287956126201169E+01 ,     0.479104683215998E+01 ,    -0.266134939325404E+01 ,    -0.809365929014580E+00 , 
   0.72000 ,     0.317592520806140E+01 ,    -0.676031611017947E+01 ,    -0.859098012328671E+01 ,     0.206497215077216E+01 ,     0.379432466171248E+01 ,     0.118314852686169E+02 ,    -0.334759251880674E+01 ,     0.100545795718574E+02 ,    -0.375387417308287E+01 ,    -0.378303671269233E+00 , 
   0.74000 ,     0.481302292208771E+01 ,    -0.752397678101327E+01 ,    -0.110201538038728E+02 ,     0.267895710137860E+01 ,     0.709805973947614E+01 ,     0.165952130480692E+02 ,    -0.409479257889246E+01 ,     0.173020666846417E+02 ,    -0.549342447300862E+01 ,    -0.230270104938767E-02 , 
   0.76000 ,     0.618079805854673E+01 ,    -0.859017398626254E+01 ,    -0.135489057703962E+02 ,     0.343216473162459E+01 ,     0.107918133272371E+02 ,     0.215844119628360E+02 ,    -0.496069362578827E+01 ,     0.244627677192304E+02 ,    -0.735828349994262E+01 ,     0.225363250759756E+00 , 
   0.78000 ,     0.668352979068973E+01 ,    -0.940572245010409E+01 ,    -0.151444757289354E+02 ,     0.399687155870581E+01 ,     0.134343212600174E+02 ,     0.249517150384696E+02 ,    -0.564888616644386E+01 ,     0.290442885561616E+02 ,    -0.865165998342715E+01 ,     0.249133637565921E+00 , 
