Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
031023.257      133349      255311  0.775E-01  0.253E+00
032023.152      229549      515734  0.270E-01  0.151E+00
033023.120      307469      777017  0.119E-01  0.922E-01
034023.169      371988     1040317  0.696E-02  0.592E-01
035023.154      427399     1303385  0.468E-02  0.387E-01
040023.094      479181     1567602  0.336E-02  0.253E-01
041023.126      526329     1830753  0.252E-02  0.168E-01
042023.125      570474     2096528  0.190E-02  0.113E-01
043023.094      612400     2364388  0.145E-02  0.767E-02
044023.233      651939     2633765  0.112E-02  0.540E-02
045023.133      688831     2904479  0.908E-03  0.396E-02
050023.087      723404     3174324  0.794E-03  0.307E-02
051023.087      756230     3444812  0.752E-03  0.250E-02
052023.100      787626     3714122  0.715E-03  0.213E-02
053023.077      818528     3984198  0.723E-03  0.186E-02
054023.087      849103     4256372  0.744E-03  0.167E-02
055023.085      879250     4526756  0.772E-03  0.153E-02
060023.084      909533     4799047  0.777E-03  0.142E-02
061023.116      939277     5071319  0.790E-03  0.134E-02
062023.224      969212     5341965  0.807E-03  0.127E-02
063023.082      999198     5614235  0.839E-03  0.121E-02
064023.089     1029196     5886113  0.839E-03  0.116E-02
065023.134     1059064     6158699  0.851E-03  0.112E-02
070033.549     1089036     6431687  0.879E-03  0.108E-02
071023.153     1118021     6695794  0.866E-03  0.105E-02
072023.189     1147476     6964221  0.874E-03  0.102E-02
073023.146     1177006     7232970  0.887E-03  0.998E-03
074023.165     1206246     7500787  0.876E-03  0.975E-03
075023.120     1235553     7768321  0.902E-03  0.954E-03
080023.169     1264878     8035894  0.904E-03  0.935E-03
081023.128     1294215     8303679  0.903E-03  0.915E-03
082023.125     1323925     8572504  0.926E-03  0.898E-03
083023.169     1353492     8841401  0.926E-03  0.882E-03
084023.099     1383122     9110302  0.941E-03  0.867E-03
085023.086     1412549     9379055  0.932E-03  0.855E-03
090023.100     1441860     9646698  0.952E-03  0.842E-03
091023.122     1471208     9915337  0.945E-03  0.832E-03
092023.108     1500672    10183955  0.954E-03  0.821E-03
093023.113     1530128    10452541  0.964E-03  0.811E-03
094023.163     1559931    10721534  0.973E-03  0.801E-03
095023.195     1589368    10990347  0.989E-03  0.790E-03
100023.104     1618436    11258535  0.991E-03  0.781E-03
101023.113     1648062    11526870  0.965E-03  0.774E-03
102023.168     1677582    11794988  0.988E-03  0.764E-03
103023.155     1707009    12064023  0.956E-03  0.758E-03
104023.129     1736643    12333247  0.989E-03  0.750E-03
105023.209     1766251    12602657  0.988E-03  0.742E-03
110023.153     1795776    12871463  0.991E-03  0.735E-03
111023.173     1824466    13133906  0.974E-03  0.729E-03
112023.328     1854033    13402385  0.987E-03  0.723E-03
113023.141     1883325    13670405  0.101E-02  0.716E-03
114023.210     1912825    13938718  0.101E-02  0.707E-03
115023.139     1942250    14206579  0.103E-02  0.701E-03
120023.135     1971771    14474699  0.104E-02  0.696E-03
121023.212     2001296    14742865  0.100E-02  0.693E-03
122023.150     2031008    15011247  0.102E-02  0.688E-03
123023.129     2060525    15280071  0.102E-02  0.681E-03
124023.162     2090292    15548298  0.103E-02  0.675E-03
125023.187     2119813    15816822  0.103E-02  0.670E-03
130023.141     2149305    16084914  0.104E-02  0.666E-03
131023.136     2178826    16353710  0.104E-02  0.660E-03
132023.141     2208303    16621392  0.104E-02  0.655E-03
133023.140     2237868    16889842  0.104E-02  0.652E-03
134023.153     2267199    17157815  0.105E-02  0.647E-03
135023.134     2296833    17426308  0.106E-02  0.642E-03
140023.345     2326282    17695348  0.108E-02  0.638E-03
141023.186     2355732    17963659  0.104E-02  0.635E-03
142023.144     2385264    18232177  0.105E-02  0.630E-03
143023.272     2414846    18500657  0.107E-02  0.624E-03
144023.147     2444454    18769179  0.108E-02  0.622E-03
145023.171     2473955    19038181  0.106E-02  0.619E-03
150023.146     2503424    19306318  0.105E-02  0.616E-03
151023.170     2532937    19574671  0.107E-02  0.612E-03
152023.134     2562332    19843253  0.106E-02  0.609E-03
153023.130     2591943    20111066  0.107E-02  0.605E-03
154023.155     2621388    20379583  0.110E-02  0.601E-03
155023.137     2650875    20647986  0.108E-02  0.597E-03
160023.128     2680327    20917459  0.110E-02  0.594E-03
161023.159     2709782    21184948  0.105E-02  0.592E-03
162023.223     2739072    21453546  0.110E-02  0.587E-03
163023.141     2768405    21721245  0.108E-02  0.585E-03
164023.138     2797868    21989164  0.111E-02  0.580E-03
165023.274     2827413    22257809  0.107E-02  0.578E-03
170023.197     2857024    22526822  0.109E-02  0.575E-03
171023.150     2886536    22795553  0.108E-02  0.572E-03
172023.202     2916116    23063906  0.110E-02  0.569E-03
173023.153     2945513    23332314  0.110E-02  0.565E-03
174023.085     2975107    23602209  0.111E-02  0.561E-03
175023.124     3004633    23871586  0.110E-02  0.559E-03
180023.111     3034138    24141117  0.112E-02  0.556E-03
181023.098     3063891    24410491  0.916E-03  0.437E-03
182023.112     3093386    24679714  0.111E-02  0.552E-03
183023.115     3122995    24950095  0.111E-02  0.549E-03
184023.094     3152325    25219087  0.111E-02  0.545E-03
185023.110     3181673    25487707  0.114E-02  0.541E-03
190023.087     3211341    25757200  0.110E-02  0.541E-03
191023.166     3240804    26025889  0.112E-02  0.537E-03
192023.103     3270350    26295113  0.112E-02  0.534E-03
193023.108     3300088    26564094  0.111E-02  0.532E-03
