Cluster	# of Li atoms
    1        88
    3       464
    7         4
    8       249
   13         2
   14        16
   15         3
   16         8
   20        13
   23         3
   28         3
   29        24
   32         6
   35        10
   36        11
   46         8
   54        15
   56         2
   57         3
   65        16
   67         2
   68         9
   69        14
   70         1
   75        19
   77        39
   82        40
   86        19
   94        15
   96         6
   99         1
  109         5
  111         5
  113         6
  122         2
  123         6
  124        67
  132         4
  133         1
  134         4
  138        21
  142         9
  143         5
  147        12
  150        25
  154        12
  155         7
  156         2
  157         8
  158         3
  161         8
  165         6
  166        27
  167         2
  168        10
  172        16
  174         1
  175        10
  179         2
  181         1
  186         4
  188         3
  193         1
  194         9
  198         3
  199        28
  200        13
  204        12
  208        13
  210         4
  212         7
  213        17
  214         6
  216        29
  220         8
  222         1
  225         6
  227         2
  231         7
  232         8
  239         9
  241         5
  245         4
  246         6
  247         7
  248         3
  252        23
  254         8
  255         3
  257        18
  259         5
  260         3
  263         4
  265         5
  267         6
  268         3
  269         2
  270         3
  271         1
  273         2
  274         1
  282         3
  284         1
  294         3
  299         5
  302         1
  304         2
  305        10
  306         1
  307         2
  312         4
  313         1
  314         1
  316         6
  323         8
  324         7
  327         9
  328         3
  330         3
  339         2
  342         2
  343         2
  344         3
  345         1
  347         4
  348         1
  349         9
  353         3
  354         2
  355         2
  356         1
  359         2
  360        10
  361         7
  363         6
  364         2
  365         1
  367         1
  371         2
  373         3
  376         4
  377        12
  379         6
  381         2
  386         8
  389         5
  391         2
  394         1
  398         3
  401         1
  402         4
  403         1
  405        12
  411         4
  412         4
  414         2
  416         2
  418         1
  419         2
  421         1
  423         1
  426         1
  427         1
  428         6
  431         4
  432         1
  438         1
  440         3
  441         1
  442         1
  444         1
  445         4
  449         1
  450         2
  452         1
  457         1
  458         1
  459         1
  460         1
  461         2
  462         1
  464         6
  466         2
  467         1
  468         6
  469         2
  471         4
  473         4
  474         6
  480         2
  483         4
  485         2
  488         3
  489         5
  490         1
  491         3
  492         1
  493         1
  496         1
  502         2
  505         3
  506         1
  512         1
  515         5
  516         1
  524         1
  525         1
  527         3
  528         5
  529         1
  535         1
  539         2
  541         2
  542         1
  544         1
  550         3
  552         3
  556         1
  558         3
  566         2
  568         3
  569         4
  572         1
  574         4
  577         3
  579         2
  583         1
  585         2
  586         1
  587         4
  596         3
  597         2
  598         4
  599         2
  600         3
  602         2
  604         1
  605         3
  606         1
  608         2
  611         2
  612         2
  614         1
  615         1
  616         1
  619         2
  620         3
  628         2
  630         1
  632         2
  635         1
  636         2
  639         1
  640         4
  643         1
  644         1
  645         1
  648         1
  649         1
  652         1
  655         2
  656         2
  658         1
  659         1
  661         1
  663         1
  668         1
  669         1
  670         1
  671         1
  672         1
  675         1
  676         2
  678         2
  680         1
  682         1
  683         2
  684         1
  685         1
  686         1
  687         2
  688         1
  689         1
  690         1
  691         1
  693         1
  694         1
  695         1
  696         1
  698         1
  699         1
  702         1
  703         1
  705         1
  706         1
  707         1
  708         1
  709         1
  710         1
  711         1
  713         1
  714         1
  715         1
  716         1
  717         1
  718         1
  719         1
  720         1
  722         1
  723         1
  725         1
  726         1
  727         1
  728         1
  729         1
  730         1
  731         1
  732         1
  733         1
  735         1
  737         1
  738         1
  740         1
  741         1
  742         1
  743         1
  744         2
  746         1
  747         1
  748         1
  749         1
  750         1
  752         1
  753         1
  754         1
  755         1
  758         1
  759         1
  761         1
  762         1
  763         1
  764         1
  765         1
  767         1
  768         1
  769         1
  770         1
  771         1
  772         1
  773         1
  774         1
  775         1
  777         1
  778         1
  779         1
  781         1
  782         1
  783         1
  785         1
