Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
040536.450       61473       94747  0.253E+00  0.546E+00
041536.431      105636      190949  0.185E+00  0.464E+00
042536.451      146337      287436  0.148E+00  0.398E+00
043536.488      179301      369477  0.126E+00  0.352E+00
044536.441      216377      465756  0.106E+00  0.306E+00
045536.405      251647      561897  0.900E-01  0.268E+00
050536.362      285273      657639  0.773E-01  0.236E+00
051536.354      317404      753425  0.670E-01  0.208E+00
052536.347      347385      849116  0.587E-01  0.185E+00
053536.358      376761      945206  0.519E-01  0.165E+00
054536.359      404948     1041220  0.461E-01  0.147E+00
055536.371      431902     1137309  0.415E-01  0.132E+00
060536.405      457485     1233278  0.375E-01  0.119E+00
061536.357      482073     1329334  0.344E-01  0.107E+00
062536.361      505864     1425508  0.317E-01  0.967E-01
063536.363      528426     1521764  0.293E-01  0.878E-01
064536.439      549758     1618153  0.272E-01  0.803E-01
065536.456      570210     1714498  0.254E-01  0.738E-01
070536.433      590028     1810830  0.238E-01  0.680E-01
071536.448      608890     1907326  0.224E-01  0.629E-01
072536.435      626878     2003573  0.210E-01  0.585E-01
073536.420      644074     2097864  0.199E-01  0.546E-01
074536.389      661502     2194329  0.190E-01  0.508E-01
075536.409      678413     2290865  0.180E-01  0.475E-01
080536.423      694867     2387372  0.172E-01  0.445E-01
081536.401      711097     2483925  0.164E-01  0.418E-01
082536.392      726856     2580541  0.157E-01  0.393E-01
083536.397      742454     2677127  0.150E-01  0.370E-01
084536.415      757810     2773791  0.144E-01  0.349E-01
085536.388      772795     2870338  0.139E-01  0.330E-01
090536.432      787434     2967019  0.134E-01  0.313E-01
091536.414      802035     3063746  0.129E-01  0.297E-01
092536.383      816363     3159900  0.125E-01  0.282E-01
093536.369      830431     3256533  0.120E-01  0.269E-01
094536.448      844054     3353380  0.116E-01  0.256E-01
095536.430      857664     3450082  0.113E-01  0.244E-01
100536.594      871259     3546797  0.109E-01  0.233E-01
101536.430      884587     3643633  0.105E-01  0.223E-01
102537.012      897746     3740426  0.101E-01  0.213E-01
103536.414      910809     3837089  0.982E-02  0.204E-01
104536.461      923731     3933971  0.953E-02  0.195E-01
105536.485      936348     4030854  0.927E-02  0.187E-01
110536.418      949028     4127728  0.897E-02  0.180E-01
111536.638      961511     4224638  0.875E-02  0.173E-01
112544.447      973675     4321548  0.854E-02  0.166E-01
113536.437      985817     4417271  0.831E-02  0.160E-01
114536.469      998082     4514233  0.806E-02  0.154E-01
115536.481     1010036     4611338  0.790E-02  0.148E-01
120536.453     1022014     4708411  0.774E-02  0.143E-01
121536.460     1033862     4805435  0.756E-02  0.138E-01
