 Q (1/Ang),Li-Li,Li-Ta,Li-O ,Li-Cl,Ta-Ta,Ta-O ,Ta-Cl,O-O  ,O-Cl ,Cl-Cl
   0.40000 ,    -0.186017820388639E+01 ,     0.619644426574627E+00 ,    -0.143241295871506E+00 ,    -0.188445837980768E+00 ,    -0.465654756370914E+01 ,     0.116202216834337E+01 ,    -0.608532456404657E+00 ,    -0.330361562147893E+01 ,    -0.772913489412489E-01 ,    -0.147345039900295E+01 , 
   0.41000 ,    -0.208641904516021E+01 ,    -0.307945910347714E+00 ,    -0.102130640372046E+01 ,     0.257404754085763E+00 ,    -0.397013919405597E+01 ,     0.230159547706573E+01 ,    -0.843794724681262E+00 ,    -0.221298253942390E+01 ,    -0.617227643953189E+00 ,    -0.149055053444133E+01 , 
   0.42000 ,    -0.252123704659170E+01 ,    -0.120294855201828E+01 ,    -0.177269310687370E+01 ,     0.680771951128385E+00 ,    -0.357620727692239E+01 ,     0.316734978247513E+01 ,    -0.983135688045844E+00 ,    -0.143785088176538E+01 ,    -0.108175259672243E+01 ,    -0.156262916808536E+01 , 
   0.43000 ,    -0.311201660593342E+01 ,    -0.194310116300986E+01 ,    -0.229066238539123E+01 ,     0.102354234743750E+01 ,    -0.353764532112067E+01 ,     0.363232687494160E+01 ,    -0.100511690547714E+01 ,    -0.109235803614125E+01 ,    -0.140491867770309E+01 ,    -0.168093855330348E+01 , 
   0.44000 ,    -0.378823009986744E+01 ,    -0.242528038615204E+01 ,    -0.249809183428996E+01 ,     0.123860167741478E+01 ,    -0.387401547044455E+01 ,     0.361991957853804E+01 ,    -0.902295628405692E+00 ,    -0.123812903945021E+01 ,    -0.153933483725729E+01 ,    -0.183180205266354E+01 , 
   0.45000 ,    -0.446964385864400E+01 ,    -0.257874492577422E+01 ,    -0.235797850637156E+01 ,     0.129595034739143E+01 ,    -0.455747755201572E+01 ,     0.311498625310516E+01 ,    -0.682649774541379E+00 ,    -0.187495972521705E+01 ,    -0.146266703619932E+01 ,    -0.199819269658908E+01 , 
   0.46000 ,    -0.507536572488075E+01 ,    -0.237423095754292E+01 ,    -0.187880864956179E+01 ,     0.118651492449894E+01 ,    -0.551451455370578E+01 ,     0.216716943943222E+01 ,    -0.369152026276716E+00 ,    -0.293916405586033E+01 ,    -0.118086080764200E+01 ,    -0.216162502543949E+01 , 
   0.47000 ,    -0.553272820694407E+01 ,    -0.182780372784166E+01 ,    -0.111410656191207E+01 ,     0.923199666121284E+00 ,    -0.663338626966517E+01 ,     0.885917389976109E+00 ,     0.249997679116209E-02 ,    -0.430990882420449E+01 ,    -0.727669070133463E+00 ,    -0.230414992002468E+01 , 
   0.48000 ,    -0.578505052140329E+01 ,    -0.999037782893534E+00 ,    -0.156221073665914E+00 ,     0.539085138417040E+00 ,    -0.777652719461641E+01 ,    -0.572232208381825E+00 ,     0.387763308879921E+00 ,    -0.582285202511099E+01 ,    -0.160548243961140E+00 ,    -0.241023710353512E+01 , 
   0.49000 ,    -0.579747180625279E+01 ,     0.161889945334358E-01 ,     0.874855926514001E+00 ,     0.830498384751640E-01 ,    -0.879647166492979E+01 ,    -0.202255205640732E+01 ,     0.738302311500291E+00 ,    -0.728946969922800E+01 ,     0.446544366898030E+00 ,    -0.246834774311049E+01 , 
   0.50000 ,    -0.556027722221634E+01 ,     0.109733465752924E+01 ,     0.184621231333916E+01 ,    -0.386581718181177E+00 ,    -0.955341887779358E+01 ,    -0.327485165744572E+01 ,     0.100762364261512E+01 ,    -0.851971781251954E+01 ,     0.101251905114261E+01 ,    -0.247203760343182E+01 , 
   0.51000 ,    -0.508942164131861E+01 ,     0.211377259722460E+01 ,     0.262840456100199E+01 ,    -0.809515982622762E+00 ,    -0.993230408764288E+01 ,    -0.415716562965375E+01 ,     0.115661930336645E+01 ,    -0.934522531357496E+01 ,     0.145947610231582E+01 ,    -0.242048497959859E+01 , 
   0.52000 ,    -0.442426072989869E+01 ,     0.294047046440684E+01 ,     0.311142817804141E+01 ,    -0.113111160584837E+01 ,    -0.985725462529103E+01 ,    -0.453739214278994E+01 ,     0.115833984642676E+01 ,    -0.964011117674865E+01 ,     0.172264733349329E+01 ,    -0.231840112352206E+01 , 
   0.53000 ,    -0.362279398508271E+01 ,     0.347281408875274E+01 ,     0.321824154169779E+01 ,    -0.130915966822197E+01 ,    -0.930158372291582E+01 ,    -0.434010373063415E+01 ,     0.100139942703946E+01 ,    -0.933677835848310E+01 ,     0.175867036556931E+01 ,    -0.217534719855582E+01 , 
   0.54000 ,    -0.275497853844309E+01 ,     0.363875262779229E+01 ,     0.291412849591905E+01 ,    -0.131895992627907E+01 ,    -0.829198258778901E+01 ,    -0.355634035603491E+01 ,     0.691568364879486E+00 ,    -0.843463231466834E+01 ,     0.155112273033722E+01 ,    -0.200454396998633E+01 , 
   0.55000 ,    -0.189486149673826E+01 ,     0.340679723870225E+01 ,     0.221071559152907E+01 ,    -0.115606169850222E+01 ,    -0.690625379369817E+01 ,    -0.224506376412344E+01 ,     0.251320047251228E+00 ,    -0.700053027980811E+01 ,     0.111259361159538E+01 ,    -0.182131210636913E+01 , 
   0.56000 ,    -0.111238508815143E+01 ,     0.278893986322636E+01 ,     0.116413970025986E+01 ,    -0.836347850655342E+00 ,    -0.526470651158674E+01 ,    -0.525995156068753E+00 ,    -0.282657294283813E+00 ,    -0.516078573058860E+01 ,     0.483014438706384E+00 ,    -0.164131703272887E+01 , 
   0.57000 ,    -0.465734812941272E+00 ,     0.183820265110152E+01 ,    -0.132395281861994E+00 ,    -0.393487752151471E+00 ,    -0.351611317658045E+01 ,     0.143535486332090E+01 ,    -0.863726108693136E+00 ,    -0.308560549132067E+01 ,    -0.275550880410126E+00 ,    -0.147880939662254E+01 , 
   0.58000 ,     0.497248720467752E-02 ,     0.641200764559296E+00 ,    -0.156072170603991E+01 ,     0.125874891997440E+00 ,    -0.181981301963197E+01 ,     0.344866021445318E+01 ,    -0.144086347290478E+01 ,    -0.967794560903013E+00 ,    -0.108700043868150E+01 ,    -0.134504908137292E+01 , 
   0.59000 ,     0.282015974048231E+00 ,    -0.693282069853294E+00 ,    -0.299292878369919E+01 ,     0.668544236266285E+00 ,    -0.326055471439980E+00 ,     0.532317546541793E+01 ,    -0.196487688965011E+01 ,     0.100169358995077E+01 ,    -0.187114539271424E+01 ,    -0.124707814427417E+01 , 
   0.60000 ,     0.371982391003519E+00 ,    -0.204822084069101E+01 ,    -0.430776110974496E+01 ,     0.118194753408838E+01 ,     0.843058924924947E+00 ,     0.689251023233844E+01 ,    -0.239453213593966E+01 ,     0.265834983364422E+01 ,    -0.255424657618058E+01 ,    -0.118696885901566E+01 , 
