Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
031550.525      130261      259240  0.386E-01  0.152E+00
032550.450      217565      522938  0.123E-01  0.864E-01
033550.496      282972      788073  0.735E-02  0.576E-01
034550.497      340300     1053639  0.571E-02  0.403E-01
035550.509      393721     1317532  0.451E-02  0.288E-01
040550.424      443912     1581340  0.355E-02  0.210E-01
041550.414      491384     1845852  0.281E-02  0.157E-01
042550.404      534904     2111550  0.225E-02  0.120E-01
043550.588      575641     2378122  0.185E-02  0.929E-02
044550.477      614421     2644530  0.155E-02  0.733E-02
045550.425      650834     2905798  0.132E-02  0.589E-02
050550.402      686368     3174126  0.117E-02  0.479E-02
051550.390      721748     3442802  0.107E-02  0.395E-02
052550.393      755124     3712047  0.981E-03  0.329E-02
053550.399      787525     3982079  0.894E-03  0.279E-02
054550.391      819141     4252555  0.841E-03  0.240E-02
055550.384      849731     4522819  0.797E-03  0.211E-02
060550.392      880115     4795025  0.775E-03  0.187E-02
061550.385      910121     5067196  0.760E-03  0.170E-02
062550.390      940015     5338661  0.742E-03  0.155E-02
063550.414      969393     5610578  0.737E-03  0.143E-02
064550.416      998911     5882806  0.730E-03  0.134E-02
065550.520     1028295     6155169  0.724E-03  0.126E-02
070550.477     1057681     6427979  0.717E-03  0.119E-02
071550.448     1086765     6699911  0.686E-03  0.114E-02
072550.437     1116115     6972515  0.710E-03  0.109E-02
073550.439     1145237     7244499  0.703E-03  0.105E-02
074550.462     1174412     7517307  0.711E-03  0.101E-02
075550.424     1203576     7790241  0.704E-03  0.980E-03
080550.439     1232668     8063135  0.713E-03  0.948E-03
081550.470     1261882     8336006  0.717E-03  0.922E-03
082550.602     1291213     8608684  0.730E-03  0.896E-03
083550.452     1320480     8881790  0.725E-03  0.875E-03
084550.443     1349832     9155075  0.709E-03  0.857E-03
085550.425     1379205     9427073  0.705E-03  0.842E-03
090552.033     1408458     9699176  0.743E-03  0.823E-03
091550.472     1437664     9971158  0.725E-03  0.807E-03
092550.461     1467083    10243251  0.734E-03  0.794E-03
093550.464     1496425    10516528  0.737E-03  0.780E-03
094550.489     1525563    10789337  0.723E-03  0.768E-03
095550.503     1554914    11061931  0.743E-03  0.755E-03
100550.488     1584362    11334401  0.731E-03  0.745E-03
101550.515     1613070    11602719  0.743E-03  0.735E-03
102550.490     1642241    11874569  0.775E-03  0.723E-03
103550.566     1671402    12146957  0.768E-03  0.714E-03
104550.444     1700635    12418438  0.768E-03  0.707E-03
105550.442     1729773    12690052  0.764E-03  0.699E-03
110550.817     1759208    12961937  0.756E-03  0.691E-03
111550.468     1788607    13233789  0.774E-03  0.682E-03
112550.426     1817890    13506045  0.793E-03  0.674E-03
113550.493     1847048    13778340  0.786E-03  0.667E-03
114550.439     1876282    14050167  0.784E-03  0.661E-03
115550.437     1905721    14323216  0.763E-03  0.655E-03
120550.479     1935023    14595173  0.764E-03  0.650E-03
121550.454     1964183    14867053  0.762E-03  0.644E-03
122550.593     1993420    15139129  0.814E-03  0.635E-03
123550.488     2022769    15411760  0.799E-03  0.629E-03
124550.516     2052074    15684129  0.803E-03  0.623E-03
125550.548     2081541    15955524  0.850E-03  0.638E-03
130550.462     2110954    16227370  0.798E-03  0.611E-03
131550.476     2140437    16500090  0.801E-03  0.609E-03
132550.527     2169562    16769999  0.785E-03  0.605E-03
133550.519     2199084    17042160  0.800E-03  0.599E-03
134550.468     2228378    17313453  0.797E-03  0.594E-03
135550.471     2257796    17585380  0.831E-03  0.587E-03
140550.625     2286901    17857058  0.804E-03  0.584E-03
141550.443     2316334    18128983  0.785E-03  0.580E-03
142550.428     2345741    18400414  0.827E-03  0.575E-03
143550.490     2375086    18672492  0.837E-03  0.570E-03
144550.446     2404328    18943689  0.834E-03  0.567E-03
145550.532     2433615    19214544  0.803E-03  0.563E-03
150550.424     2462734    19484256  0.838E-03  0.559E-03
151550.439     2491832    19755026  0.832E-03  0.555E-03
