Cluster	# of Li atoms
    1         6
    2         4
    3         6
    4         3
    5       344
    7       162
    8         7
   10         5
   12         2
   15         7
   19         5
   20         2
   21       326
   26         2
   28        14
   29         4
   30         9
   31        53
   35        20
   36        10
   37        10
   38        12
   46         3
   47       228
   52         1
   53        25
   65         7
   71         4
   72        10
   74        32
   75         4
   76         1
   79         2
   81         3
   82        12
   84         7
   87         9
   91         7
   92        16
   96        13
   98         1
   99        19
  100         2
  107         1
  113        38
  118         3
  122         2
  123         2
  124        14
  130         1
  131         3
  133         3
  135         2
  136        50
  142         6
  143        46
  151         4
  155         4
  156         8
  159         3
  161         8
  162         3
  164         2
  169         9
  170         6
  172         8
  173         1
  175        31
  178         1
  180        11
  183         4
  185         1
  187         5
  189         2
  191        13
  192        22
  193         7
  199         4
  204         4
  205        11
  208         4
  210         1
  212         8
  213         2
  214         7
  215         1
  218         3
  219         9
  224         5
  231        14
  233        16
  236         8
  237         3
  240         3
  241         9
  242         1
  243         2
  245         5
  246         2
  249         6
  250        23
  252         5
  257         1
  258        15
  260         6
  261         3
  262        25
  264         7
  265         3
  273        17
  285        14
  286         2
  287         1
  293         4
  303         2
  309         8
  311         6
  312         5
  316         3
  317         5
  318         4
  319         2
  320         4
  322        13
  323         2
  324         8
  327         1
  328         1
  333         3
  337         1
  338         2
  339         1
  341         2
  342         2
  346         2
  349         2
  350         3
  351         3
  352         2
  354         1
  355         1
  362         5
  365         3
  372         1
  379         2
  384         1
  390         3
  392         2
  394         2
  395         2
  398        13
  399         2
  402         1
  407         1
  408         1
  410         2
  411         2
  414         5
  415         4
  418         2
  422        18
  429         3
  431         2
  436         3
  442         2
  444         2
  445         7
  449         2
  451         5
  452        12
  453         1
  454         1
  458         1
  464         2
  465         1
  467         3
  470         3
  474         3
  475         1
  478         3
  480         2
  481         1
  483         2
  488         1
  489         4
  490         3
  491         3
  492         1
  493         1
  494         2
  495         4
  496         1
  499         4
  501        14
  502         1
  509         1
  511         2
  512         3
  513         2
  520         2
  525         1
  526         4
  529         1
  530         4
  532         1
  534         4
  537         1
  538         4
  541         3
  543        11
  547         2
  548         1
  550         1
  558         3
  559         2
  560         4
  565         2
  570         2
  574         1
  576         2
  578         1
  580         4
  581         3
  582         1
  584         1
  586         6
  587         2
  590         5
  592         1
  600         2
  607         1
  616         2
  622         7
  626         5
  627         3
  632         2
  638         1
  640         6
  641         3
  644         3
  645         1
  646         2
  649         6
  650         2
  652         2
  653         2
  655         5
  656         1
  657         1
  659         1
  660         1
  661         1
  662         1
  663         3
  664         1
  667         5
  668         6
  670         1
  672         1
  673         2
  674         1
  679         3
  681         3
  685         1
  690         1
  695         2
  697         1
  699         1
  701         1
  704         1
  711         3
  713         2
  720         1
  722         1
  723         2
  724         1
  725         1
  728         1
  730         1
  737         3
  738         3
  743         1
  744         2
  746         1
  747         1
  748         2
  750         1
  753         1
  754         1
  756         1
  758         1
  760         2
  764         1
  767         1
  771         1
  773         1
  775         1
  776         1
  777         2
  779         1
  781         2
  782         1
  783         1
  785         1
  786         1
  789         3
  791         1
  792         1
  793         2
  795         1
  796         1
  797         2
  798         3
  799         1
  800         1
  801         1
  802         1
  803         1
  804         1
  805         1
  806         1
  807         1
  808         1
  809         1
  810         1
  812         1
  813         1
  815         1
  816         1
  817         1
  818         1
  819         1
  820         1
  821         2
  823         1
  824         1
  826         1
  827         2
  828         1
  829         1
  831         1
  832         1
  833         1
  834         1
  835         1
  836         1
  837         1
  838         1
  839         2
  840         1
  841         1
  842         1
  843         1
  844         1
  845         1
  846         1
  847         1
  848         1
  849         1
  850         1
  852         1
  854         1
  855         1
  856         1
  857         1
  858         1
  859         1
  860         1
  861         1
  862         1
  863         1
  864         1
  865         1
  866         1
  867         1
  868         1
  869         1
  872         1
  873         1
  874         1
  875         1
  876         1
