 Q (1/Ang),Li-Li,Li-Ta,Li-O ,Li-Cl,Ta-Ta,Ta-O ,Ta-Cl,O-O  ,O-Cl ,Cl-Cl
   0.40000 ,    -0.236736552836255E+01 ,     0.239585935941315E+00 ,    -0.396311950559243E+00 ,    -0.592054604016750E+00 ,    -0.722996146987985E+01 ,     0.420709173405305E+00 ,     0.204923471670740E+00 ,    -0.358424728007063E+01 ,     0.458204125153401E+00 ,    -0.183334625057800E+01 , 
   0.42000 ,    -0.286139486026763E+01 ,    -0.624407947654971E+00 ,    -0.122190242849505E+01 ,     0.906448908909272E-01 ,    -0.495677226665416E+01 ,     0.211569224881399E+01 ,    -0.387949529984144E+00 ,    -0.202741252107661E+01 ,    -0.629346906281553E+00 ,    -0.166778115149382E+01 , 
   0.44000 ,    -0.347812107162062E+01 ,    -0.137756304062644E+01 ,    -0.168301699973522E+01 ,     0.606220361186225E+00 ,    -0.339164037952858E+01 ,     0.286661048922784E+01 ,    -0.763102723807766E+00 ,    -0.173983380735156E+01 ,    -0.132229617366622E+01 ,    -0.161657984967053E+01 , 
   0.46000 ,    -0.415783437615708E+01 ,    -0.151553345769743E+01 ,    -0.138525428285398E+01 ,     0.739763529619193E+00 ,    -0.342222142891686E+01 ,     0.216795454076977E+01 ,    -0.728374660026004E+00 ,    -0.302143166229530E+01 ,    -0.126788551347761E+01 ,    -0.173109322976643E+01 , 
   0.48000 ,    -0.475092669203056E+01 ,    -0.839462957218042E+00 ,    -0.331789304739791E+00 ,     0.458503450772167E+00 ,    -0.510651570667245E+01 ,     0.256747226476335E+00 ,    -0.286448942225361E+00 ,    -0.536261215974462E+01 ,    -0.497364898765572E+00 ,    -0.198193786305238E+01 , 
   0.50000 ,    -0.505968356390999E+01 ,     0.434242296287822E+00 ,     0.106027939453452E+01 ,    -0.763783039909045E-01 ,    -0.763034781364904E+01 ,    -0.197618580058244E+01 ,     0.356801122085927E+00 ,    -0.765493102079661E+01 ,     0.588334581431076E+00 ,    -0.226661315861688E+01 , 
   0.52000 ,    -0.492332686108255E+01 ,     0.176301205459269E+01 ,     0.215257173088926E+01 ,    -0.586632935152574E+00 ,    -0.969746530022702E+01 ,    -0.340210756633115E+01 ,     0.878343631681549E+00 ,    -0.871191009969225E+01 ,     0.141491652892268E+01 ,    -0.245246122859099E+01 , 
   0.54000 ,    -0.430489183900384E+01 ,     0.252012716262874E+01 ,     0.238908902176450E+01 ,    -0.804157221006752E+00 ,    -0.101551142385628E+02 ,    -0.319378755559348E+01 ,     0.979508443459251E+00 ,    -0.784774133945572E+01 ,     0.151377905435301E+01 ,    -0.243518304406151E+01 , 
   0.56000 ,    -0.333203457515418E+01 ,     0.227432459968507E+01 ,     0.155972249947296E+01 ,    -0.588377658662092E+00 ,    -0.854683116463042E+01 ,    -0.122383707781530E+01 ,     0.518322906318994E+00 ,    -0.522609139462701E+01 ,     0.745888875299048E+00 ,    -0.218554239813548E+01 , 
   0.58000 ,    -0.226249667972715E+01 ,     0.978167986991195E+00 ,    -0.105573443189782E+00 ,     0.193090572817420E-01 ,    -0.532473173680033E+01 ,     0.187401184256620E+01 ,    -0.427781816912793E+00 ,    -0.179746736972768E+01 ,    -0.638134804814797E+00 ,    -0.176232659932637E+01 , 
