Cluster	# of Li atoms
    1         4
    2        21
    3        16
    4        18
    5        10
    6         5
    7        20
    8         2
   10        12
   11         6
   13         4
   14        13
   15         8
   16         1
   18        13
   19         3
   21         5
   22        17
   25        50
   26         8
   28        20
   31         3
   32         9
   33         7
   37         4
   39        14
   42         5
   43         4
   44        14
   45         5
   47        20
   51         2
   52         6
   53         5
   54        11
   55        15
   56         6
   57         9
   58        17
   59        20
   60         9
   62        12
   63        10
   64         8
   65         7
   67         1
   69         6
   70         4
   71         2
   73        23
   74         8
   77         2
   78         7
   79         8
   80         1
   81         9
   83        10
   84         8
   85        10
   86         1
   87         8
   88         9
   90        45
   92        15
   93        12
   95         6
   96        13
   98        14
   99         4
  100         1
  102         4
  104        19
  105         7
  108        13
  109        15
  110         4
  112         3
  113         3
  114         7
  116         1
  117         9
  119         4
  120         2
  121        14
  122         3
  124        15
  125         2
  127         9
  128         1
  129         8
  130         6
  131         2
  132        10
  133         5
  135         7
  136        58
  137        14
  138         6
  141        18
  145         2
  147         2
  148         2
  149         2
  151         1
  152        28
  157        18
  163         8
  165         3
  166         5
  170        30
  178         7
  179         4
  180        19
  181         6
  182         5
  184         5
  185         7
  186         4
  187        16
  188         1
  189         3
  192         2
  193         6
  194         4
  195         4
  197        14
  198        13
  199         3
  201         7
  203         5
  204         9
  205        10
  208         3
  209         6
  210         9
  211         3
  212         6
  213        11
  216         6
  217        12
  219         7
  222         2
  223        15
  226         3
  228         2
  229         9
  233         7
  234         2
  235         2
  236         5
  237         9
  239         4
  240         6
  241         6
  242         6
  244         2
  245         5
  246        10
  247        10
  249         9
  253         1
  254         1
  255         9
  256         5
  257         5
  259         7
  261         9
  262         9
  264         4
  265        14
  267        15
  269         2
  271        17
  272         1
  273         7
  274        10
  275        16
  276         3
  278         4
  279         4
  280         7
  281         1
  282        14
  286        13
  288        12
  290        12
  291        14
  293         7
  297         8
  298         5
  303        12
  304         4
  307         3
  308         9
  310        10
  311         1
  313         9
  314         4
  315        12
  316         3
  317        18
  318         6
  319         5
  321         2
  322         2
  323         5
  324         8
  325        11
  326         1
  330        10
  333         3
  334         1
  336         4
  337         1
  338        15
  339         3
  340        10
  341        12
  342         9
  343        22
  344         4
  345         3
  346         2
  347        12
  348        19
  351        14
  353         3
  354         4
  355        10
  356        13
  358         9
  360         4
  361         4
  362        11
  363         7
  365         6
  366        22
  367         6
  369         7
  371         5
  372         1
  374         6
  375        12
  376         2
  380         4
  381         1
  382         5
  383         6
  385         6
  386         2
  388         8
  389         9
  390        10
  392         6
  393         4
  396         5
  399         4
  400         4
  401         2
  402        16
  404         1
  405        17
  406        19
  407         2
  409         6
  412         1
  413         3
  414         4
  415         5
  417         8
  419         5
  420         5
  421         8
  423         2
  425         6
  426         3
  427         3
  429         8
  430         1
  431         3
  433         9
  434         5
  435         6
  436        20
  437         7
  438         9
  441         2
  442         5
  446         7
  449         1
  450         6
  452         1
