Cluster	# of Li atoms
    1         5
    2       169
    5        17
    7        54
    9        18
   11         9
   12         7
   13         5
   18         4
   19        45
   20         4
   29         3
   30         1
   31        15
   32       241
   33        19
   37       152
   51        15
   56         1
   57         4
   59         6
   60         6
   61         3
   62        16
   65        10
   66         8
   67         6
   68         1
   69         1
   72         2
   73         8
   77        14
   78        21
   79         2
   85         7
   87        31
   92         7
   93         7
  100        55
  101         8
  104         6
  108         1
  110         7
  112         4
  114        17
  115        10
  116        33
  119         1
  123         3
  125         5
  131         4
  135        16
  136         1
  137         3
  139        12
  141         9
  142         5
  145         7
  147         1
  149         8
  150        14
  151         9
  153         2
  154        27
  155         7
  156         6
  159         7
  160         3
  161        10
  162         3
  163         1
  168         3
  173         3
  174         9
  182         3
  183         2
  184        13
  186        12
  190         3
  193         3
  195        21
  197        13
  199         9
  200         3
  201        23
  204         4
  205         2
  207        13
  210         2
  212         8
  213         3
  214         9
  216        20
  218        21
  219         1
  224        11
  229         2
  230        41
  231         8
  236        10
  239         8
  240         1
  250         1
  257         6
  263        25
  265        38
  268         5
  270         2
  273        11
  274         3
  275         4
  276         5
  278         9
  279         3
  280         4
  281         3
  283         1
  284         7
  286         1
  290         5
  293         1
  295         1
  298         2
  300         1
  301         7
  302         4
  304        10
  305         3
  309         5
  310         2
  311         2
  312         3
  313         2
  314         3
  315         6
  316         2
  320         2
  324         1
  327         1
  329         6
  330         4
  331         6
  333         4
  334        14
  336         1
  337         1
  338         2
  340         1
  341         2
  343         4
  347         2
  349         4
  350         4
  351         1
  353         7
  354         5
  356         2
  359         1
  363         1
  364         1
  369         2
  371         7
  372         4
  373         2
  374         1
  375         1
  376         3
  378         4
  383         1
  384         1
  385         3
  386         4
  389         9
  390         1
  398        12
  403         3
  404         6
  408         1
  409         5
  414         1
  416         1
  418         1
  419         1
  420         2
  421         2
  424         4
  429         3
  444         1
  445         2
  446         3
  447         1
  450         1
  451         1
  454         2
  456         8
  457         3
  458         1
  459         1
  460         3
  466         3
  468         1
  469         1
  470         7
  475         2
  476         7
  479         4
  481         3
  490         2
  491         3
  494         2
  495         2
  500         2
  501         2
  502         6
  504         2
  506         3
  507         7
  509         3
  512         3
  514         4
  516         4
  517         2
  520         4
  521         3
  523         1
  524         1
  527         2
  528         1
  531         2
  532         2
  533         1
  536         2
  537         1
  538         3
  539         3
  546         2
  548         1
  553         1
  556         2
  557         6
  559         2
  560         3
  565         1
  575         1
  578         5
  579         2
  580         2
  581         1
  585         2
  588         1
  589         2
  592         5
  594         3
  596         1
  598         2
  599         1
  600         2
  601         1
  603         2
  608         3
  611         1
  612         3
  617         1
  620         3
  621         1
  627         1
  628         1
  630         1
  637         1
  638         1
  640         2
  641         2
  642         1
  643         2
  644         2
  645         1
  649         2
  650         2
  651         1
  653         2
  655         1
  656         1
  657         2
  658         1
  660         1
  662         2
  666         2
  667         1
  673         2
  675         1
  676         2
  679         1
  680         1
  681         1
  683         2
  684         1
  685         1
  687         1
  688         1
  689         1
  690         1
  692         1
  693         1
  694         1
  695         1
  696         2
  697         1
  698         1
  699         1
  700         1
  701         1
  702         1
  703         1
  704         1
  705         1
  706         1
  707         1
  708         1
  709         1
  710         1
  711         1
  713         1
  714         1
  716         1
  717         1
  718         1
  719         1
  720         2
  721         2
  722         1
  724         1
  726         1
  727         1
  728         1
  729         1
  731         1
  732         1
  733         1
  735         1
  736         1
  737         1
  738         1
  739         1
  740         1
  741         1
  742         1
  743         1
  744         1
  745         1
  746         1
  747         1
  748         1
  749         1
  750         1
  752         1
  753         1
  754         2
  755         1
  756         1
  757         1
  759         1
  760         1
  761         1
  762         1
  763         1
  764         1
  765         1
  766         1
  767         1
  769         2
  771         1
  772         1
  773         1
  774         1
  775         1
  776         1
  777         1
  778         1
  780         1
  782         1
  783         1
  784         1
  785         1
  786         1
  787         1
  788         1
  789         1
  790         1
  791         1
  792         1
