 Q (1/Ang),Li-Li,Li-Ta,Li-O ,Li-Cl,Ta-Ta,Ta-O ,Ta-Cl,O-O  ,O-Cl ,Cl-Cl
   0.40000 ,    -0.201357975156071E+01 ,     0.620303226911845E+00 ,    -0.146465632836574E+00 ,    -0.193425490659205E+00 ,    -0.475246286073655E+01 ,     0.115176893984526E+01 ,    -0.629933465183461E+00 ,    -0.329279817704024E+01 ,    -0.622282773608898E-01 ,    -0.145627730111137E+01 , 
   0.41000 ,    -0.220695694764988E+01 ,    -0.315425710974966E+00 ,    -0.102172221105553E+01 ,     0.241751811736400E+00 ,    -0.402739229132153E+01 ,     0.229808567320034E+01 ,    -0.856160590569231E+00 ,    -0.220053231125448E+01 ,    -0.609687608563542E+00 ,    -0.147812702818656E+01 , 
   0.42000 ,    -0.260294809651101E+01 ,    -0.121727019737316E+01 ,    -0.176752318048146E+01 ,     0.654305311245647E+00 ,    -0.358621698078595E+01 ,     0.317022267996363E+01 ,    -0.984535682242584E+00 ,    -0.142382859910780E+01 ,    -0.108198729828612E+01 ,    -0.155648601845924E+01 , 
   0.43000 ,    -0.315216510787005E+01 ,    -0.196200466202725E+01 ,    -0.227778205612528E+01 ,     0.987624174630587E+00 ,    -0.349788338039390E+01 ,     0.364031607539731E+01 ,    -0.995252427008804E+00 ,    -0.107684223253448E+01 ,    -0.141205937297336E+01 ,    -0.168176074194169E+01 , 
   0.44000 ,    -0.378746351577903E+01 ,    -0.244585747460412E+01 ,    -0.247623732924316E+01 ,     0.119593384987059E+01 ,    -0.378810564250728E+01 ,     0.363107132730488E+01 ,    -0.882482788939704E+00 ,    -0.122120276611627E+01 ,    -0.155159155480299E+01 ,    -0.183936183647833E+01 , 
   0.45000 ,    -0.443179632013788E+01 ,    -0.259784046774339E+01 ,    -0.232690378652077E+01 ,     0.125022439397973E+01 ,    -0.443453086271396E+01 ,     0.312697188682740E+01 ,    -0.655592005884172E+00 ,    -0.185669750775046E+01 ,    -0.147765265733383E+01 ,    -0.201139675632408E+01 , 
   0.46000 ,    -0.500693801350504E+01 ,    -0.238887734525881E+01 ,    -0.183936805236737E+01 ,     0.114192692810119E+01 ,    -0.536781283137548E+01 ,     0.217764451729763E+01 ,    -0.338539637856534E+00 ,    -0.291962075806553E+01 ,    -0.119598871524102E+01 ,    -0.217866665672531E+01 , 
   0.47000 ,    -0.544210933219363E+01 ,    -0.183563073921744E+01 ,    -0.106824480347890E+01 ,     0.883898781266899E+00 ,    -0.647860196373034E+01 ,     0.892874348958167E+00 ,     0.325059968591415E-01 ,    -0.428911300531990E+01 ,    -0.740564146679077E+00 ,    -0.232274499136623E+01 , 
   0.48000 ,    -0.568157453662393E+01 ,    -0.998603789037146E+00 ,    -0.106859457030364E+00 ,     0.508631239251430E+00 ,    -0.762971749180204E+01 ,    -0.570169266089502E+00 ,     0.413093530557059E+00 ,    -0.580080707836700E+01 ,    -0.169410638053757E+00 ,    -0.242791319203024E+01 , 
   0.49000 ,    -0.569042070581551E+01 ,     0.251881447651109E-01 ,     0.924038436538642E+00 ,     0.639525022992359E-01 ,    -0.867210380312683E+01 ,    -0.202593294536345E+01 ,     0.755514177071427E+00 ,    -0.726616624404778E+01 ,     0.442675216382409E+00 ,    -0.248275045444193E+01 , 
