Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
035535.337       61196       94792  0.255E+00  0.547E+00
040535.240      105451      190947  0.185E+00  0.465E+00
041535.226      146226      287236  0.149E+00  0.399E+00
042535.243      184399      383373  0.124E+00  0.346E+00
043535.237      220778      479544  0.105E+00  0.301E+00
044535.325      255832      575721  0.889E-01  0.263E+00
045535.191      289340      671845  0.761E-01  0.232E+00
050535.200      321057      768146  0.658E-01  0.205E+00
051535.186      351343      864453  0.576E-01  0.182E+00
052535.180      380463      960855  0.507E-01  0.162E+00
053535.192      408664     1057289  0.452E-01  0.144E+00
054535.211      435315     1153817  0.406E-01  0.129E+00
055535.199      461042     1250453  0.370E-01  0.116E+00
060535.205      486234     1347120  0.339E-01  0.104E+00
061535.190      510291     1443952  0.312E-01  0.940E-01
062535.192      532974     1540627  0.288E-01  0.854E-01
063535.189      554793     1637398  0.266E-01  0.780E-01
064535.248      576547     1734281  0.249E-01  0.717E-01
065535.240      596533     1831045  0.232E-01  0.660E-01
070535.303      616041     1927876  0.217E-01  0.608E-01
071535.243      634509     2024857  0.205E-01  0.563E-01
072535.266      652348     2121859  0.194E-01  0.524E-01
073535.240      669667     2218633  0.185E-01  0.487E-01
074535.235      686748     2315582  0.175E-01  0.455E-01
075535.228      703357     2412441  0.167E-01  0.426E-01
080535.253      719432     2509281  0.159E-01  0.400E-01
081535.240      735209     2606206  0.153E-01  0.376E-01
082535.279      750879     2703236  0.146E-01  0.354E-01
083535.193      765898     2800178  0.140E-01  0.334E-01
084535.212      780859     2897362  0.135E-01  0.316E-01
085535.256      795549     2994440  0.129E-01  0.299E-01
090535.208      809902     3091435  0.125E-01  0.284E-01
091535.442      824049     3188393  0.120E-01  0.270E-01
092535.257      837863     3285323  0.115E-01  0.257E-01
093535.212      851410     3382402  0.111E-01  0.246E-01
094535.258      864972     3479407  0.108E-01  0.234E-01
095535.336      878329     3576498  0.105E-01  0.223E-01
100535.359      891532     3673552  0.101E-01  0.214E-01
101535.291      904531     3770700  0.980E-02  0.205E-01
102535.362      917249     3867812  0.950E-02  0.196E-01
103535.216      929937     3964923  0.919E-02  0.188E-01
104535.263      942569     4062056  0.894E-02  0.180E-01
105535.546      955080     4159268  0.871E-02  0.173E-01
110535.303      967280     4256381  0.850E-02  0.166E-01
111535.396      979603     4353555  0.828E-02  0.160E-01
112544.356      991685     4450798  0.807E-02  0.154E-01
113535.362     1003528     4546613  0.784E-02  0.148E-01
114535.352     1015489     4643821  0.768E-02  0.143E-01
115535.291     1027378     4741043  0.754E-02  0.138E-01
120535.371     1039269     4838410  0.738E-02  0.133E-01
121535.345     1051116     4935847  0.724E-02  0.128E-01
122535.345     1062753     5033265  0.711E-02  0.124E-01
123537.266     1074353     5130559  0.698E-02  0.119E-01
124535.521     1085877     5227695  0.684E-02  0.116E-01
125535.465     1097472     5324990  0.673E-02  0.112E-01
130535.268     1108960     5422538  0.660E-02  0.108E-01
131535.345     1120360     5520198  0.646E-02  0.105E-01
132535.786     1131810     5617769  0.637E-02  0.102E-01
133535.456     1143141     5715290  0.628E-02  0.984E-02
134535.380     1154298     5812823  0.615E-02  0.956E-02
135535.320     1165349     5910360  0.607E-02  0.928E-02
140535.424     1176533     6007879  0.597E-02  0.901E-02
141535.446     1187793     6105474  0.586E-02  0.876E-02
142535.978     1198803     6202950  0.580E-02  0.852E-02
143535.294     1209819     6300394  0.570E-02  0.830E-02
144535.485     1220676     6398049  0.563E-02  0.808E-02
145535.378     1231582     6495756  0.552E-02  0.788E-02
150535.454     1242502     6593580  0.547E-02  0.767E-02
151535.274     1253414     6691324  0.539E-02  0.749E-02
152535.282     1264153     6789024  0.536E-02  0.729E-02
153535.377     1274939     6886669  0.527E-02  0.713E-02
154535.535     1285699     6984271  0.518E-02  0.697E-02
155535.281     1296407     7082047  0.512E-02  0.681E-02
160535.335     1307094     7179701  0.508E-02  0.666E-02
161535.330     1317855     7277641  0.500E-02  0.652E-02
162535.267     1328356     7374337  0.497E-02  0.639E-02
163535.395     1339024     7472053  0.492E-02  0.626E-02
164535.643     1349685     7569768  0.485E-02  0.613E-02
165535.289     1360428     7667571  0.480E-02  0.600E-02
170535.269     1371092     7765409  0.473E-02  0.588E-02
171535.366     1381596     7863443  0.468E-02  0.577E-02
172535.241     1392224     7961371  0.465E-02  0.567E-02
173535.242     1402765     8059382  0.460E-02  0.556E-02
174535.234     1413408     8157434  0.455E-02  0.545E-02
