 Q (1/Ang),Li-Li,Li-Ta,Li-O ,Li-Cl,Ta-Ta,Ta-O ,Ta-Cl,O-O  ,O-Cl ,Cl-Cl
   0.40000 ,    -0.233744885689918E+01 ,     0.168740527036414E+00 ,    -0.309209388180877E+00 ,    -0.553869265488318E+00 ,    -0.726526005299907E+01 ,     0.401101988198032E+00 ,     0.212385729683723E+00 ,    -0.353866131541203E+01 ,     0.470278356263829E+00 ,    -0.183769553841070E+01 , 
   0.42000 ,    -0.283286970970083E+01 ,    -0.643939612450717E+00 ,    -0.121003532888415E+01 ,     0.125683242468825E+00 ,    -0.496195002318634E+01 ,     0.210474797046189E+01 ,    -0.381790817433912E+00 ,    -0.202202672761834E+01 ,    -0.620837365303426E+00 ,    -0.166399139872421E+01 , 
   0.44000 ,    -0.347429709766449E+01 ,    -0.133753418744317E+01 ,    -0.175264694191505E+01 ,     0.639516859165051E+00 ,    -0.337906400294733E+01 ,     0.284838304895467E+01 ,    -0.757932081216499E+00 ,    -0.178206148302046E+01 ,    -0.132049809459853E+01 ,    -0.160632570396814E+01 , 
   0.46000 ,    -0.416858394953707E+01 ,    -0.144573586752313E+01 ,    -0.151548107160313E+01 ,     0.770526868142952E+00 ,    -0.340629935142553E+01 ,     0.213231984521169E+01 ,    -0.722437453917209E+00 ,    -0.309063887053414E+01 ,    -0.127117795415300E+01 ,    -0.171945302817992E+01 , 
   0.48000 ,    -0.474217258127707E+01 ,    -0.787017263904761E+00 ,    -0.482042547549435E+00 ,     0.484542798865115E+00 ,    -0.509577448744911E+01 ,     0.204859942168929E+00 ,    -0.278621862941990E+00 ,    -0.542435642869461E+01 ,    -0.501291616753702E+00 ,    -0.197462279359612E+01 , 
   0.50000 ,    -0.499482277611481E+01 ,     0.433129699087635E+00 ,     0.935277424353204E+00 ,    -0.571194943883357E-01 ,    -0.762397071040251E+01 ,    -0.203178159741265E+01 ,     0.365501628226507E+00 ,    -0.768027167648594E+01 ,     0.587936224376644E+00 ,    -0.226698474352183E+01 , 
   0.52000 ,    -0.478567032736002E+01 ,     0.170385787757661E+01 ,     0.208661610578813E+01 ,    -0.574871036856991E+00 ,    -0.968823641459785E+01 ,    -0.344296965414823E+01 ,     0.884862971730412E+00 ,    -0.869148295678415E+01 ,     0.141933772634009E+01 ,    -0.245987483790408E+01 , 
   0.54000 ,    -0.411059638321062E+01 ,     0.243340562597571E+01 ,     0.239363784540820E+01 ,    -0.799162132280262E+00 ,    -0.101370881596632E+02 ,    -0.320430669120556E+01 ,     0.980540593575162E+00 ,    -0.779404420721519E+01 ,     0.152069120600938E+01 ,    -0.244544923278190E+01 , 
   0.56000 ,    -0.312807255021269E+01 ,     0.221040668470330E+01 ,     0.162247856073664E+01 ,    -0.589017010085443E+00 ,    -0.852322055411994E+01 ,    -0.119920646084374E+01 ,     0.512811029558034E+00 ,    -0.516409412840611E+01 ,     0.750642123229614E+00 ,    -0.219318863902892E+01 , 
   0.58000 ,    -0.211125981315569E+01 ,     0.982338554228388E+00 ,    -0.126550924512618E-01 ,     0.130600659257128E-01 ,    -0.531102401157735E+01 ,     0.192445020094015E+01 ,    -0.436940895208603E+00 ,    -0.174964290503533E+01 ,    -0.640023105829119E+00 ,    -0.176344146793224E+01 , 
   0.60000 ,    -0.133867388252616E+01 ,    -0.927072510160267E+00 ,    -0.196339355435511E+01 ,     0.811805451000891E+00 ,    -0.164250272089681E+01 ,     0.506838075134822E+01 ,    -0.160346905155166E+01 ,     0.118363880759584E+01 ,    -0.213913964879087E+01 ,    -0.127968738468029E+01 , 
