Cluster	# of Li atoms
    1        25
    3      2178
    7        14
    9         3
   30         5
   36         4
   53         3
   57        19
   68         2
   73         1
   75         4
   79         5
   84         4
   87         2
   91         1
   92         3
   95        26
  100         3
  101        16
  103        10
  109         3
  111        15
  112         3
  123         3
  124         3
  146         3
  147         3
  148         6
  177         9
  182         8
  185         1
  195         6
  196         1
  200        12
  203         6
  221         3
  226         7
  227         4
  232         5
  233        11
  234        17
  237        16
  238        34
  256         2
  262         3
  268         2
  269         1
  271         6
  277         2
  285         6
  289         9
  290         8
  298         9
  299         1
  300         1
  319         6
  322        25
  328         7
  336         1
  339         8
  344         5
  355         7
  359         5
  362         4
  370         3
  371         2
  373         2
  374         1
  379         1
  390         8
  392         1
  419         2
  431         1
  433         1
  434         2
  437         1
  440         2
  443         1
  453         2
  456         1
  457         1
  459         3
  463         1
  467         2
  469         3
  471         1
  472         2
  486         1
  489         2
  490         2
  494         1
  502         7
  510         2
  515         4
  516         1
  517         3
  521         1
  528         1
  531         1
  534         1
  536        10
  540         2
  543         1
  545         1
  546         2
  547         3
  550         1
  558         3
  560         2
  562         1
  570         1
  578         7
  580         1
  582         1
  586         3
  588         3
  589         1
  593         1
  597         1
  599         2
  601         4
  607         1
  608         1
  612         1
  630         1
  637         1
  643         1
  644         2
  647         2
  653         1
  656         2
  657         1
  664         4
  668         4
  671         2
  673         3
  674         2
  681         1
  691         3
  693         7
  694         1
  696         2
  697         1
  699         1
  700         4
  701         2
  702         1
  703         2
  704         2
  705         2
  712         2
  715         1
  721         1
  722         2
  726         3
  727         2
  729         1
  730         1
  731         3
  733         1
  735         1
  738         2
  746         1
  747         1
  751         1
  755         3
  758         1
  762         1
  763         1
  764         1
  766         1
  768         1
  771         2
  775         1
  776         2
  779         1
  781         1
  782         2
  783         2
  784         1
  788         2
  791         1
  792         1
  794         1
  799         1
  800         3
  801         1
  804         1
  805         2
  806         2
  812         4
  819         1
  826         2
  827         1
  828         1
  829         1
  830         1
  831         1
  832         1
  833         1
  835         1
  836         1
  837         1
  838         1
  839         1
  840         1
  841         1
  842         1
  843         1
  844         1
  845         1
  846         1
  847         1
  848         1
  849         1
  850         1
  851         1
  852         1
  853         1
  854         1
  856         1
  857         1
  859         1
  860         1
  861         1
  862         1
  863         1
  865         1
  866         1
  867         1
  868         1
  869         1
  871         1
  872         1
  873         1
  874         1
  875         1
  876         1
  877         1
  878         1
  879         1
  880         1
  882         1
  883         1
  884         1
  885         1
  886         1
  887         1
  888         1
  889         1
  890         1
  891         1
  892         1
  893         1
  894         1
  895         1
