Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
040300.310      128723      253422  0.397E-01  0.154E+00
041300.138      214053      511551  0.128E-01  0.895E-01
042300.034      277993      770387  0.753E-02  0.603E-01
043300.055      335252     1031103  0.592E-02  0.424E-01
044300.124      389438     1296257  0.466E-02  0.303E-01
045300.058      439757     1562304  0.365E-02  0.222E-01
050300.009      486071     1828928  0.292E-02  0.166E-01
051300.017      529995     2096338  0.232E-02  0.127E-01
052300.004      571706     2364037  0.190E-02  0.978E-02
053300.000      610911     2633197  0.157E-02  0.774E-02
054300.024      648101     2903003  0.133E-02  0.621E-02
055300.031      684679     3174443  0.117E-02  0.502E-02
060300.065      719220     3445061  0.105E-02  0.413E-02
061300.015      752896     3717074  0.965E-03  0.345E-02
062300.007      785342     3989295  0.902E-03  0.293E-02
063300.030      817095     4261768  0.860E-03  0.252E-02
064300.004      848109     4533164  0.815E-03  0.220E-02
065300.023      878810     4805678  0.797E-03  0.195E-02
070300.056      909165     5078479  0.767E-03  0.175E-02
071300.048      939251     5351105  0.766E-03  0.159E-02
072300.138      968201     5618222  0.731E-03  0.147E-02
073300.061      997582     5890157  0.728E-03  0.137E-02
074300.037     1027159     6163543  0.711E-03  0.128E-02
075300.017     1056614     6436086  0.731E-03  0.121E-02
080300.018     1085959     6709366  0.712E-03  0.115E-02
081300.000     1115145     6982780  0.703E-03  0.110E-02
082300.006     1144676     7256506  0.728E-03  0.106E-02
083300.015     1174047     7531009  0.727E-03  0.101E-02
084300.048     1203308     7805659  0.707E-03  0.980E-03
085300.027     1232396     8079622  0.723E-03  0.950E-03
090259.997     1261486     8351139  0.723E-03  0.924E-03
091300.029     1290585     8623851  0.727E-03  0.900E-03
092300.027     1319558     8895226  0.709E-03  0.881E-03
093300.018     1348571     9166839  0.733E-03  0.860E-03
094300.072     1377639     9439475  0.714E-03  0.845E-03
095300.064     1406872     9711841  0.708E-03  0.828E-03
100300.071     1436223     9984593  0.727E-03  0.812E-03
101300.042     1465526    10256593  0.731E-03  0.795E-03
102300.151     1494837    10528528  0.737E-03  0.781E-03
103300.234     1523885    10799998  0.749E-03  0.768E-03
104300.037     1552976    11071530  0.741E-03  0.758E-03
105300.083     1582113    11343010  0.757E-03  0.746E-03
110300.074     1611317    11615750  0.767E-03  0.735E-03
111300.154     1640126    11884874  0.743E-03  0.727E-03
112300.141     1669057    12152334  0.752E-03  0.718E-03
113300.095     1698012    12423036  0.779E-03  0.707E-03
114300.096     1727030    12693846  0.753E-03  0.700E-03
115300.064     1756147    12964459  0.766E-03  0.691E-03
120300.090     1785141    13235347  0.761E-03  0.684E-03
121300.078     1814032    13505983  0.783E-03  0.674E-03
122300.161     1843042    13776809  0.768E-03  0.669E-03
123301.531     1872189    14047593  0.763E-03  0.663E-03
124301.605     1901097    14317647  0.776E-03  0.656E-03
125301.478     1930269    14586845  0.783E-03  0.651E-03
130300.116     1959078    14856113  0.799E-03  0.645E-03
131300.062     1988126    15127755  0.787E-03  0.638E-03
