Cluster	# of Li atoms
    1       985
    3        12
    8         7
   11        10
   18         4
   20        48
   26         3
   32         1
   33         5
   34         4
   38         1
   39         2
   40        72
   44        10
   51        13
   53         2
   54        25
   55        40
   59         9
   60         1
   65        40
   67        22
   69        10
   70         4
   74        10
   75        91
   76         2
   77        12
   79         5
   88         4
   90        14
   92         2
   94        18
   99         2
  100        11
  101         1
  102        11
  113        31
  115         1
  116        15
  124        21
  133         3
  134         1
  137         1
  138         1
  155         3
  157         9
  162         8
  163         3
  164        80
  169         3
  173         5
  175         5
  185         8
  187        62
  193        11
  198         2
  206         7
  209         7
  213         2
  214         5
  215         1
  219         5
  220         7
  221         2
  223         6
  226        40
  229         2
  230        50
  236        26
  239         2
  241         1
  247         1
  248         2
  259         4
  261        13
  264         5
  271         7
  274         6
  290         2
  291         3
  292         1
  294         4
  295         5
  299         6
  300         1
  302        10
  309         6
  315         1
  317         9
  319         9
  321         5
  324         3
  325         2
  328         3
  332         1
  334         1
  339         1
  340         2
  341         2
  343         1
  345         4
  355         2
  357         1
  361         9
  362         1
  363         6
  365         2
  366         3
  367         2
  368         4
  372         4
  377         4
  378         4
  379         1
  381         2
  382         1
  387         1
  390         1
  391         2
  392         1
  394         6
  396         1
  398         1
  403         1
  412         2
  415         4
  416         2
  418         1
  421         4
  422         1
  425         4
  438         2
  443         5
  445         4
  448         2
  454         1
  455         4
  457         7
  461         2
  462         4
  463         1
  464         2
  466        11
  468         2
  470         2
  474         6
  477         1
  479         1
  480         2
  481         7
  483         1
  485         1
  487         2
  490         1
  492         2
  494         8
  498         2
  499         3
  501         3
  505         2
  513         2
  515         6
  516         3
  519         1
  520         1
  524         1
  528         4
  531         1
  535         3
  541         2
  544         5
  545         3
  547         1
  549         1
  550         1
  553         1
  555         1
  556         1
  563         4
  567         4
  569         2
  573         3
  575         6
  576         6
  585         2
  586         3
  588         1
  593         3
  596         1
  603         1
  605         2
  606         1
  610         5
  612         1
  614         1
  618         3
  621         2
  623         3
  624         2
  625         1
  626         2
  636         1
  640         5
  642         2
  647         3
  651         2
  653         1
  654         1
  655         2
  658         1
  660         3
  661         1
  664         3
  665         1
  666         3
  667         2
  669         3
  673         3
  676         1
  677         1
  679         1
  682         1
  683         2
  684         1
  685         1
  690         2
  692         3
  693         1
  698         3
  699         2
  701         1
  702         1
  706         1
  707         1
  711         1
  712         1
  716         1
  721         2
  722         1
  728         1
  730         1
  731         1
  734         2
  735         2
  736         1
  739         1
  746         1
  747         1
  748         2
  749         2
  750         1
  751         2
  752         1
  754         1
  757         2
  758         1
  759         4
  761         1
  762         1
  768         3
  770         1
  771         1
  773         2
  777         3
  778         3
  782         1
  787         2
  788         1
  789         1
  790         1
  791         1
  792         1
  793         1
  794         1
  795         1
  796         1
  797         1
  799         2
  800         1
  801         1
  802         1
  803         1
  804         1
  805         1
  806         1
  808         1
  809         1
  810         1
  811         1
  812         1
  813         1
  814         1
  815         1
  816         1
  818         1
  819         1
  820         1
  821         1
  823         1
  824         1
  825         1
  826         1
  827         1
  829         1
  830         1
  831         1
  832         1
  835         1
  836         1
  838         1
  839         1
  840         1
  841         1
  842         1
  843         1
  844         1
  845         1
  847         1
  848         1
  850         1
  852         1
  853         1
  854         1
  855         1
  856         1
  857         1
  858         1
  859         1
  860         1
  861         1
  862         1
  863         1
  864         1
  867         1
  868         1
  869         1
  870         1
  871         1
  872         1
