Cluster	# of Li atoms
    1       977
    3        93
    4        62
    5         6
    7         7
    8         3
    9         6
   10         2
   16        13
   23        12
   28         3
   32         2
   33         4
   34        28
   40         5
   42         4
   43         5
   44       131
   51         4
   53         5
   55         5
   57        12
   59        20
   61         2
   62        11
   66        26
   68         2
   69        12
   70         9
   75        42
   76         2
   82        41
   83         3
   92         3
   99         3
  109         5
  119         2
  121         4
  122         7
  128         8
  134        12
  139        10
  145         3
  148         5
  149        13
  150         4
  154         5
  157         5
  161        14
  165         2
  168         8
  169         2
  170         2
  171        14
  172         6
  173        77
  174         2
  176         4
  177        37
  181         4
  183         6
  184        22
  185         1
  186        12
  188        25
  189         2
  200         3
  203        14
  205         8
  212         8
  213         4
  216         3
  219         2
  221         1
  222         1
  224         4
  227        18
  228         5
  234        10
  241         4
  243         1
  250        13
  261         6
  264         2
  268         8
  269         3
  272         2
  275         2
  284         3
  285         2
  289         9
  292         4
  294         4
  295         6
  301         1
  305         2
  308         1
  312         4
  313         2
  314        14
  315         2
  320         2
  326         5
  329         3
  336         1
  338         2
  339         4
  340         2
  341         6
  342         1
  344         5
  350         1
  352         2
  356         1
  361         1
  362         1
  363         2
  367        12
  368         2
  372         2
  375         1
  376         7
  379         1
  384         1
  386         3
  387         1
  389         1
  391         1
  398         5
  400         2
  402         1
  407         3
  411         1
  419         1
  421         2
  423         2
  427         4
  432         1
  437         1
  446         1
  448         2
  449         1
  452         1
  453         5
  456         5
  462         1
  464         2
  469         4
  470         4
  472         3
  479         7
  484         4
  489         1
  491         1
  492         1
  493         2
  494         3
  495         1
  497         3
  499         2
  503         4
  504         4
  508         2
  511         2
  514         2
  516         1
  517         2
  518         3
  523         1
  525         3
  526         1
  530         2
  536         1
  539         1
  542         2
  543         3
  546         1
  547         1
  549         7
  551         1
  552         3
  553         1
  555         3
  560         1
  561        11
  562         1
  564         1
  567         3
  569         4
  574         5
  575         3
  576         1
  577         1
  578         6
  581         2
  587         2
  590         2
  591         1
  595         5
  596         1
  597         1
  598         6
  599         2
  600         7
  606         2
  611         2
  619         4
  623         3
  624         2
  625         2
  626         3
  627        11
  629         1
  631         6
  634         3
  637         1
  638         5
  639         5
  641         2
  645         1
  648         3
  649         1
  651         2
  653         2
  656         1
  657         8
  658         4
  659         3
  663         2
  664         1
  665         4
  668         1
  670         1
  673         1
  676         2
  678         1
  679         2
  682         2
  683         2
  685         1
  687         1
  688         1
  689         1
  698         3
  705         1
  706         1
  708         2
  712         1
  716         2
  718         3
  721         2
  727         2
  728         2
  729         1
  730         1
  731         1
  732         3
  733         2
  738         1
  739         2
  741         1
  746         2
  748         1
  749         2
  756         1
  757         1
  758         1
  759         1
  760         1
  765         1
  767         1
  771         1
  772         2
  777         1
  778         2
  780         2
  781         2
  782         1
  786         1
  789         1
  790         1
  793         1
  795         1
  797         2
  799         1
  802         1
  805         1
  807         1
  809         2
  810         1
  811         1
  812         1
  813         1
  814         1
  816         1
  817         1
  818         1
  819         1
  820         1
  821         1
  824         1
  825         1
  826         1
  827         1
  828         1
  829         1
  830         1
  831         1
  832         1
  833         1
  834         1
  835         1
  836         1
  837         1
  838         1
  839         1
  840         1
  843         1
  844         1
  845         1
  846         1
  847         1
  848         1
  849         1
  850         1
  851         1
  852         1
  853         1
  854         1
  855         1
  856         1
  857         1
  858         1
  859         1
  860         1
  861         1
  862         1
  863         1
  864         1
  865         1
  866         1
  867         1
  868         1
  869         1
  870         1
  871         1
  872         1
  873         1
  874         2
  875         1
  876         1
  877         1
  878         1
  879         1
  880         1
  881         1
  882         1
  883         1
  885         1
  886         1
  887         1
  888         1
  889         1
  890         1
  891         1
  892         1
  893         1
  896         1
  897         1
  898         1
  899         1
  901         1
  902         1
  903         1
  904         1
  905         1
  906         1
  907         1
