Cluster	# of Li atoms
    1       263
    3       160
    5         3
    7        52
   14         4
   17         9
   20         4
   25        97
   30         1
   31        48
   32         3
   33         5
   35         9
   38         1
   39         7
   42         4
   43        83
   47         6
   50        14
   51        71
   54         9
   55         3
   56       148
   57         3
   58        10
   59        31
   63         9
   68         4
   70         7
   77        20
   78         6
   80         4
   81        12
   84         1
   90         1
  102        10
  103         3
  104        15
  107         8
  111        11
  112         4
  114         2
  118       112
  120        38
  124         2
  125         6
  129        13
  136         2
  149        30
  156         5
  159        22
  161        42
  163         1
  165         7
  167        14
  170         8
  171         6
  172         1
  173        10
  175         8
  176         3
  177         5
  180        23
  183        31
  185         3
  186         8
  187         7
  189         2
  192        17
  194         7
  196         1
  198        13
  201        25
  202         3
  205         4
  206         5
  208        10
  212        10
  215         3
  216         7
  217         5
  218        55
  219         6
  234         3
  239         1
  240         4
  245        22
  246         4
  249         3
  251         2
  257         1
  263         7
  265         8
  267         4
  270        15
  274         3
  275        18
  278         6
  279         5
  282         4
  286         4
  290         2
  292         1
  293         2
  294         2
  295         2
  297         1
  298         1
  300         2
  305         7
  307         2
  310         1
  312         1
  314         9
  325         5
  332         2
  333         8
  334         2
  337         1
  342         3
  343         3
  345         3
  348         1
  349         1
  350         2
  351         2
  355         1
  356         2
  359         4
  360         8
  361         1
  363         5
  365         3
  372         1
  374         1
  376         1
  378         1
  380         2
  381         2
  386         1
  393         2
  395         1
  399         2
  401         1
  402         3
  403         8
  406         2
  407         2
  408        11
  410         3
  411         2
  414         1
  415         2
  417         2
  420         1
  421         2
  422         4
  423         1
  425         1
  426         3
  428         1
  429         2
  431         1
  436         6
  437         1
  440         5
  441         1
  448         1
  449         1
  450         4
  452         1
  458         2
  459         2
  460         1
  462         1
  463         1
  464        14
  467         1
  469         4
  474         4
  476         5
  478         1
  479         2
  480         5
  482         1
  484         3
  486         4
  496         2
  501         1
  505         1
  507         1
  509         3
  511         2
  515         4
  516         1
  524         3
  525         7
  531         5
  533         2
  534         2
  535         1
  537         4
  538         1
  539         1
  540         1
  542         1
  543         1
  547         1
  557         2
  561         4
  565         1
  568         1
  570         2
  572         2
  576         1
  578         2
  580         1
  582         4
  583         1
  587         1
  591         4
  593         3
  595         2
  599         3
  608         1
  611         1
  612         2
  614         1
  621         1
  623         2
  628         3
  631         2
  632         1
  633         2
  637         3
  638         3
  642         2
  644         2
  645         1
  647         1
  649         2
  651         1
  652         1
  653         3
  655         1
  657         2
  658         1
  659         2
  660         1
  661         2
  665         1
  666         1
  668         2
  671         1
  672         1
  674         1
  676         2
  677         1
  679         1
  680         1
  682         1
  683         1
  684         1
  685         1
  687         2
  688         1
  689         1
  690         1
  691         1
  692         1
  693         2
  694         1
  695         1
  696         1
  697         1
  698         1
  699         1
  700         1
  701         1
  702         1
  703         1
  704         1
  705         1
  706         1
  709         1
  711         1
  712         1
  713         1
  714         1
  715         1
  716         1
  717         1
  718         1
  719         1
  720         1
  721         1
  722         1
  723         1
  724         1
  725         1
  728         1
  729         1
  730         1
  732         1
  733         1
  734         1
  735         1
  736         1
  737         1
  739         1
  740         1
  742         1
  743         1
  744         1
  745         1
  746         1
  747         1
  748         1
  749         1
  751         1
  752         1
  753         2
  754         1
  755         1
  756         1
  757         1
  758         1
  759         1
  760         1
  762         1
  763         2
  764         1
  765         1
  766         1
  767         1
  769         1
  770         1
  772         1
  773         1
  774         1
  775         1
  776         1
  777         1
  778         1
  779         1
  780         1
  781         1
  782         1
  783         1
  784         1
  785         1
  786         1
  787         1
  788         1
  789         1
  790         1
  791         1
  792         1
